usage_id,territory,kind,celebration_id,mass_form,season,week,weekday,special_day,sunday_cycle,weekday_cycle,reference_normalized,reference_display,response_text,source_date,source_selection_id,source_edition,choice_priority,review_status
ng:usage:5298cd966af2a66689ac,NG,celebration,adalbert_of_prague,day,,,,,,,"ps124:2-3,4-5,7b-8","Ps 124:2-3, 4-5, 7b-8",Our soul has escaped like a bird from the hunter’s net.,,ps124_2_3_4_5_7b_8,Catholic Daily RSVCE,1,verified-fallback
ng:usage:d56280a82517f9033595,NG,celebration,adalbert_of_prague,day,,,,,,,"ps126:1-2ab,2bc-3,4-5,6","Ps 126:1-2ab, 2bc-3, 4-5, 6",Those who sow in tears shall reap with shouts of joy.,,ps126_1_2ab_2bc_3_4_5_6,Catholic Daily RSVCE,2,verified-fallback
ng:usage:ebb10c5f649ff39592c8,NG,celebration,adalbert_of_prague,day,,,,,,,"ps31:2cd-3ab,5+7ab,15bc-16","Ps 31:2cd-3ab, 5+7ab, 15bc-16","Into your hands, O Lord, I entrust my spirit.",,ps31_2cd_3ab_5_7ab_15bc_16,Catholic Daily RSVCE,3,verified-fallback
ng:usage:11282e1c7d9831789d89,NG,celebration,adalbert_of_prague,day,,,,,,,"ps34:1-2,3-4,5-6,7-8","Ps 34:1-2, 3-4, 5-6, 7-8",The Lord set me free from all my fears.,,ps34_1_2_3_4_5_6_7_8,Catholic Daily RSVCE,4,verified-fallback
ng:usage:850293c4c4fd1119c8c7,NG,celebration,albert_the_great,day,,,,,,,"ps106:19-20,21-22,23","Ps 106:19-20, 21-22, 23","Lord, remember us, for the love you bear your people.",,ps106_19_20_21_22_23,Catholic Daily RSVCE,1,verified-fallback
ng:usage:c0c2a1da7d08f27e7a95,NG,celebration,albert_the_great,day,,,,,,,"ps110:1-2,3,4","Ps 110:1-2, 3, 4","You are a priest for ever, in the line of Melchizedek.",,local_rsvce:expanded:9147f45b3f3d63c3,Catholic Daily RSVCE,2,verified-fallback
ng:usage:b7c81997e228ff444ae3,NG,celebration,albert_the_great,day,,,,,,,"ps117:1,2","Ps 117:1, 2",Go out to all the world and tell the good news.,,ng:reconstructed:73d92e286a6fb381,Catholic Missal for Nigeria,3,verified
ng:usage:795c44eae5254e2d428b,NG,celebration,albert_the_great,day,,,,,,,"ps16:1-2a1-2a+5,7-8,11","Ps 16:1-2a1-2a+5, 7-8, 11","You are my inheritance, O Lord.",,local_rsvce:expanded:acdd2b509ed6230c,Catholic Daily RSVCE,4,verified-fallback
ng:usage:52f8f2b941e8edccfe82,NG,celebration,albert_the_great,day,,,,,,,"ps23:1-3a,3b-4,5,6","Ps 23:1-3a, 3b-4, 5, 6",The Lord is my shepherd; there is nothing I shall want.,2026-03-15,ng:2026-03-15:responsorial-psalm:1,Catholic Missal for Nigeria,5,verified
ng:usage:2d06fe0776594967a77f,NG,celebration,albert_the_great,day,,,,,,,"ps40:1+3ab,6,7-8,9","Ps 40:1+3ab, 6, 7-8, 9","Here am I, Lord; I come to do your will.",,local_rsvce:expanded:a6f3121c52e20e28,Catholic Daily RSVCE,6,verified-fallback
ng:usage:8664df0b6e1312796faa,NG,celebration,albert_the_great,day,,,,,,,"ps89:1-2,3-4,20-21,24+26","Ps 89:1-2, 3-4, 20-21, 24+26",For ever I will sing the goodness of the Lord.,,local_rsvce:expanded:556f9b30cb1e8359,Catholic Daily RSVCE,7,verified-fallback
ng:usage:5ca85f2892bc24929cdb,NG,celebration,albert_the_great,day,,,,,,,"ps96:1-2a,2b-3,7-8a,10","Ps 96:1-2a, 2b-3, 7-8a, 10",Proclaim God’s marvellous deeds to all the nations.,,ps96_1_2a_2b_3_7_8a_10,Catholic Daily RSVCE,8,verified-fallback
ng:usage:6632c28034b73ab68b59,NG,celebration,all_saints,day,,,,,A,,"ps24:1bc-2,3-4ab,5-6","Ps 24:1bc-2, 3-4ab, 5-6","Lord, this is the people that longs to see your face.",,ng:reconstructed:a6e2824d0bfd8a27,Catholic Missal for Nigeria,1,verified
ng:usage:85dcabd4f2790246147d,NG,celebration,all_saints,day,,,,,B,,"ps24:1bc-2,3-4ab,5-6","Ps 24:1bc-2, 3-4ab, 5-6","Lord, this is the people that longs to see your face.",,ng:reconstructed:a6e2824d0bfd8a27,Catholic Missal for Nigeria,1,verified
ng:usage:af2a38989e3ffb8d721d,NG,celebration,all_saints,day,,,,,C,,"ps24:1bc-2,3-4ab,5-6","Ps 24:1bc-2, 3-4ab, 5-6","Lord, this is the people that longs to see your face.",,ng:reconstructed:a6e2824d0bfd8a27,Catholic Missal for Nigeria,1,verified
ng:usage:fb248afd1e1d4b616abb,NG,celebration,all_saints,day,,,,,,,"ps24:1-2,3-4ab,5-6","Ps 24:1-2, 3-4ab, 5-6","These are the people who seek your face, O Lord.",2026-10-23,ng:2026-10-23:responsorial-psalm:1,Catholic Missal for Nigeria,1,verified
ng:usage:6546e499659de218fd7a,NG,celebration,all_saints,day,,,,,,,"ps24:1b-2,3-4ab,5-6","Ps 24:1b-2, 3-4ab, 5-6","These are the people who seek your face, O Lord.",,ps24_1b_2_3_4ab_5_6,Catholic Daily RSVCE,2,verified-fallback
ng:usage:cbeaf50b559aea308441,NG,celebration,all_saints,day,,,,,,,ps24:1-6,Ps 24:1-6,Let the Lord enter; he is king of glory.,,local_rsvce:expanded:6b79b254c9f7731c,Catholic Daily RSVCE,3,verified-fallback
ng:usage:65964d9a45561499815e,NG,celebration,all_souls,day,,,,,,,"ps23:1-3,4,5,6","Ps 23:1-3, 4, 5, 6","The Lord is my shepherd, there is nothing I shall want.",2026-11-02,ng:2026-11-02:responsorial-psalm:1,Catholic Missal for Nigeria,1,verified
ng:usage:84cb548156a8fa0483d6,NG,celebration,all_souls,day,,,,,,,"ps23:1-3a,3b-4,5,6","Ps 23:1-3a, 3b-4, 5, 6",The Lord is my shepherd; there is nothing I shall want.,2026-03-15,ng:2026-03-15:responsorial-psalm:1,Catholic Missal for Nigeria,2,verified
