id,season,week,day,occasion,response,petition_1,petition_2,petition_3,petition_4,petition_5,category_1,category_2,category_3,category_4,category_5,notes
1,Advent,1,,First Sunday of Advent,Lord hear our prayer.,For the Church as we begin this season of preparation that we may be ready to welcome Christ with joy.,For peace among nations and for all who work for justice and reconciliation.,For those who are suffering or in need that they may find hope in Christ's coming.,For our parish community that this Advent may deepen our faith and commitment.,For our beloved dead that they may share in the eternal kingdom.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
2,Advent,2,,Second Sunday of Advent,Lord hear our prayer.,For the Church throughout the world that we may be a beacon of hope in darkness.,For our nation and all in authority that they may serve the common good with integrity.,For those who are poor sick or marginalized that they may experience God's mercy.,For our families and this worshipping community that we may grow in holiness.,For all who have died that they may rest in the peace of Christ.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
3,Advent,3,,Third Sunday of Advent (Gaudete Sunday),Lord hear our prayer.,For the Church rejoicing in the nearness of our salvation that we may proclaim the Good News.,For peace on earth and for those who work to overcome violence and division.,For the sick the lonely and all who suffer that they may find comfort and healing.,For our community gathered here that our joy may be complete in Christ.,For our departed loved ones that they may rejoice in the Lord's presence.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
4,Advent,4,,Fourth Sunday of Advent,Lord hear our prayer.,For the Church awaiting the birth of the Savior that we may receive him with open hearts.,For all nations and their leaders that they may pursue justice and protect human dignity.,For expectant mothers the poor and all in need that they may know God's loving care.,For our families and parish that this holy season may unite us in love.,For our beloved dead and all who have gone before us in faith.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
5,Christmas,1,,Christmas Day,Lord hear our prayer.,For the Church celebrating the birth of our Savior that the light of Christ may shine through us.,For peace on earth and goodwill among all peoples especially where there is conflict.,For those who are alone sick or suffering during this holy season.,For our families and this community gathered to celebrate the Nativity.,For our departed loved ones that they may rejoice in the eternal light of Christ.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
6,Christmas,2,,Holy Family,Lord hear our prayer.,For the Church and all Christian families that we may be sanctified by the example of the Holy Family.,For peace in homes and throughout the world that families may live in safety and harmony.,For families experiencing difficulty division or loss that they may find healing and unity.,For our own families and this parish family that we may support one another in love.,For our deceased family members and all faithful departed that they may rest in peace.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
7,Christmas,3,,Solemnity of Mary Mother of God,Lord hear our prayer.,For the Church honoring the Mother of God that we may be faithful to our calling as her children.,For peace among nations in the new year and for all who work for reconciliation.,For mothers expectant parents and all who care for children that they may be blessed.,For our community and our families that Mary may intercede for our intentions.,For our beloved dead that through Mary's prayers they may know eternal life.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
8,Christmas,3,,Epiphany of the Lord,Lord hear our prayer.,For the Church manifesting Christ to the world that all nations may come to know the Savior.,For the leaders of nations that they may seek wisdom and work for justice and peace.,For those searching for meaning or struggling in darkness that the light of Christ may guide them.,For our parish community that we may be a beacon of Christ's light in our neighborhood.,For those who have died that they may behold the glory of God forever.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
9,Christmas,4,,Baptism of the Lord,Lord hear our prayer.,For the Church renewed in the grace of Baptism that we may be faithful to our calling as God's children.,For all those recently baptized and those preparing for the sacraments of initiation.,For our nation and world that through the waters of rebirth we may be cleansed and renewed.,For those in need of spiritual or physical healing that they may experience God's grace.,For our beloved dead who have been washed clean in the waters of eternal life.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
10,Ordinary Time,4,,First Sunday in Ordinary Time (Week 1),Lord hear our prayer.,For the Church throughout the world that we may faithfully proclaim the Gospel in word and deed.,For our nation and all in authority that they may govern with justice and wisdom.,For the poor the sick and all who suffer that they may experience God's compassion.,For our parish community and our families that we may grow in faith hope and love.,For our deceased relatives and friends and all who have died in Christ.,For the Church,For the Nations and Leaders,For Those in Need,For the Local Community,For the Faithful Departed,
