source_id,reference,book,chapter,start_verse,reading_type,locale_profile,calendar_scope,translation_family,opening,operation,join_style,confidence,first_verse_fingerprint,notes
universalis_gb_2026_05_13_john16,John 16:12-15,john,16,12,gospel,en-GB,weekday,ESVCE,At that time: Jesus said to his disciples,sourceOpening,comma,0.98,have yet many things say to you,Universalis England Westminster 2026-05-13
usccb_2026_05_13_john16,John 16:12-15,john,16,12,gospel,en-US,weekday,NABRE,Jesus said to his disciples,sourceOpening,colon,0.96,have yet many things say to you,USCCB 2026-05-13
universalis_ng_2026_05_13_john16,John 16:12-15,john,16,12,gospel,en-NG,weekday,Jerusalem Bible,Jesus said to his disciples,sourceOpening,colon,0.96,have yet many things say to you,Universalis Nigeria 2026-05-13
general_en_john16,John 16:12-15,john,16,12,gospel,en,weekday,general,Jesus said to his disciples,sourceOpening,colon,0.88,have yet many things say to you,General English fallback when regional source is unknown
universalis_gb_2026_05_13_acts17,"Acts 17:15, 22-18:1",acts,17,15,first_reading,en-GB,weekday,ESVCE,In those days,sourceOpening,colon,0.97,conducted paul brought him athens,Universalis England Westminster 2026-05-13
general_en_acts17,"Acts 17:15, 22-18:1",acts,17,15,first_reading,en,weekday,general,In those days,sourceOpening,colon,0.86,conducted paul brought him athens,General narrative lectionary fallback backed by GB source
catholicreadings_matt4_epiphany,"Matthew 4:12-17, 23-25",matthew,4,12,gospel,en,weekday,general,,rawText,none,0.90,jesus heard john had been arrested,CatholicReadings keeps the biblical temporal clause instead of adding At that time
local_weekday_mark4,Mark 4:1-20,mark,4,1,gospel,en,weekday,general,Jesus began to teach beside the sea,sourceOpening,comma,0.87,again he began teach beside sea,Local weekday lectionary text resolves the opening pronoun to Jesus
usccb_acts9,Acts 9:1-20,acts,9,1,first_reading,en,weekday,general,"Saul, still breathing threats and murder against the disciples of the Lord",sourceOpening,comma,0.86,saul still breathing threats murder disciples lord,USCCB Acts 9 keeps Saul as the acting subject
local_1john3_22,1 John 3:22-4:6,1 john,3,22,second_reading,en,weekday,general,Beloved,sourceOpening,colon,0.84,receive from him whatever we ask,Local lectionary letter opener
