rule_id,match_book,match_chapter,match_opening_regex,failure_class,transform_type,replacement,rationale,sources,locale
gt_001,matthew,24,^\W*As\W+were\W+the\W+days,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Advent/Sunday,lectionary_ground_truth,en
gt_002,luke,21,^\W*And\W+there\W+will\W+be,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Advent/Sunday,lectionary_ground_truth,en
gt_003,isaiah,11,^\W*There\W+shall\W+come\W+forth,temporal_prefix,replace_opening,"ON that day, a shoot shall sprout from the stump of Jesse",Ground truth from manual_edit_review.csv: Advent/Sunday,lectionary_ground_truth,en
gt_004,matthew,1,^\W*Now\W+the\W+birth\W+of,paraphrase,replace_opening,NOW this is how the birth of Jesus Christ came about,Ground truth from manual_edit_review.csv: Christmas/Christmas Vigil,lectionary_ground_truth,en
gt_005,luke,2,^\W*When\W+the\W+angels\W+went,temporal_prefix,replace_opening,WHEN the angels went away from them to heaven,Ground truth from manual_edit_review.csv: Christmas/Christmas Dawn,lectionary_ground_truth,en
gt_006,matthew,2,^\W*Now\W+when\W+they\W+had,temporal_prefix,replace_opening,"WHEN the magi had departed, behold",Ground truth from manual_edit_review.csv: Christmas/Sunday,lectionary_ground_truth,en
gt_007,luke,2,^\W*And\W+when\W+the\W+time,temporal_prefix,replace_opening,WHEN the days were completed for their purification,Ground truth from manual_edit_review.csv: Christmas/Sunday,lectionary_ground_truth,en
gt_008,luke,2,^\W*And\W+when\W+the\W+time,temporal_prefix,replace_opening,WHEN the days were completed for their purification,Ground truth from manual_edit_review.csv: Christmas/Sunday,lectionary_ground_truth,en
gt_009,matthew,6,^\W*Beware\W+of\W+practicing\W+your,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Lent/Ash Wednesday,lectionary_ground_truth,en
gt_010,matthew,4,^\W*Then\W+Jesus\W+was\W+led,temporal_prefix,replace_opening,AT that time Jesus was led by the Spirit into the desert,Ground truth from manual_edit_review.csv: Lent/Sunday,lectionary_ground_truth,en
gt_011,genesis,9,^\W*Then\W+God\W+said\W+to,speaker_attribute,replace_opening,GOD said to Noah and to his sons with him,Ground truth from manual_edit_review.csv: Lent/Sunday,lectionary_ground_truth,en
gt_012,deuteronomy,26,^\W*Then\W+the\W+priest\W+shall,speaker_attribute,replace_opening,"MOSES spoke to the people, saying",Ground truth from manual_edit_review.csv: Lent/Sunday,lectionary_ground_truth,en
gt_013,john,3,^\W*And\W+as\W+Moses\W+lifted,speaker_attribute,replace_opening,JESUS said to Nicodemus,Ground truth from manual_edit_review.csv: Lent/Sunday,lectionary_ground_truth,en
gt_014,john,11,^\W*Now\W+a\W+certain\W+man,paraphrase,replace_opening,"NOW a man was ill, Lazarus from Bethany",Ground truth from manual_edit_review.csv: Lent/Sunday,lectionary_ground_truth,en
gt_015,luke,22,^\W*And\W+when\W+the\W+hour,temporal_prefix,replace_opening,WHEN the hour came,Ground truth from manual_edit_review.csv: Holy Week/Palm Sunday,lectionary_ground_truth,en
gt_016,john,13,^\W*Now\W+before\W+the\W+feast,temporal_prefix,replace_opening,"BEFORE the feast of Passover, Jesus knew that his hour had come",Ground truth from manual_edit_review.csv: Holy Week/Holy Thursday,lectionary_ground_truth,en
gt_017,john,20,^\W*Now\W+on\W+the\W+first,temporal_prefix,replace_opening,WHEN the sabbath was over,Ground truth from manual_edit_review.csv: Easter/Easter Vigil,lectionary_ground_truth,en
gt_018,acts,2,^\W*And\W+they\W+devoted\W+themselves,pronoun_resolve,replace_opening,THEY devoted themselves,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_019,acts,2,^\W*But\W+Peter\W+standing\W+with,temporal_prefix,replace_opening,THEN Peter stood up with the Eleven,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_020,acts,3,^\W*The\W+God\W+of\W+Abraham,speaker_attribute,replace_opening,PETER said to the people,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_021,acts,5,^\W*And\W+when\W+they\W+had,temporal_prefix,replace_opening,WHEN the captain and the court officers had brought the apostles in,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_022,john,21,^\W*After\W+this\W+Jesus\W+revealed,temporal_prefix,replace_opening,"AT that time, Jesus revealed himself again to his disciples at",Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_023,acts,2,^\W*But\W+Peter\W+standing\W+with,temporal_prefix,replace_opening,THEN Peter stood up with the Eleven,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_024,john,10,^\W*Truly\W+truly\W+I\W+say,speaker_attribute,replace_opening,JESUS said,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_025,john,10,^\W*I\W+am\W+the\W+good,speaker_attribute,replace_opening,JESUS said,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_026,john,10,^\W*My\W+sheep\W+hear\W+my,speaker_attribute,replace_opening,JESUS said,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_027,john,14,^\W*Let\W+not\W+your\W+hearts,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_028,john,15,^\W*I\W+am\W+the\W+true,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_029,revelation,21,^\W*Then\W+I\W+saw\W+a,temporal_prefix,replace_opening,"THEN I, John, saw a new heaven and a new earth",Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_030,john,14,^\W*If\W+you\W+love\W+me,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_031,john,15,^\W*As\W+the\W+Father\W+has,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_032,john,14,^\W*Jesus\W+answered\W+him\W+If,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Easter/Sunday,lectionary_ground_truth,en
gt_033,deuteronomy,18,^\W*The\W+LORD\W+your\W+God,speaker_attribute,replace_opening,"MOSES spoke to all the people, saying",Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_034,mark,1,^\W*And\W+they\W+went\W+into,temporal_prefix,replace_opening,THEN they came to Capernaum,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
gt_035,matthew,5,^\W*You\W+are\W+the\W+salt,speaker_attribute,replace_opening,JESUS said to his disciples,Ground truth from manual_edit_review.csv: Ordinary Time/Sunday,lectionary_ground_truth,en
