source_file,reference,current_incipit,extracted_incipit,script_source,cycle,date,reading_type,notes
standard_lectionary_complete.csv,Rom 13:11-14,,,,/A,Advent 1 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Cor 1:3-9,,,,/B,Advent 1 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Thess 3:12-4:2,,,,/C,Advent 1 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 15:4-9,,,,/A,Advent 2 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,2 Pet 3:8-14,,,,/B,Advent 2 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Phil 1:4-6, 8-11",,,,/C,Advent 2 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Jas 5:7-10,,,,/A,Advent 3 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,1 Thess 5:16-24,,,,/B,Advent 3 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Phil 4:4-7,,,,/C,Advent 3 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Zephaniah 3.1-2, 9-13",,,,I/II/,Advent 3 Tuesday,First Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 1:1-7,,,,/A,Advent 4 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Rom 16:25-27,,,,/B,Advent 4 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Heb 10:5-10,,,,/C,Advent 4 Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Col 3:12-21 or 3:12-17,,,,/A,Christmas Holy Family Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Acts 10:34-38,,,,/A,Christmas Baptism of the Lord Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Eph 1:3-6, 15-18",,,,/ABC,Christmas Epiphany Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Col 3:12-21 or 3:12-17,,,,/B,Christmas Holy Family Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,"Heb 11:8, 11-12, 17-19",,,,/B,Christmas Holy Family Sunday,Second Reading,No matching reference found in script sources
standard_lectionary_complete.csv,Acts 10:34-38,,,,/B,Christmas Baptism of the Lord Sunday,Second Reading,No matching reference found in script sources
