Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Advent,1,Monday,I/II,,"Psalm 122.1-2, 3-4, 7-8, 9-10 (R.1)",Let us go rejoicing to the house of the Lord.,See Psalm 80.4,"Come and save us, Lord our God; let us see your face, and we shall be saved.",175
Advent,1,Tuesday,I/II,,"Psalm 72.1-2, 7-8, 12-13, 17 (R.7)","Justice shall flourish in his time, and fullness of peace for ever.",,"Behold, our Lord shall come with power; he will enlighten the eyes of his servants.",176
Advent,1,Wednesday,I/II,,"Psalm 23.1-3a, 3b-4, 5, 6 (R.6cd)",I shall dwell in the house of the Lord all the days of my life.,,The Lord is coming to save his people; happy are those prepared to meet him.,177
Advent,1,Thursday,I/II,,"Psalm 118.1, 8-9, 19-21, 25-27a (R.26a)",Blessed is he who comes in the name of the Lord.,Isaiah 55.6,Seek the Lord while he may be found. Call on him while he is near. 14 FIRST WEEK OF ADVENT,178
Advent,1,Friday,I/II,,"Psalm 27.1, 4, 13-14 (R.1a)",The Lord is my light and my salvation.,,"Behold, our Lord shall come in power; he will enlighten the eyes of his servants.",179
Advent,1,Saturday,I/II,,"Psalm 147.1-2, 3-4, 5-6 (R. Isa 30.18)",Happy are all who long for the coming of the Lord.,Isaiah 33.22,The Lord will judge us by his law; he is our King and Saviour.,180
Advent,2,Monday,I/II,,"Psalm 85.8ab-9, 10-11, 12-13 (R. Isa 35.4d)",Our God will come to save us!,,"Behold, the king will come, the Lord of earth, and he will set us free.",181
Advent,2,Tuesday,I/II,,"Psalm 96.1-2, 3 & 10ac, 11-12, 13 (R. Isa 40.10a)",The Lord our God comes in strength.,,The day of the Lord is near: he comes to save us. 20 SECOND WEEK OF ADVENT,182
Advent,2,Wednesday,I/II,,"Psalm 103.1-2, 3-4, 8+10 (R.1a)","O bless the Lord, my soul!",,The Lord is coming to save his people; happy are those prepared to meet him. 22 SECOND WEEK OF ADVENT,183
Advent,2,Thursday,I/II,,"Psalm 145.1+9, 10-11, 12-13ab (R.8)",The Lord is kind and merciful.++,Isaiah 45.8,"Let the clouds rain down the Just One, and the earth bring forth a Saviour. 24 SECOND WEEK OF ADVENT",184
Advent,2,Friday,I/II,,"Psalm 1.1-2, 3, 4+6 (R. see Jn 8.12)","Those who follow you, Lord, will have the light of life.",,The Lord will come; go out to meet him! He is the prince of peace.,185
Advent,2,Saturday,I/II,,"Psalm 80.1ac+2b, 14-15, 17-18 (R.3)","Lord, let us see your face and we shall be saved.++","Luke 3.4, 6","Prepare the way of the Lord, make straight his paths: all people shall see the salvation of God.",186
Advent,3,Monday,I/II,,"Psalm 25.4bc-5ab, 6-7bc, 8-9 (R.4)","Teach me your ways, O Lord.",Psalm 84.8,"Lord, show us your mercy and love, and grant us your salvation.",187
Advent,3,Tuesday,I/II,,"Psalm 34.1-2, 5-6, 17-18, 19+22 (R.6a)",The Lord hears the cry of the poor.,,"Come, O Lord, do not delay; forgive the sins of your people.",188
Advent,3,Wednesday,I/II,,"Psalm 85.8ab-9, 10-11, 12-14 (R. Isa 45.8)",Let the clouds rain down the Just One.++,Isaiah 40.9-10,Raise your voice and tell the good news: The Lord our God comes in strength.,189
Advent,3,Thursday,I/II,,"Psalm 30.1+3, 4-5, 10-11ac+12 (R.1a)","I will praise you, Lord, for you have rescued me.","Luke 3.4,6","Prepare the way of the Lord, make straight his paths: all people shall see the salvation of God. THURSDAY 37",190
Advent,3,Friday,I/II,,"Psalm 67.1-2, 4, 6-7 (R.3)","O God, let the nations praise you!",,"Come, Lord, bring us your peace; let us rejoice before you with a perfect heart.",191
Advent,Dec 17-24,Friday,I/II,,"Psalm 72.1-2, 3-4, 7-8, 17 (R.7)",Justice and peace shall flourish for ever.++,,"Come, Wisdom of our God Most High, guiding creation with power and love: teach us to walk in the path of knowledge!",191
Christmas,Octave,Friday,I/II,,"Psalm 31.2cd-3ab, 5+7ab, 15bc-16 (R.5a)","Into your hands, O Lord, I entrust my spirit.","Psalm 118.26a, 27a",Blessed is he who comes in the name of the Lord: the Lord shines upon us.,191
Christmas,After Epiphany,Friday,I/II,,"Psalm 2.7-8, 10-11 (R.8a)",I will give you all the nations for your heritage.,Matthew 4.23,Jesus preached the good news of the kingdom and healed all who were sick.,191
Christmas,Octave,Saturday,I/II,,"Psalm 131.1, 2, 3","In you, Lord, I have found my peace.",John 13.34,I give you a new commandment: love one another as I have loved you.,302
Ordinary Time,1,Monday,I,,"Psalm 97.1-2, 6+7ac, 8bc-9 (R.7b)","Worship the Lord, all angels of God.",Mark 1.15,The kingdom of God is near: repent and believe the good news.,305
Ordinary Time,1,Monday,I,,"Psalm 116.12-13, 14+17, 18-19 (R.17)","To you, Lord, I will offer a sacrifice of praise.",Mark 1.15,The kingdom of God is near: repent and believe the good news!,305
Ordinary Time,1,Monday,II,,"Psalm 149.1-2, 3-4, 5, 6a+9b (R.4a)",The Lord takes delight in his people.,John 10.27,"My sheep listen to my voice, says the Lord; I know them, and they follow me.",425
Ordinary Time,1,Monday,II,,"Psalm 96.1+3, 4-5, 11-12, 13 (R.13b)",The Lord comes to judge the earth.,Luke 4.18,The Spirit of the Lord now upon me has sent me to bring good news to the poor.,431
Ordinary Time,1,Monday,II,,"Psalm 69.29-30, 32-33, 35-36 (R.14c)","Lord, in your great love, answer me.",John 8.31b-32,"If you stay in my word, you will indeed be my disciples, and you will know the truth, says the Lord.",485
Ordinary Time,1,Monday,II,,"Psalm 96.1-2a, 2b-3, 4-5 (R.3)",Proclaim God’s marvellous deeds to all the nations.,John 10.27,"My sheep listen to my voice, says the Lord; I know them, and they follow me.",425
