source,day_label,lect_num,type,reference,rendered_first_line,best_source_line,source_method,source_confidence,issue
standard,Advent/Dec 17-24/December 17/I/II,193,first_reading,"Gen 49:2, 8-10","In the beginning: Jacob called his sons, and said:","Jacob called his sons, and said: ""Gather around, that I may tell you what will happen to you in days to come. Assemble and hear, O sons of Jacob;",weekday_direct,100,substantive_mismatch
standard,Advent/Dec 17-24/December 17/I/II,193,gospel,Matt 1:1-17,"At that time, An account of the genealogy of Jesus the Messiah,","An account of the genealogy of Jesus the Messiah,",weekday_direct,100,temporal_prefix_mismatch
standard,Advent/Dec 17-24/December 18/I/II,194,first_reading,Jer 23:5-8,"Thus says the LORD: “The days are surely coming,” says the Lord,","The days are surely coming,"" says the Lord,",weekday_direct,100,speaker_prefix_mismatch
standard,Advent/Dec 17-24/December 18/I/II,194,gospel,Matt 1:18-24,"At that time, The birth of Jesus the Messiah took place in this way.",The birth of Jesus the Messiah took place in this way.,weekday_direct,100,temporal_prefix_mismatch
standard,Advent/Dec 17-24/December 19/I/II,195,first_reading,"Judges 13:2-7, 24-25a","2. There was a certain man of Zorah, of the tribe of Dan,","There was a certain man of Zorah, of the tribe of Dan,",weekday_direct,100,match_exact
standard,Advent/Dec 17-24/December 19/I/II,195,gospel,Luke 1:5-25,"5. In the days of Herod, king of Judea, there was a priest named Zechariah,  of the division of Abijah; and he had a wife of the daughters of Aaron, and her name was Elizabeth.","In the days of King Herod of Judea,",weekday_direct,100,substantive_mismatch
standard,Advent/Dec 17-24/December 20/I/II,196,first_reading,Isa 7:10-14; 8.10d,"Thus says the LORD: The Lord spoke to Isaiah and said,","The Lord spoke to Isaiah and said,",weekday_direct,100,speaker_prefix_mismatch
standard,Advent/Dec 17-24/December 20/I/II,196,gospel,Luke 1:26-38,"26. In the sixth month the angel Gabriel was sent from God to a city of Galilee named Nazareth,",In the sixth month the angel Gabriel was sent by God,weekday_direct,100,match_paraphrase
standard,Advent/Dec 17-24/December 21/I/II,197,first_reading,Zeph 3:14-18a,"Thus says the LORD: Sing aloud, O daughter Zion;","Sing aloud, O daughter Zion;",weekday_direct,100,speaker_prefix_mismatch
standard,Advent/Dec 17-24/December 21/I/II,197,gospel,Luke 1:39-45,"39. In those days Mary arose and went with haste into the hill country, to a city of Judah,",Mary set out and went with haste,weekday_direct,100,substantive_mismatch
standard,Advent/Dec 17-24/December 22/I/II,198,first_reading,1 Sam 1:24-28,"In those days, When Hannah had weaned her son Samuel,","When Hannah had weaned her son Samuel,",weekday_direct,100,temporal_prefix_mismatch
standard,Advent/Dec 17-24/December 22/I/II,198,gospel,my Savior.,Reading text unavailable for my Savior..,,,0,no_authoritative_source
standard,Advent/Dec 17-24/December 23/I/II,199,first_reading,Mal 3:1-4; 4.5-6,"Thus says the LORD: ""Behold, I send my messenger to prepare the way before me, and the Lord whom you seek will suddenly come to his temple; the messenger of the covenant in whom you delight, behold, he is coming, says the LORD of hosts.","Thus says the Lord to Israel: ""See, I am sending my messenger to prepare the way before me,",weekday_direct,100,substantive_mismatch
standard,Advent/Dec 17-24/December 23/I/II,199,gospel,Luke 1:57-66,"57. Now the time came for Elizabeth to be delivered, and she gave birth to a son.","Now the time came for Elizabeth to give birth, and she bore a son. Her neighbours and relatives heard",weekday_direct,100,match_paraphrase
