normalized_ref,source_file,reading_type,raw_ref,candidate_line,method,confidence,page
"(l o n g e r ) daniel 13.1-9, 15-17, 19-30, 33-64",weekday_a,first_reading,"(l o n g e r ) Daniel 13.1-9, 15-17, 19-30, 33-64++",There was a man living in Babylon whose name was Joakim.,weekday_direct,100,467
(l o n g e r ) john 11.1-45,weekday_a,gospel,(l o n g e r ) John 11.1-45,"Now a certain man, Lazarus, was ill.",weekday_direct,100,462
(l o n g e r ) john 4.5-42,weekday_a,gospel,(l o n g e r ) John 4.5-42,"Jesus came to a Samaritan city called Sychar,",weekday_direct,100,420
(l o n g e r ) john 9.1-41,weekday_a,gospel,(l o n g e r ) John 9.1-41,"As Jesus walked along, he saw a man blind from birth.",weekday_direct,100,441
"(longer) genesis 16.1-12, 15-16",weekday_b,first_reading,"(longer) Genesis 16.1-12, 15-16","Now Sarai, Abram's wife, bore him no children.",weekday_direct,100,101
"(s h o r te r ) daniel 13.2, 4-6, 8, 15-16, 19-23, 28, 41-46, 48-64",weekday_a,first_reading,"(s h o r te r ) Daniel 13.2, 4-6, 8, 15-16, 19-23, 28, 41-46, 48-64++","Joakim married the daughter of Hilkiah, named Susanna,",weekday_direct,100,471
"(s h o r te r ) john 11.3-7, 17, 20-27, 33b-45",weekday_a,gospel,"(s h o r te r ) John 11.3-7, 17, 20-27, 33b-45","The sisters of Lazarus sent a message to Jesus,",weekday_direct,100,465
"(s h o r te r ) john 4.5-15, 19-26, 39, 40-42",weekday_a,gospel,"(s h o r te r ) John 4.5-15, 19-26, 39, 40-42","Jesus came to a Samaritan city called Sychar,",weekday_direct,100,423
"(s h o r te r ) john 9.1, 6-9, 13-17, 34-38",weekday_a,gospel,"(s h o r te r ) John 9.1, 6-9, 13-17, 34-38","As Jesus walked along, he saw a man blind from birth.",weekday_direct,100,444
"(shorter) genesis 16.6b-12, 15-16",weekday_b,first_reading,"(shorter) Genesis 16.6b-12, 15-16","Sarai dealt harshly with Hagar, and she ran away from her.",weekday_direct,100,102
- year a matthew 17.1-9,weekday_b,gospel,– YEAR A Matthew 17.1-9,Jesus took with him Peter and James and his brother John,weekday_direct,100,890
