source,day_label,type,reference,problems,db_first_verse,csv_incipit,index_source_file,index_raw_header_ref,candidate_first_line,candidate_source,quality_notes
standard,Advent/Dec 17-24/December 23/I/II,gospel,Luke 1:57-66,raw_verse_conjunction:now; verse_number_in_rendered,"Now the time came for Elizabeth to be delivered, and she gave birth to a son.","In those days: The time came for Elizabeth to give birth,",weekday_a,Luke 1.57-66,"Now the time came for Elizabeth to give birth, and she bore a son.",weekday_a,from weekday_a
standard,Advent/Dec 17-24/December 24/I/II,gospel,Luke 1:67-79,raw_verse_conjunction:and; verse_number_in_rendered,"And his father Zechariah was filled with the Holy Spirit, and prophesied, saying,","In those days: After Zechariah had named his son John,",weekday_a,Luke 1.67-79,"After Zechariah had named his son John, his mouth was opened and he began praising God.",weekday_a,from weekday_a
standard,Advent/2/Friday/I/II,first_reading,Isa 48:17-19,raw_verse_conjunction:thus; verse_number_in_rendered,"Thus says the LORD, your Redeemer, the Holy One of Israel: ""I am the LORD your God, who teaches you to profit, who leads you in the way you should go.",,,,,,no index match
standard,Advent/3/Friday/I/II,first_reading,"Isa 56:1-3a, 6-8",raw_verse_conjunction:thus,"Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.",,,,,,no index match
standard,Advent/4/Sunday/A,first_reading,Isa 7:10-14,conjunction_after_incipit:again,"Again the LORD spoke to Ahaz,",,,,,,no index match
standard,Advent/4/Sunday/C,first_reading,Mi 5:1-4a,raw_verse_conjunction:now; no_incipit_problematic_verse:now,Now you are walled about with a wall;  siege is laid against us; with a rod they strike upon the cheek the ruler of Israel.,,sunday,Mi 5:1-4a,"R. Alleluia, alleluia.",sunday,from sunday
standard,Christmas/Octave/December 27/I/II,first_reading,1 John 1:1-4,raw_verse_pronoun:we; raw_verse_lowercase,"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon and touched with our hands, concerning the word of life--","we acclaim you as Lord; the glorious company of apostles praise you.,697,,",weekday_a,1 John 1.1-4,Beloved:,weekday_a,from weekday_a
standard,Christmas/Octave/December 28/I/II,first_reading,1 John 1:5-2:2,raw_verse_pronoun:we; raw_verse_lowercase; verse_number_in_rendered,"This is the message we have heard from him and proclaim to you, that God is light and in him is no darkness at all.","we acclaim you as Lord; the white-robed army of martyrs praise you.,698,,",,,,,no index match
standard,Christmas/Octave/January 6/I/II,first_reading,1 John 5:5-13,raw_verse_pronoun:who; verse_number_in_rendered,Who is it that overcomes the world but he who believes that Jesus is the Son of God?,,weekday_a,1 John 5.5-13,"Beloved,",weekday_a,from weekday_a
standard,Christmas/After Epiphany/January 7/I/II,first_reading,1 John 5:5-13,raw_verse_pronoun:who; verse_number_in_rendered,Who is it that overcomes the world but he who believes that Jesus is the Son of God?,,weekday_a,1 John 5.5-13,"Beloved,",weekday_a,from weekday_a
standard,Christmas/After Epiphany/January 7/I/II,first_reading,1 John 5:5-13,raw_verse_pronoun:who; verse_number_in_rendered,Who is it that overcomes the world but he who believes that Jesus is the Son of God?,,weekday_a,1 John 5.5-13,"Beloved,",weekday_a,from weekday_a
standard,Christmas/After Epiphany/January 7/I/II,first_reading,1 John 5:5-13,raw_verse_pronoun:who; verse_number_in_rendered,Who is it that overcomes the world but he who believes that Jesus is the Son of God?,,weekday_a,1 John 5.5-13,"Beloved,",weekday_a,from weekday_a
standard,Christmas/After Epiphany/January 7/I/II,first_reading,1 John 5:5-13,raw_verse_pronoun:who; verse_number_in_rendered,Who is it that overcomes the world but he who believes that Jesus is the Son of God?,,weekday_a,1 John 5.5-13,"Beloved,",weekday_a,from weekday_a
standard,Christmas/After Epiphany/January 7/I/II,first_reading,1 John 5:5-13,raw_verse_pronoun:who; verse_number_in_rendered,Who is it that overcomes the world but he who believes that Jesus is the Son of God?,,weekday_a,1 John 5.5-13,"Beloved,",weekday_a,from weekday_a
standard,Christmas/After Epiphany/January 7/I/II,first_reading,1 John 5:5-13,raw_verse_pronoun:who; verse_number_in_rendered,Who is it that overcomes the world but he who believes that Jesus is the Son of God?,,weekday_a,1 John 5.5-13,"Beloved,",weekday_a,from weekday_a
standard,Ordinary Time/1/Wednesday/I,first_reading,Heb 2:14-18,raw_verse_conjunction:since; verse_number_in_rendered,"Since therefore the children share in flesh and blood, he himself likewise partook of the same nature, that through death he might destroy him who has the power of death, that is, the devil,","Since the children share flesh and blood,",,,,,no index match
standard,Ordinary Time/2/Thursday/II,first_reading,1 Sam 18:6-9; 19.1-7,raw_verse_conjunction:while; verse_number_in_rendered,"As they were coming home, when David returned from slaying the Philistine, the women came out of all the cities of Israel, singing and dancing, to meet King Saul, with timbrels, with songs of joy, and with instruments of music.","While the armies were coming home,",,,,,no index match
standard,Ordinary Time/2/Friday/II,first_reading,1 Sam 24:2-21,raw_verse_conjunction:then; verse_number_in_rendered,"Then Saul took three thousand chosen men out of all Israel, and went to seek David and his men in front of the Wildgoats' Rocks.","Saul took three thousand chosen men out of all Israel,",,,,,no index match
standard,Ordinary Time/3/Sunday/B,first_reading,"Jon 3:1-5, 10",raw_verse_conjunction:then; no_incipit_problematic_verse:then,"Then the word of the LORD came to Jonah the second time, saying,",,sunday,"Jon 3:1-5, 10",Jesus came to Galilee proclaiming the Gospel of God:,sunday,from sunday
standard,Ordinary Time/3/Tuesday/I,first_reading,Heb 10:1-10,raw_verse_conjunction:since,"For since the law has but a shadow of the good things to come instead of the true form of these realities, it can never, by the same sacrifices which are continually offered year after year, make perfect those who draw near.",Since the law has only a shadow of the good things to come,,,,,no index match
standard,Ordinary Time/5/Sunday/C,gospel,Luke 5:1-11,conjunction_after_incipit:while,"While the people pressed upon him to hear the word of God, he was standing by the lake of Gennesaret.",,weekday_b,Luke 5.1-11,"Once while Jesus was standing beside the lake of Gennesaret,",weekday_b,from weekday_b
standard,Ordinary Time/5/Wednesday/II,first_reading,1 Kings 10:1-10,raw_verse_lowercase,"Now when the queen of Sheba heard of the fame of Solomon concerning the name of the LORD, she came to test him with hard questions.","is truth; make us holy in the truth.,331,In the day that the Lord God made the earth and the heavens",weekday_a,1 Kings 10.1-10,"When the queen of Sheba heard of the fame of Solomon,",weekday_a,from weekday_a
standard,Ordinary Time/6/Sunday/C,first_reading,Jer 17:5-8,raw_verse_conjunction:thus; verse_number_in_rendered,"Thus says the LORD: ""Cursed is the man who trusts in man and makes flesh his arm, whose heart turns away from the LORD.",,sunday,Jer 17:5-8,your reward will be great in heaven.—R.,sunday,from sunday
standard,Ordinary Time/6/Sunday/C,gospel,"Luke 6:17, 20-26",pronoun_after_incipit:he,"And he came down with them and stood on a level place, with a great crowd of his disciples and a great multitude of people from all Judea and Jerusalem and the seacoast of Tyre and Sidon, who came to hear him and to be healed of their diseases;",,,,,,no index match
standard,Ordinary Time/6/Monday/I,gospel,Mark 8:11-13,raw_verse_lowercase; verse_number_in_rendered,"The Pharisees came and began to argue with him, seeking from him a sign from heaven, to test him.",says the Lord; no one comes to the Father,weekday_a,Mark 8.11-13,"The Pharisees came to Jesus and began to argue with him,",weekday_a,from weekday_a
