source,day_label,lect_num,type,reference,csv_incipit,derived_incipit,db_first_verse,rendered_first_line,problems
standard,Advent/Dec 17-24/December 19/I/II,195,first_reading,"Judges 13:2-7, 24-25a","There was a certain man of Zorah, of the tribe of Dan,",,"And there was a certain man of Zorah, of the tribe of the Danites, whose name was Manoah; and his wife was barren and had no children.","2. There was a certain man of Zorah, of the tribe of Dan,",verse_number_in_rendered
standard,Advent/Dec 17-24/December 19/I/II,195,gospel,Luke 1:5-25,"In those days: 5. In the days of King Herod of Judea,","In those days,","In the days of Herod, king of Judea, there was a priest named Zechariah,  of the division of Abijah; and he had a wife of the daughters of Aaron, and her name was Elizabeth.","5. In the days of Herod, king of Judea, there was a priest named Zechariah,  of the division of Abijah; and he had a wife of the daughters of Aaron, and her name was Elizabeth.",verse_number_in_rendered
standard,Advent/Dec 17-24/December 20/I/II,196,gospel,Luke 1:26-38,In those days: 26. In the sixth month the angel Gabriel was sent by God,"In those days,","In the sixth month the angel Gabriel was sent from God to a city of Galilee named Nazareth,","26. In the sixth month the angel Gabriel was sent from God to a city of Galilee named Nazareth,",verse_number_in_rendered
standard,Advent/Dec 17-24/December 21/I/II,197,gospel,Luke 1:39-45,In those days: 39. Mary set out and went with haste,"In those days,","In those days Mary arose and went with haste into the hill country, to a city of Judah,","39. In those days Mary arose and went with haste into the hill country, to a city of Judah,",verse_number_in_rendered
standard,Advent/Dec 17-24/December 22/I/II,198,gospel,my Savior.,,,[PARSE_ERROR],Reading text unavailable for my Savior..,text_unavailable
standard,Advent/Dec 17-24/December 23/I/II,199,gospel,Luke 1:57-66,"In those days: 1. The time came for Elizabeth to give birth,","In those days,","Now the time came for Elizabeth to be delivered, and she gave birth to a son.","57. Now the time came for Elizabeth to be delivered, and she gave birth to a son.",raw_verse_conjunction:now; verse_number_in_rendered
standard,Advent/Dec 17-24/December 24/I/II,200,gospel,Luke 1:67-79,"In those days: 1. After Zechariah had named his son John,","In those days,","And his father Zechariah was filled with the Holy Spirit, and prophesied, saying,","67. And his father Zechariah was filled with the Holy Spirit, and prophesied, saying,",raw_verse_conjunction:and; verse_number_in_rendered
standard,Advent/1/Sunday/B,,gospel,Mark 13:33-37,Be watchful! Be alert!,"At that time,",[VERSE_NOT_FOUND],34. Be watchful! Be alert!,verse_number_in_rendered
standard,Advent/1/Sunday/C,,first_reading,Jer 33:14-16,"THE days are coming, says the Lord, when I will fulfill the promise",Thus says the LORD:,"""Behold, the days are coming, says the LORD, when I will fulfil the  promise I made to the house of Israel and the house of Judah.","14. THE days are coming, says the Lord, when I will fulfill the promise",verse_number_in_rendered
standard,Advent/2/Friday/I/II,185,first_reading,Isa 48:17-19,,Thus says the LORD:,"Thus says the LORD, your Redeemer, the Holy One of Israel: ""I am the LORD your God, who teaches you to profit, who leads you in the way you should go.","17. Thus says the LORD, your Redeemer, the Holy One of Israel: ""I am the LORD your God, who teaches you to profit, who leads you in the way you should go.",raw_verse_conjunction:thus; verse_number_in_rendered
