season,week,day,feast,rank,color,month,day_of_month,title,collect,secret,communion,postcommunion,source_file
,,Wednesday,,,,,,Feria Quarta Quattuor Temporum Septembris,"May our frailty, we beseech You, O Lord, find support in the help of Your mercy; so that what is marred by its own nature may be restored by Your grace.","May this offering, O Lord, we beseech You, wipe away our transgressions, and make holy the minds and bodies of Your servants for celebrating this sacrifice.","!2 Esd. 8:10
Eat fat meats, and drink sweet wine, and send portions to those who have not prepared for themselves: because it is the holy day of the Lord, be not sad, for the joy of the Lord is our strength.","In partaking of Your heavenly gifts, we humbly entreat You, O Lord, that by Your grace we may receive what, through Your bounty, we perform in diligent service.",093-3.txt
,,Friday,,,,,,Feria Sexta Quattuor Temporum Septembris,"Grant, we beseech You, almighty God, that we who devoutly keep the sacred observances year by year may be pleasing unto You both in body and soul.","May the gift of our fasting, we beseech You, O Lord, be acceptable to You, and by its purifying power make us worthy of Your grace and bring us to the eternal bliss You have promised us.","!Ps 118:22, 24
Take away from me reproach and contempt, for I observe Your decrees, O Lord. Your decrees are my delight.","We beseech You, O almighty God, that, showing gratitude for the gifts we have received, we may obtain yet greater benefits.",093-5.txt
,,Saturday,,,,,,Sabbato Quattuor Temporum Septembris,"Almighty, everlasting God, You Who cure body and soul through healing self-denial, we humbly entreat Your majesty to hear favorably the devout prayer of those who fast, and to grant us help for the present and the future.","Grant, we beseech You, almighty God, that the gift in the sight of Your majesty may obtain for us the grace of reverent devotion and secure eternal happiness.","!Lev 21:41, 43
In the seventh month you shall keep this feast, as I made the Israelites dwell in booths, when I led them out of the land of Egypt. I, the Lord, am your God.","May Your sacrament, we beseech You, O Lord, produce in us what it contains, and may we share in reality what we now perform as a sacramental rite.",093-6.txt
Advent,1,Sunday,,,,,,Dominica I Adventus,"Put forth Your power, O Lord, we beseech You, and come, that with You as our protector we may be rescued from the impending danger of our sins; and with You as our deliverer, may we obtain our salvation.","May these offerings, O Lord, cleanse us by their mighty power and thus make us come purer before You Who are their author.","!Ps 84:13
The Lord will give His benefits: and our land shall yield its increase.","May we receive Your mercy, O Lord, in the midst of Your temple, and thus prepare with due observance for the coming festal season of our redemption.",Adv1-0.txt
Advent,2,Sunday,,,,,,Dominica II Adventus,"Stir up our hearts, O Lord, to prepare the ways of Your only-begotten Son, so that through His coming we may be able to serve You with purified minds.","Be appeased, we beseech You, O Lord, by the prayers and offerings of our human frailty, and where the support of our own merits is lacking, come to our assistance with Your protection.","!Bar 5:5; 4:36
Up, Jerusalem! stand upon the heights; and behold the joy that comes to you from your God.","We who have been refreshed by the food of spiritual nourishment, humbly beseech You, O Lord, that through partaking of this sacrament You will teach us to disdain the things of earth and love those of heaven.",Adv2-0.txt
Advent,3,Sunday,,,,,,Dominica III Adventus,"Lend Your ear to our prayers, O Lord, we beseech You; and brighten the darkness of our minds by the grace of Your coming.","We beseech You, O Lord, that the gift we dedicate to You, may be sacrificed continually, so that the sacramental rite You have ordained may be fully observed, and the work of Your salvation may be wonderfully effective within us.","!Isa 35:4
Say to those who are frightened: Be strong, fear not! Here is our God, He comes to save us.","We entreat You, merciful Lord, that these divine helps may cleanse us from our sins and prepare us for the coming festal season.",Adv3-0.txt
Advent,3,Wednesday,,,,,,Feria IV Quattuor Temporum in Adventu,"Grant us, we beseech You, almighty God, that the coming feast of our redemption may bring us both help for our present life, and the reward of everlasting happiness.","May our fasting, we beseech You, O Lord, be acceptable to You, and by its purifying power make us worthy of Your grace and bring us to the eternal bliss You have promised us.","!Isa 7:14
Behold, the virgin shall be with child and bear a Son, and shall name Him Emmanuel.","Refreshed by the sacramental gift of Your salvation, we humbly beseech You, O Lord, that enjoying its savor we may be made new by its action.",Adv3-3.txt
Advent,3,Friday,,,,,,Feria VI Quattuor Temporum in Adventu,"Put forth Your power, O Lord, we beseech You, and come; that those who trust in Your goodness may soon be delivered from all harm.",,"!Zach 14:5-6
Behold, the Lord shall come, and all His holy ones with Him: and there shall be in that day a great light.","May the devout reception of Your sacrament, O Lord, give us new strength, purge us of our old selves and let us come to share in the mystery of salvation.",Adv3-5.txt
Advent,3,Saturday,,,,,,Sabbato Quattuor Temporum in Adventu,"O God, You Who see how we are troubled by our evil tendencies, mercifully grant that we may find consolation in Your coming.","Look with favor, we beseech You, O Lord, upon the offerings here before You, that they may be beneficial for our devotion and for our salvation.","!Ps 18:6-7
He has rejoiced as a giant to run the way: at one end of the heavens He comes forth, and His course is to their other end.","We beseech You, O Lord our God, that the sacrament You have given as the bulwark of our atonement may be made a saving remedy for us in this life and in the life to come.",Adv3-6.txt
Advent,4,Sunday,,,,,,Dominica IV Adventus,"Put forth Your power, O Lord, we beseech You, and delay not: and with Your great might come to our aid, so that what is hindered by our sins may be hastened by Your merciful goodness.","Look with favor, O Lord, we beseech You, upon the offerings here present, that they may be profitable for our devotion and for our salvation.","!Isa 7:14
Behold, a virgin shall be with child and bear a son, and shall name Him Emmanuel.","Having received Your gifts, we beseech You, O Lord, that each partaking of this sacrament may increase within us its saving effect.",Adv4-0.txt
,,,,,,,,,"Grant us, Your servants, O Lord God, we beseech You, to enjoy lasting health of mind and body; and by the intercession of glorious and blessed Mary, ever Virgin, may we be delivered from present sorrow and partake to the full of eternal happiness.","Through Your mercy, O Lord, and by the intercession of blessed Mary, ever Virgin, the Mother of Your only-begotten Son, may this offering profit us for prosperity and peace, now and forevermore.","Blessed is the womb of the Virgin Mary, which bore the Son of the eternal Father.","Having received the aids conducive to our salvation, O Lord, we beseech You, grant that we may everywhere be protected by the patronage of blessed Mary, ever Virgin, in veneration of whom we have made these offerings to Your Majesty.",C10c.txt
,,,,,,,,,"Grant us, Your servants, O Lord God, we beseech You, to enjoy lasting health of mind and body; and by the intercession of glorious and blessed Mary, ever Virgin, may we be delivered from present sorrow and partake to the full of eternal happiness.","Through Your mercy, O Lord, and by the intercession of blessed Mary, ever Virgin, the Mother of Your only-begotten Son, may this offering profit us for prosperity and peace, now and forevermore.","!  
Blessed is the womb of the Virgin Mary, which bore the Son of the eternal Father.","Having received the aids conducive to our salvation, O Lord, we beseech You, grant that we may everywhere be protected by the patronage of blessed Mary, ever Virgin, in veneration of whom we have made these offerings to Your Majesty.",C10t.txt
Epiphany,1,Sunday,,,,,,Sanctae Familiae Jesu Mariae Joseph,"O Lord Jesus Christ, You Who while subject to Mary and Joseph, hallowed family life with virtues beyond description, grant us by their combined intercession, that, having been taught by the example of the Holy Family, we may attain unto their everlasting companionship.","In appeasement, O Lord, we offer You this sacrifice, humbly praying that through the intercession of the Virgin Mother of God, and that of St. Joseph, You will establish our households in Your peace and grace.","!Luke 2:51
Jesus went down with them, and came to Nazareth and was subject to them.","Grant, Lord Jesus, that those whom You refresh with the heavenly sacrament may ever imitate the example of Your Holy Family, so that at the hour of our death, with the glorious Virgin Mary and St. Joseph welcoming us, we may be found worthy to be received into Your everlasting home.",Epi1-0.txt
Epiphany,1,Sunday,,,,,,Dominica infra Octavam Epiphaniae,"O Lord, we beseech You, in Your heavenly goodness, hear Your people who pray to You; that they may perceive what they ought to do, and have the strength to fulfill what they have seen.","May this sacrifice that we offer You, O Lord, ever give us new life and protection.","!Luke 2:48-49
Son, why have You done so to us? In sorrow Your father and I have been seeking You. How is it that you sought Me? Did you not know that I must be about My Father’s business?","O Almighty God, grant, we humbly beseech You, that those whom You refresh with Your sacrament may also worthily serve You in a way that is well pleasing to You.",Epi1-0a.txt
Epiphany,2,Sunday,,,,,,Dominica II post Epiphaniam,"Almighty, everlasting God, You Who govern both the heavens and the earth, graciously hear the humble prayers of Your people and grant us Your peace all the days of our life.","Hallow our offerings, O Lord, and cleanse us from the stains of our sins.","!John 2:7-11
The Lord said, Fill the jars with water and take to the chief steward. When the chief steward had tasted the water after it had become wine, he said to the bridegroom, You have kept the good wine until now. This first miracle Jesus worked in the presence of His disciples.","O Lord, we beseech You that the effects of Your power may ever increase within us; and, strengthened by the divine sacrament, we may be prepared by Your grace to lay hold of what it promises.",Epi2-0.txt
Epiphany,3,Sunday,,,,,,Dominica III Post Epiphaniam,"Almighty and everlasting God, look with favor upon our weakness, and stretch forth the right hand of Your majesty to help and defend us.","May this offering, O Lord, we beseech You, wipe away our transgressions, and make holy the minds and bodies of Your servants for celebrating this sacrifice.","!Luke 4:22
All marvelled at the words that came from the mouth of God.","O Lord, as You grant us to use this great sacrament, deign, we beseech You, to make us truly worthy of its fruits.",Epi3-0.txt
Epiphany,4,Sunday,,,,,,Dominica IV Post Epiphaniam,"O God, You Who know that our human frailty cannot stand fast against the great dangers that beset us, grant us health of mind and body, that with your help we may overcome what we suffer on account of our sins.","Grant, we beseech You, almighty God, that the offering of this sacrifice may always cleanse and strengthen the weakness of our nature.","!Luke 4:22
All marvelled at the words that came from the mouth of God.","May Your gifts, O God, free us from the attraction of earthly pleasures and give us new strength through Your heavenly nourishment.",Epi4-0.txt
Epiphany,5,Sunday,,,,,,Dominica V Post Epiphaniam,"O Lord, we beseech You to keep Your household continually under Your mercy: that as it leans only upon the hope of Your heavenly grace, so it may always be protected by Your mighty power.","We offer You, O Lord, this sacrifice of atonement, that You would mercifully absolve our sins and direct our faltering hearts.","!Luke 4:22
They all marveled at these things that came from the mouth of God.","We pray You, almighty God, that we may obtain that salvation whose pledge we have received in this divine sacrament.",Epi5-0.txt
Epiphany,6,Sunday,,,,,,Dominica VI Post Epiphaniam,"Grant us, we beseech You, almighty God, ever to think of spiritual things and in every word and work always to do what is well pleasing in Your sight.","May this offering, O God, we beseech You, cleanse and renew us, govern and protect us.","!Luke 4:22
They all marveled at these things that came from the mouth of God.","Nourished by Your heavenly food, O Lord, we beseech You that we may always strive after those things that give us true life.",Epi6-0.txt
