row,season,week,day,weekday_cycle,sunday_cycle,lectionary_number,type,reference,first_verse_text,current_incipit,flag_reason
1,Advent,1,Sunday,,A,,first_reading,Isa 2:1-5,The word which Isaiah the son of Amoz saw concerning Judah and Jerusalem.,"THIS is what Isaiah, son of Amoz",
1,Advent,1,Sunday,,A,,gospel,Matt 24:37-44,"As were the days of Noah, so will be the coming of the Son of man.","JESUS said to his disciples ""As it was in the days of Noah",
2,Advent,1,Sunday,,B,,first_reading,"Isa 63:16b-17, 19b; 64:2-7","For thou art our Father, though Abraham does not know us and Israel does not acknowledge us; thou, O LORD, art our Father, our Redeemer from of old is thy name.","YOU, Lord, are our father",starts_with_conjunction:for
2,Advent,1,Sunday,,B,,gospel,Mark 13:33-37,[VERSE_NOT_FOUND: Mark 13:33],"JESUS said to his disciples ""Be watchful! Be alert!",extraction_failed
3,Advent,1,Sunday,,C,,first_reading,Jer 33:14-16,"""Behold, the days are coming, says the LORD, when I will fulfil the  promise I made to the house of Israel and the house of Judah.","THE days are coming, says the Lord",
3,Advent,1,Sunday,,C,,gospel,"Luke 21:25-28, 34-36","""And there will be signs in sun and moon and stars, and upon the earth distress of nations in perplexity at the roaring of the sea and the waves,","JESUS said to his disciples ""There will be signs in the sun, the moon, and the stars",
4,Advent,1,Monday,I/II,,175,first_reading,Isa 4.2-6,"In that day the branch of the LORD shall be beautiful and glorious, and the fruit of the land shall be the pride and glory of the survivors of Israel.",The vision that Isaiah son of Amoz saw,
4,Advent,1,Monday,I/II,,175,gospel,"Matt 8.5-11, 13","As he entered Caperna-um, a centurion came forward to him, beseeching him",When Jesus entered Capernaum,
5,Advent,1,Monday,I/II,,175,first_reading,Isa 2.1-5,The word which Isaiah the son of Amoz saw concerning Judah and Jerusalem.,The word that Isaiah son of Amoz saw,
5,Advent,1,Monday,I/II,,175,gospel,"Matt 8.5-11, 13","As he entered Caperna-um, a centurion came forward to him, beseeching him",When Jesus entered Capernaum,
6,Advent,1,Tuesday,I/II,,176,first_reading,Isa 11.1-10,"There shall come forth a shoot from the stump of Jesse, and a branch shall grow out of his roots.",A shoot shall come out from the stump of Jesse,
6,Advent,1,Tuesday,I/II,,176,gospel,Luke 10.21-24,"In that same hour he rejoiced in the Holy Spirit and said, ""I thank thee, Father, Lord of heaven and earth, that thou hast hidden these things from the wise and understanding and revealed them to babes; yea, Father, for such was thy gracious will.",The seventy returned with joy,
7,Advent,1,Wednesday,I/II,,177,first_reading,Isa 25.6-10a,"On this mountain the LORD of hosts will make for all peoples a feast of fat things, a feast of wine on the lees, of fat things full of marrow, of wine on the lees well refined.",On this mountain the Lord of hosts will make for all peoples,
7,Advent,1,Wednesday,I/II,,177,gospel,Matt 15.29-37,"And Jesus went on from there and passed along the Sea of Galilee. And he went up on the mountain, and sat down there.",After Jesus had left Tyre and Sidon,starts_with_conjunction:and
8,Advent,1,Thursday,I/II,,178,first_reading,Isa 26.1-6,"In that day this song will be sung in the land of Judah: ""We have a strong city; he sets up salvation as walls and bulwarks.",On that day this song will be sung in the land of Judah,
8,Advent,1,Thursday,I/II,,178,gospel,"Matt 7.21, 24-27","""Not every one who says to me, 'Lord, Lord,' shall enter the kingdom of heaven, but he who does the will of my Father who is in heaven.",When Jesus saw the crowds,
9,Advent,1,Friday,I/II,,179,first_reading,Isa 29.17-24,"Is it not yet a very little while until Lebanon shall be turned into a fruitful field, and the fruitful field shall be regarded as a forest?","The Lord God says this: ""Shall not Lebanon, in a very little while",
9,Advent,1,Friday,I/II,,179,gospel,Matt 9.27-31,"And as Jesus passed on from there, two blind men followed him, crying aloud, ""Have mercy on us, Son of David.""",As Jesus went on from his own village,starts_with_conjunction:and
11,Advent,2,Sunday,,A,,first_reading,Isa 11:1-10,"There shall come forth a shoot from the stump of Jesse, and a branch shall grow out of his roots.","ON that day, a shoot shall sprout from the stump of Jesse",
11,Advent,2,Sunday,,A,,gospel,Matt 3:1-12,"In those days came John the Baptist, preaching in the wilderness of Judea,","JOHN the Baptist appeared, preaching in the desert of Judea",
12,Advent,2,Sunday,,B,,first_reading,"Isa 40:1-5, 9-11","Comfort, comfort my people, says your God.","COMFORT, give comfort to my people",
12,Advent,2,Sunday,,B,,gospel,Mark 1:1-8,"The beginning of the gospel of Jesus Christ, the Son of God.",THE beginning of the gospel of Jesus Christ the Son of God,
13,Advent,2,Sunday,,C,,first_reading,Bar 5:1-9,"Take off the garment of your sorrow and affliction, O Jerusalem, and put on for ever the beauty of the glory from God.","JERUSALEM, take off your robe of mourning and misery",
13,Advent,2,Sunday,,C,,gospel,Luke 3:1-6,"In the fifteenth year of the reign of Tiberi-us Caesar, Pontius Pilate being governor of Judea, and Herod being tetrarch of Galilee, and his brother Philip tetrarch of the region of Ituraea and Trachonitis, and Lysani-as tetrarch of Abilene,",IN the fifteenth year of the reign of Tiberius Caesar,
14,Advent,2,Monday,I/II,,181,first_reading,Isa 35.1-10,"The wilderness and the dry land shall be glad, the desert shall rejoice and blossom; like the crocus",The wilderness and the dry land shall be glad,
14,Advent,2,Monday,I/II,,181,gospel,Luke 5.17-26,"On one of those days, as he was teaching, there were Pharisees and teachers of the law sitting by, who had come from every village of Galilee and Judea and from Jerusalem; and the power of the Lord was with him to heal.","One day, while Jesus was teaching",
15,Advent,2,Tuesday,I/II,,182,first_reading,Isa 40.1-11,"Comfort, comfort my people, says your God.","""Comfort, O comfort my people,"" says your God.",
15,Advent,2,Tuesday,I/II,,182,gospel,Matt 18.12-14,"What do you think? If a man has a hundred sheep, and one of them has gone astray, does he not leave the ninety-nine on the mountains and go in search of the one that went astray?",Jesus asked the disciples,
16,Advent,2,Wednesday,I/II,,183,first_reading,Isa 40.25-31,"To whom then will you compare me, that I should be like him? says the Holy One.","""To whom then will you compare me",
16,Advent,2,Wednesday,I/II,,183,gospel,Matt 11.28-30,"Come to me, all who labor and are heavy laden, and I will give you rest.","At that time, Jesus spoke to the crowds and exclaimed",
17,Advent,2,Thursday,I/II,,184,first_reading,Isa 41.13-20,"For I, the LORD your God, hold your right hand; it is I who say to you, ""Fear not, I will help you.""","Thus says the Lord ""I, the Lord your God",starts_with_conjunction:for
17,Advent,2,Thursday,I/II,,184,gospel,Matt 11.11-15,"Truly, I say to you, among those born of women there has risen no one greater than John the Baptist; yet he who is least in the kingdom of heaven is greater than he.",Now when Jesus had finished instructing his twelve disciples,
18,Advent,2,Friday,I/II,,185,first_reading,Isa 48.17-19,"Thus says the LORD, your Redeemer, the Holy One of Israel: ""I am the LORD your God, who teaches you to profit, who leads you in the way you should go.","Thus says the Lord, your Redeemer, the Holy One of Israel",starts_with_conjunction:thus
18,Advent,2,Friday,I/II,,185,gospel,Matt 11.16-19,"""But to what shall I compare this generation? It is like children sitting in the market places and calling to their playmates,",Jesus continued to speak to the crowds about John the Baptist,
20,Advent,3,Sunday,,A,,first_reading,"Isa 35:1-6a, 10","The wilderness and the dry land shall be glad, the desert shall rejoice and blossom; like the crocus",THE desert and the parched land will exult,
20,Advent,3,Sunday,,A,,gospel,Matt 11:2-11,"Now when John heard in prison about the deeds of the Christ, he sent word by his disciples",WHEN John the Baptist heard in prison of the works of the Christ,starts_with_conjunction:now
21,Advent,3,Sunday,,B,,first_reading,"Isa 61:1-2a, 10-11","The Spirit of the Lord GOD is upon me, because the LORD has anointed me to bring good tidings to the afflicted;  he has sent me to bind up the brokenhearted, to proclaim liberty to the captives, and the opening of the prison to those who are bound;",THE spirit of the Lord GOD is upon me,
21,Advent,3,Sunday,,B,,gospel,"John 1:6-8, 19-28","There was a man sent from God, whose name was John.",A MAN named John was sent from God.,
22,Advent,3,Sunday,,C,,first_reading,Zeph 3:14-18a,"Sing aloud, O daughter of Zion; shout, O Israel! Rejoice and exult with all your heart, O daughter of Jerusalem!","SHOUT for joy, O daughter Zion!",
22,Advent,3,Sunday,,C,,gospel,Luke 3:10-18,"And the multitudes asked him, ""What then shall we do?""",THE crowds asked John the Baptist,starts_with_conjunction:and
23,Advent,3,Monday,I/II,,187,first_reading,"Numbers 24.2-7, 15-17a","And Balaam lifted up his eyes, and saw Israel encamping tribe by tribe. And the Spirit of God came upon him,",Balaam looked up and saw Israel camping tribe by tribe.,starts_with_conjunction:and
23,Advent,3,Monday,I/II,,187,gospel,Matt 21.23-27,"And when he entered the temple, the chief priests and the elders of the people came up to him as he was teaching, and said, ""By what authority are you doing these things, and who gave you this authority?""",When Jesus entered the temple,starts_with_conjunction:and
24,Advent,3,Tuesday,I/II,,188,first_reading,"Zephaniah 3.1-2, 9-13","Woe to her that is rebellious and defiled, the oppressing city!",,
24,Advent,3,Tuesday,I/II,,188,gospel,Matt 21.28-32,"""What do you think? A man had two sons; and he went to the first and said, 'Son, go and work in the vineyard today.'",One day when Jesus was in the temple teaching,
25,Advent,3,Wednesday,I/II,,189,first_reading,"Isa 45.6b-8, 18, 21b-25","that men may know, from the rising of the sun and from the west, that there is none besides me; I am the LORD, and there is no other.","Thus says the Lord ""I am the Lord, and there is no other",starts_with_pronoun:that; starts_lowercase
25,Advent,3,Wednesday,I/II,,189,gospel,Luke 7.19-23,"And John, calling to him two of his disciples, sent them to the Lord, saying, ""Are you he who is to come, or shall we look for another?""",The disciples of John the Baptist reported to him,starts_with_conjunction:and
26,Advent,3,Thursday,I/II,,190,first_reading,Isa 54.1-10,"""Sing, O barren one, who did not bear; break forth into singing and cry aloud, you who have not been in travail! For the children of the desolate one will be more than the children of her that is married, says the LORD.","Thus says the Lord to Jerusalem ""Sing, O barren one who did not bear",
26,Advent,3,Thursday,I/II,,190,gospel,Luke 7.24-30,"When the messengers of John had gone, he began to speak to the crowds concerning John: ""What did you go out into the wilderness to behold? A reed shaken by the wind?",When John the Baptist's messengers had gone,starts_with_conjunction:when
28,Advent,4,Sunday,,A,,first_reading,Isa 7:10-14,"Again the LORD spoke to Ahaz,","THE LORD spoke to Ahaz, saying",starts_with_conjunction:again
28,Advent,4,Sunday,,A,,gospel,Matt 1:18-24,"Now the birth of Jesus Christ  took place in this way. When his mother Mary had been betrothed to Joseph, before they came together she was found to be with child of the Holy Spirit;",THIS is how the birth of Jesus Christ came about.,starts_with_conjunction:now
29,Advent,4,Sunday,,B,,first_reading,"2 Sam 7:1-5, 8b-12, 14a, 16","Now when the king dwelt in his house, and the LORD had given him rest from all his enemies round about,",WHEN King David was settled in his palace,starts_with_conjunction:now
29,Advent,4,Sunday,,B,,gospel,Luke 1:26-38,"In the sixth month the angel Gabriel was sent from God to a city of Galilee named Nazareth,",THE angel Gabriel was sent from God,
30,Advent,4,Sunday,,C,,first_reading,Mic 5:1-4a,Now you are walled about with a wall;  siege is laid against us; with a rod they strike upon the cheek the ruler of Israel.,"THUS says the LORD You, Bethlehem-Ephrathah",starts_with_conjunction:now
30,Advent,4,Sunday,,C,,gospel,Luke 1:39-45,"In those days Mary arose and went with haste into the hill country, to a city of Judah,",MARY set out,
31,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
31,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
32,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
32,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
33,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
33,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
34,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
34,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
35,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
35,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
36,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
36,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
37,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
37,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
38,Christmas,Holy Family,Sunday,,A,,first_reading,"Sir 3:2-7, 12-14","For the Lord honored the father above the children, and he confirmed the right of the mother over her sons.",GOD sets a father in honor over his children,starts_with_conjunction:for
38,Christmas,Holy Family,Sunday,,A,,gospel,"Matt 2:13-15, 19-23","Now when they had departed, behold, an angel of the Lord appeared to Joseph in a dream and said, ""Rise, take the child and his mother, and flee to Egypt, and remain there till I tell you; for Herod is about to search for the child, to destroy him.""","WHEN the magi had departed, behold",starts_with_conjunction:now
39,Christmas,Baptism of the Lord,Sunday,,A,,first_reading,"Isa 42:1-4, 6-7","Behold my servant, whom I uphold, my chosen, in whom my soul delights; I have put my Spirit upon him, he will bring forth justice to the nations.",THUS says the LORD Here is my servant whom I uphold,
39,Christmas,Baptism of the Lord,Sunday,,A,,gospel,Matt 3:13-17,"Then Jesus came from Galilee to the Jordan to John, to be baptized by him.",JESUS came from Galilee to John at the Jordan,starts_with_conjunction:then
40,Christmas,Epiphany,Sunday,,ABC,,first_reading,"Sir 24:1-2, 8-12","Wisdom will praise herself, and will glory in the midst of her people.","RISE up in splendor, Jerusalem! Your light has come",
40,Christmas,Epiphany,Sunday,,ABC,,gospel,"John 1:1-18 or 1:1-5, 9-14",The true light that enlightens every man was coming into the world.,IN the beginning was the Word and the Word was with God,
41,Christmas,Holy Family,Sunday,,B,,first_reading,"Sir 3:2-7, 12-14","For the Lord honored the father above the children, and he confirmed the right of the mother over her sons.",GOD sets a father in honor over his children,starts_with_conjunction:for
41,Christmas,Holy Family,Sunday,,B,,gospel,"Luke 2:22-40 or 2:22, 39-40","And when they had performed everything according to the law of the Lord, they returned into Galilee, to their own city, Nazareth.",WHEN the days were completed for their purification,starts_with_conjunction:and
42,Christmas,Holy Family,Sunday,,B,,first_reading,Gen 15:1-6; 21:1-3,"After these things the word of the LORD came to Abram in a vision, ""Fear not, Abram, I am your shield; your reward shall be very great.""","THE word of the LORD came to Abram in a vision, saying",
42,Christmas,Holy Family,Sunday,,B,,gospel,"Luke 2:22-40 or 2:22, 39-40","And when they had performed everything according to the law of the Lord, they returned into Galilee, to their own city, Nazareth.",WHEN the days were completed for their purification,starts_with_conjunction:and
43,Christmas,Baptism of the Lord,Sunday,,B,,first_reading,"Isa 42:1-4, 6-7","Behold my servant, whom I uphold, my chosen, in whom my soul delights; I have put my Spirit upon him, he will bring forth justice to the nations.",THUS says the LORD Here is my servant whom I uphold,
43,Christmas,Baptism of the Lord,Sunday,,B,,gospel,Mark 1:7-11,"And he preached, saying, ""After me comes he who is mightier than I, the thong of whose sandals I am not worthy to stoop down and untie.",THIS is what he proclaimed,starts_with_conjunction:and
44,Christmas,Baptism of the Lord,Sunday,,B,,first_reading,Isa 55:1-11,"""Ho, every one who thirsts, come to the waters; and he who has no money, come, buy and eat! Come, buy wine and milk without money and without price.",THUS says the LORD All you who are thirsty,
