occasion,petitions,page_number
"THE FIRST SUNDAY OF ADVENT"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life. |  Lord, graciously hear us. Send thy blessing upon our schools and on all who teach and learn therein. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Let us commend ourselves and all God’s people, living and dead, to the j intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. God, who art moved by repentance to have mercy even on the greatest sinners, look kindly on our humble prayers and enlighten our hearts, so that we may have strength to fulfil thy commandments: through Christ our Lord. Amen. 1","10"
"LENT"," Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. Bless our young people, that, forgetful of themselves, they may find true happiness in knowing, loving, and serving thee. | p. Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Graciously, receive the prayers of thy Church, we beg thee, Lord, so that she may triumph over all hostility and error, and serve thee in safety and freedom: through Christ our Lord. Amen, 91","100"
"LENT"," Lord, graciously hear us. Bless all who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Give peace and harmony in our homes, and a deep love of our holy religion. |  Lord, graciously hear us. (One, two, or at most three other petitions, appropriate to the time and occasion, may be added here from the Appendix.) Iet us commend ourselves and all God’s people, living and dead, to the u intercession of Our Blessed Lady, the glorious and ever-virgin Mother of God. Hail Mary, etc. Let us now pray for a while in silence. (Pause for silent prayer.) Celebrant. Iisten to the prayers of thy family. Lord, and lead us in whole-hearted -i obedience to thee, supporting and shielding us. Through our trust in thy guidance may nothing harmful befall us and good things be ours in full measure: through Christ our Lord. Amen. 92","101"
"APPENDIX","BENEFACTORS Reward all our benefactors, both living and dead, with the gift of eternal happiness. | BISHOPS Sanctify all bishops of the Church. Give them the grace to be true shepherds of their flocks, especially our own Bishop N. | CHURCH Watch over, protect, and guide thy Church, and especially our Holy Father Pope N., our own Bishop N., priests and religious everywhere, and all thy faithful people. | CHURCH AND POPE Watch over, protect, and guide thy Church, and especially our Holy Father Pope N. | CITIZENS Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. | CIVIL STRIFE Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly union. | COMMUNION (FIRST) Grant that all those who receive Holy Communion today may love the Blessed Sacrament and be faithful until death. | CONFESSION Grant that all those who at this time seek forgiveness of their sins may receive thy pardon and persevere in thy grace. | CONFIRMATION Grant that those who today receive the seven-fold gifts of the Holy Spirit may always be loyal and faithful Catholics and true disciples to thee.","102"
"COUNCIL OR SYNOD","CROPS Send us fair weather and rain in due season, that all may enjoy the fruits of the earth. | CROSSES Give us strength to bear our crosses in union with Christ Our Lord. | DEAD Lead N. thy departed servant into the company of all the saints. | Bring to a happy resurrection thy departed servant N., who on earth has been nourished by the bread of eternal life. | Grant to all our relatives, friends, and benefactors, who have departed this life, eternal rest. | Grant to the souls of thy servants the forgiveness of all their sins, that through our prayers they may obtain the pardon they have always desired. | Be mindful of those who have died in defending their country, and all who have sacrificed themselves for our well-being. | DEAD (BISHOP OR PRIEST) May this thy departed servant N., (consecrated a bishop and ) sealed with the sacred priesthood, share in the eternal priestly offering. | DOCTORS Grant to doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. | DYING Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the afflicted, and St Joseph, patron of the dying, intercede for them at this moment. | ELECTION OF POPE OR BISHOP Grant to thy Church a Bishop (a Pope) who by his zeal for souls may be pleasing to thee and who for his good government may ever be honoured by thy people.","103"
"BAPTISM","ENEMIES May we be given the grace to pray according to thy will for our enemies and all who persecute us. | EXILES Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. | FAMILY Bless especially the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues. | Give peace and harmony in our homes, and a deep love of our holy religion. | FELLOW CHRISTIANS Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world. | FIDELITY Inspire the faithful to show forth in their lives their following of thee. | FORCES Strengthen all who are engaged in our country’s defence and keep them and us from all harm. | GOVERNMENT Bless our Sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. | Guide those who govern our country that they may rule with wisdom and justice. | GUIDANCE Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will. | HAPPY DEATH Grant us the grace of a happy death in peace and charity.","104"
"LENT","Bless and make fruitful the work of this priest when he instructs the children, preaches to the people, consoles penitents, and assists the sick and dying. | Bless the parents of this priest and all who have helped to lead him to the altar. | HOLY SPIRIT Guide us by the light of thy Holy Spirit and teach us to know and do thy holy will. | HUNGRY Stir our conscience to help the hungry and the poor throughout the world. | INDUSTRIAL STRIFE Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly union. | INDUSTRIES Prosper, we pray thee, the industries of this land and all those who work in them. | INTERIOR PEACE Grant us the peace which thou alone canst give. | JUBILEES Fill our hearts with thankfulness for all the graces bestowed upon us (especially ) and grant that we may continue to be faithful until death. | LENT Give us true sorrow for our sins and a firm purpose of amendment. | LONELY Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. | MASS Grant spiritual refreshment to us all assembled here with thee, that the Eucharist may be for us the pledge of eternal glory.","105"
"MATRIMONY","Grant through the union of thy servants N. and N. the grace of a new Christian family. | Preserve the happiness of this Bride and Bridegroom through a deep understanding of the Faith. | Give to this Bride and Bridegroom the grace to bear witness to the holiness of the married state. | Renew by thy Holy Spirit the grace of this sacrament for all married people here present today. | MISSIONS Bless the missions and all who work in them, and bring to thy Church those who do not yet know thee. | PARISH MISSIONS Renew thy Spirit within us, that our mission may be fruitful in the lives of all thy people. | MOURNERS Console all those who mourn, and bring them comfort. | Bring comfort to all who mourn and grant them consolation. | NEEDY Look with compassion on the struggles of the poor, the perils of nations, the ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. | NURSES Grant to doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. | ORGANIZATIONS Strengthen the organizations of this parish, and inspire and guide their members that all may bear witness to thee. | PARISH Bless especially the families of this place, our schools and all who teach and learn therein, the activities in which we engage and the enterprises we undertake.","106"
"LENT","Bless all those who work for peace that they may achieve this holy purpose. | PEOPLE OF GOD Give thy heavenly grace to all God’s people, and especially to this congregation here present. | Teach us to know our duties and responsibilities as God’s people in the life of thy Church. | POPE Watch over, protect, and guide thy Church, and especially our Holy Father Pope N., our own Bishop N., priests and religious everywhere, and all thy faithful people. | Watch over, protect, and guide thy Church, and especially our Holy Father Pope N. | PRIESTS &amp; RELIGIOUS Bless all priests and all men and women consecrated to thy service in the religious life. | PRISONERS Show pity to all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. | RELIGIOUS Bless all priests and all men and women consecrated to thy service in the religious life. | RULERS Direct all rulers that thy people everywhere may know good government and enjoy lasting peace. | Guide those who govern our country that they may rule with wisdom and justice. | Bless our Sovereign N. and all the royal family. Guide those who govern our country, that they may rule with wisdom and justice. | SACRAMENTS Grant that those who today receive thy sacraments may derive from them plentiful grace. | SCHOOLS Send thy blessing upon our schools and all who teach and learn therein.","107"
"BAPTISM","TRAVELLERS Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. | UNITY Grant that all Christian people may know and find true unity in thee. | Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world. | UNIVERSITIES Enlighten with thy Spirit all places of education and learning. | VOCATIONS Send us zealous and holy priests and grant perseverance to all who are preparing for the priesthood and for the religious life. | WEALTH Help us to realise that we are the stewards of all we possess and to use thy gifts wisely and generously. | WEATHER Send us fair weather and rain in due season, that all may enjoy the fruits of the earth. | WORKERS Help our people in their daily work so to dedicate their labour to thee that it may reflect the beauty of thy creation. | YOUNGER NATIONS Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller fife. | YOUTH Bless our young people, that, forgetful of themselves, they may find true happiness in knowing, loving, and serving thee.","109"
