page_number,occasion,petitions
10,THE FIRST SUNDAY OF ADVENT," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life. |  Lord, graciously hear us. Send thy blessing upon our schools and on all who teach and learn therein."
100,YOUTH RALLIES," Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows."
101,WEDDINGS," Lord, graciously hear us. Bless all who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Give peace and harmony in our homes, and a deep love of our holy religion."
11,THE SECOND SUNDAY OF ADVENT," Lord, graciously hear us. Bless all those who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. rant us the peace of Christ and the salvation which he came to bring."
12,THE THIRD SUNDAY OF ADVENT," Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life. |  Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage and the enterprises we undertake."
13,THE FOURTH SUNDAY OF ADVENT," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Look with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows."
14,CHRISTMAS DAY THE NATIVITY OF OUR LORD," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Endue them with thy Holy Spirit, enrich them with thy heavenly grace; prosper them with all happiness, and bring them to thy everlasting kingdom. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. ive peace and harmony in our homes, and a deep love of our holy religion."
15,SUNDAY WITHIN THE OCTAVE OF CHRISTMAS," Lord, graciously hear us. Guide those who govern our country that they may rule with wisdom and justice. |  Lord, graciously hear us. Look with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. rant us the peace of Christ and the salvation which he came to bring."
16,THE OCTAVE OF THE NATIVITY," Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Grant spiritual refreshment to us all assembled here with thee, that the Eucharist may be for us the pledge of eternal glory."
17,THE MOST HOLY NAME OF JESUS," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Endue them with thy Holy Spirit; enrich them with thy heavenly grace; prosper them all with happiness, and bring them to thy everlasting kingdom. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world."
18,THE EPIPHANY OF OUR LORD," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and follow it. |  Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life."
19,THE FIRST SUNDAY AFTER EPIPHANY (THE HOLY FAMILY)," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Bless the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues."
20,THE SECOND SUNDAY AFTER EPIPHANY," Lord, graciously hear us. Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly love. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy Angels guard them. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage, and the enterprises we undertake."
21,THE THIRD SUNDAY AFTER EPIPHANY," Lord, graciously hear us. Strengthen all who are engaged in our country’s defence and keep them and us from all harm. |  Lord, graciously hear us. Grant to doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives that they are followers of thy Son, Our Lord Jesus Christ."
22,THE FOURTH SUNDAY AFTER EPIPHANY," Lord, graciously hear us. Heal thy servants, Lord, who are sick and put their trust in thee. Send them help, Lord, and comfort. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity."
