season,week,day,occasion_1967,season_mapped,week_mapped,day_mapped,cycle_applicability,notes,petitions,page_number
"Advent","1","Sunday","THE FIRST SUNDAY OF ADVENT","Advent","1","Sunday","ALL","Cycle-independent"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life. |  Lord, graciously hear us. Send thy blessing upon our schools and on all who teach and learn therein.","10"
"Special","Community","Event","YOUTH RALLIES","Special","Community","Event","ALL","Youth Rally"," Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows.","100"
"Special","Marriage","Sacrament","WEDDINGS","Special","Marriage","Sacrament","ALL","Wedding"," Lord, graciously hear us. Bless all who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy angels guard them. |  Lord, graciously hear us. Give peace and harmony in our homes, and a deep love of our holy religion.","101"
"Advent","2","Sunday","THE SECOND SUNDAY OF ADVENT","Advent","2","Sunday","ALL","Cycle-independent"," Lord, graciously hear us. Bless all those who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. rant us the peace of Christ and the salvation which he came to bring.","11"
"Advent","3","Sunday","THE THIRD SUNDAY OF ADVENT","Advent","3","Sunday","ALL","Cycle-independent"," Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life. |  Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage and the enterprises we undertake.","12"
"Advent","4","Sunday","THE FOURTH SUNDAY OF ADVENT","Advent","4","Sunday","ALL","Cycle-independent"," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Look with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows.","13"
"Christmas","Christmas","Sunday","CHRISTMAS DAY THE NATIVITY OF OUR LORD","Christmas","Christmas","Sunday","ALL","Christmas Day"," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Endue them with thy Holy Spirit, enrich them with thy heavenly grace; prosper them with all happiness, and bring them to thy everlasting kingdom. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. ive peace and harmony in our homes, and a deep love of our holy religion.","14"
"Christmas","Holy Family","Sunday","SUNDAY WITHIN THE OCTAVE OF CHRISTMAS","Christmas","Holy Family","Sunday","ALL","Holy Family"," Lord, graciously hear us. Guide those who govern our country that they may rule with wisdom and justice. |  Lord, graciously hear us. Look with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. rant us the peace of Christ and the salvation which he came to bring.","15"
"Christmas","Octave","Sunday","THE OCTAVE OF THE NATIVITY","Christmas","Octave","Sunday","ALL","Octave of Christmas"," Lord, graciously hear us. Bless and strengthen the sick, especially the sick of this parish, and all who have care of them. |  Lord, graciously hear us. Grant spiritual refreshment to us all assembled here with thee, that the Eucharist may be for us the pledge of eternal glory.","16"
"Christmas","Holy Name","Sunday","THE MOST HOLY NAME OF JESUS","Christmas","Holy Name","Sunday","ALL","Holy Name of Jesus"," Lord, graciously hear us. Bless our sovereign N. and all the royal family. Endue them with thy Holy Spirit; enrich them with thy heavenly grace; prosper them all with happiness, and bring them to thy everlasting kingdom. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Bless all those who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world.","17"
"Christmas","Epiphany","Sunday","THE EPIPHANY OF OUR LORD","Christmas","Epiphany","Sunday","ALL","Epiphany"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and follow it. |  Lord, graciously hear us. Guide and prosper the younger nations of the world, and assist them in their progress towards a fuller life.","18"
"Christmas","Holy Family","Sunday","THE FIRST SUNDAY AFTER EPIPHANY (THE HOLY FAMILY)","Christmas","Holy Family","Sunday","ALL","Holy Family"," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Bless the families of this place, that, following the example of Nazareth, they may show forth the Christian virtues.","19"
"Christmas","2","Sunday","THE SECOND SUNDAY AFTER EPIPHANY","Christmas","2","Sunday","ALL","After Epiphany"," Lord, graciously hear us. Remove all strife and bitterness from those who are at variance, so that they may serve thee in true brotherly love. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. May thy holy Angels guard them. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage, and the enterprises we undertake.","20"
"Christmas","3","Sunday","THE THIRD SUNDAY AFTER EPIPHANY","Christmas","3","Sunday","ALL","After Epiphany"," Lord, graciously hear us. Strengthen all who are engaged in our country’s defence and keep them and us from all harm. |  Lord, graciously hear us. Grant to doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives that they are followers of thy Son, Our Lord Jesus Christ.","21"
"Christmas","4","Sunday","THE FOURTH SUNDAY AFTER EPIPHANY","Christmas","4","Sunday","ALL","After Epiphany"," Lord, graciously hear us. Heal thy servants, Lord, who are sick and put their trust in thee. Send them help, Lord, and comfort. |  Lord, graciously hear us. Grant us the grace of a happy death in peace and charity.","22"
"Christmas","5","Sunday","THE FIFTH SUNDAY AFTER EPIPHANY","Christmas","5","Sunday","ALL","After Epiphany"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, gracious hear us. Grant to doctors, surgeons, and nurses, wisdom and skill, sympathy and patience; and send down thy blessing on all who labour to prevent suffering. |  Lord, graciously hear us. Strengthen the organizations of this parish, and inspire and guide their members that all may bear witness to Christ Our Lord and our unity in him.","23"
"Christmas","6","Sunday","THE SIXTH SUNDAY AFTER EPIPHANY","Christmas","6","Sunday","ALL","After Epiphany"," Lord, graciously hear us. Enlighten with thy Spirit all places of education and learning. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless all who are united with us in Christian baptism and in thy love and service, that together we may bear witness to thy name in this place and throughout the world.","24"
"Obsolete","Pre-Lent","Sunday","SEPTUAGESIMA SUNDAY","Obsolete","Pre-Lent","Sunday","ALL","Removed from current calendar"," Lord, graciously hear us. Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Iook with compassion on the struggles of the poor, the perils of nations, the a ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. ive peace and harmony in our homes, and a deep love of our holy religion.","25"
"Obsolete","Pre-Lent","Sunday","SEXAGESIMA SUNDAY","Obsolete","Pre-Lent","Sunday","ALL","Removed from current calendar"," Lord, graciously hear us. Bless all those who work for peace, that they may achieve their holy purpose. |  Lord, graciously hear us. Into thy hands we commend all those who are now in their last agony. May Our Lady, Consoler of the Afflicted, and St Joseph, patron of the dying, intercede for them at this moment. |  Lord, graciously hear us. Inspire the faithful to show forth in their lives their following of thee.","26"
"Obsolete","Pre-Lent","Sunday","QUINQUAGESIMA SUNDAY","Obsolete","Pre-Lent","Sunday","ALL","Removed from current calendar"," Lord, graciously hear us. Grant all nations true peace and understanding. |  Lord, graciously hear us. Have pity on all prisoners and captives, those in exile, and all who suffer persecution. Strengthen and uphold them. |  Lord, graciously hear us. Inspire us with the light of thy Holy Spirit and teach us to know and do thy holy will.","27"
"Lent","1","Sunday","THE FIRST SUNDAY IN LENT","Lent","1","Sunday","ALL","Cycle-independent"," Lord, graciously hear us. Help us to realize that we are the stewards of all we possess and to use thy gifts wisely and generously. |  Lord, graciously hear us. Stir our consciences to help the hungry and the poor throughout the world.","28"
"Lent","2","Sunday","THE SECOND SUNDAY IN LENT","Lent","2","Sunday","ALL","Cycle-independent"," Lord, graciously hear us, Guide the minds and hearts of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Comfort the suffering, console the lonely, protect the homeless, restore peace to those troubled in mind and body. |  Lord, graciously hear us. Bless especially the families of this place, our schools, and all who teach and learn therein, the activities in which we engage, and the enterprises we undertake.","29"
"Lent","3","Sunday","THE THIRD SUNDAY IN LENT","Lent","3","Sunday","ALL","Cycle-independent"," Lord, graciously hear us. Guide the minds of all our citizens that they may strive to know thy will and to follow it. |  Lord, graciously hear us. Protect all who travel by land, sea, or air, that they may come safely to their destinations. |  Lord, graciously hear us. Inspire us with the light of the Holy Spirit and teach us to know and do thy holy will.","30"
"Lent","4","Sunday","THE FOURTH SUNDAY IN LENT","Lent","4","Sunday","ALL","Cycle-independent"," Lord, graciously hear us. Bless all those who work for peace, that they may achieve this holy purpose. |  Lord, graciously hear us. Look with compassion on the struggles of the poor, the perils of nations, the j ordeals of captives, the desolation of orphans, the hardships of travellers, the anguish of the incurably sick, the failing strength of the aged, the grief of widows. |  Lord, graciously hear us. rant us the peace of Christ and the salvation which he came to bring.","31"
