row,season,week,day,weekday_cycle,sunday_cycle,lectionary_number,type,reference,first_verse_text,current_incipit,flag_reason
2,Advent,1,Sunday,,B,,first_reading,"Isa 63:16b-17, 19b; 64:2-7","For thou art our Father, though Abraham does not know us and Israel does not acknowledge us; thou, O LORD, art our Father, our Redeemer from of old is thy name.","YOU, Lord, are our father",starts_with_conjunction:for
2,Advent,1,Sunday,,B,,gospel,Mark 13:33-37,[VERSE_NOT_FOUND: Mark 13:33],"JESUS said to his disciples ""Be watchful! Be alert!",extraction_failed
7,Advent,1,Wednesday,I/II,,177,gospel,Matt 15.29-37,"And Jesus went on from there and passed along the Sea of Galilee. And he went up on the mountain, and sat down there.",After Jesus had left Tyre and Sidon,starts_with_conjunction:and
9,Advent,1,Friday,I/II,,179,gospel,Matt 9.27-31,"And as Jesus passed on from there, two blind men followed him, crying aloud, ""Have mercy on us, Son of David.""",As Jesus went on from his own village,starts_with_conjunction:and
17,Advent,2,Thursday,I/II,,184,first_reading,Isa 41.13-20,"For I, the LORD your God, hold your right hand; it is I who say to you, ""Fear not, I will help you.""","Thus says the Lord ""I, the Lord your God",starts_with_conjunction:for
18,Advent,2,Friday,I/II,,185,first_reading,Isa 48.17-19,"Thus says the LORD, your Redeemer, the Holy One of Israel: ""I am the LORD your God, who teaches you to profit, who leads you in the way you should go.","Thus says the Lord, your Redeemer, the Holy One of Israel",starts_with_conjunction:thus
20,Advent,3,Sunday,,A,,gospel,Matt 11:2-11,"Now when John heard in prison about the deeds of the Christ, he sent word by his disciples",WHEN John the Baptist heard in prison of the works of the Christ,starts_with_conjunction:now
22,Advent,3,Sunday,,C,,gospel,Luke 3:10-18,"And the multitudes asked him, ""What then shall we do?""",THE crowds asked John the Baptist,starts_with_conjunction:and
23,Advent,3,Monday,I/II,,187,first_reading,"Numbers 24.2-7, 15-17a","And Balaam lifted up his eyes, and saw Israel encamping tribe by tribe. And the Spirit of God came upon him,",Balaam looked up and saw Israel camping tribe by tribe.,starts_with_conjunction:and
23,Advent,3,Monday,I/II,,187,gospel,Matt 21.23-27,"And when he entered the temple, the chief priests and the elders of the people came up to him as he was teaching, and said, ""By what authority are you doing these things, and who gave you this authority?""",When Jesus entered the temple,starts_with_conjunction:and
25,Advent,3,Wednesday,I/II,,189,first_reading,"Isa 45.6b-8, 18, 21b-25","that men may know, from the rising of the sun and from the west, that there is none besides me; I am the LORD, and there is no other.","Thus says the Lord ""I am the Lord, and there is no other",starts_with_pronoun:that; starts_lowercase
25,Advent,3,Wednesday,I/II,,189,gospel,Luke 7.19-23,"And John, calling to him two of his disciples, sent them to the Lord, saying, ""Are you he who is to come, or shall we look for another?""",The disciples of John the Baptist reported to him,starts_with_conjunction:and
26,Advent,3,Thursday,I/II,,190,gospel,Luke 7.24-30,"When the messengers of John had gone, he began to speak to the crowds concerning John: ""What did you go out into the wilderness to behold? A reed shaken by the wind?",When John the Baptist's messengers had gone,starts_with_conjunction:when
28,Advent,4,Sunday,,A,,first_reading,Isa 7:10-14,"Again the LORD spoke to Ahaz,","THE LORD spoke to Ahaz, saying",starts_with_conjunction:again
28,Advent,4,Sunday,,A,,gospel,Matt 1:18-24,"Now the birth of Jesus Christ  took place in this way. When his mother Mary had been betrothed to Joseph, before they came together she was found to be with child of the Holy Spirit;",THIS is how the birth of Jesus Christ came about.,starts_with_conjunction:now
29,Advent,4,Sunday,,B,,first_reading,"2 Sam 7:1-5, 8b-12, 14a, 16","Now when the king dwelt in his house, and the LORD had given him rest from all his enemies round about,",WHEN King David was settled in his palace,starts_with_conjunction:now
30,Advent,4,Sunday,,C,,first_reading,Mic 5:1-4a,Now you are walled about with a wall;  siege is laid against us; with a rod they strike upon the cheek the ruler of Israel.,"THUS says the LORD You, Bethlehem-Ephrathah",starts_with_conjunction:now
31,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
31,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
32,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
32,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
33,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
33,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
34,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
34,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
35,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
35,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
36,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
36,Advent,Dec 17-24,Friday,I/II,,191,gospel,"John 5.16-17, 33-36","And this was why the Jews persecuted Jesus, because he did this on the sabbath.",Jesus went up to Jerusalem for the festival,starts_with_conjunction:and
37,Advent,Dec 17-24,Friday,I/II,,191,first_reading,"Isa 56.1-3a, 6-8","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","Thus says the Lord ""Maintain justice, and do what is right",starts_with_conjunction:thus
