source,day_label,lect_num,type,reference,csv_incipit,derived_incipit,db_first_verse,rendered_first_line,problems
standard,Advent/1/Sunday/A,,gospel,Matt 24:37-44,"JESUS said to his disciples ""As it was in the days of Noah","At that time,","As were the days of Noah, so will be the coming of the Son of man.","37. JESUS said to his:: As were the days of Noah, so will be the coming of the Son of man.",verse_number_in_rendered
standard,Advent/1/Sunday/B,,first_reading,"Isa 63:16b-17, 19b; 64:2-7","YOU, Lord, are our father",Thus says the LORD:,"For thou art our Father, though Abraham does not know us and Israel does not acknowledge us; thou, O LORD, art our Father, our Redeemer from of old is thy name.","16. thou, O LORD, art our Father, our Redeemer from of old is thy name",raw_verse_lowercase; verse_number_in_rendered
standard,Advent/1/Sunday/B,,gospel,Mark 13:33-37,"JESUS said to his disciples ""Be watchful! Be alert!","At that time,",[VERSE_NOT_FOUND],"34. JESUS said to his: It is like a man going on a journey, when he leaves home and puts his servants in charge, each with his work, and commands the doorkeeper to be on the watch.",verse_number_in_rendered; pronoun_after_incipit:it
standard,Advent/1/Sunday/C,,first_reading,Jer 33:14-16,"THE days are coming, says the Lord",Thus says the LORD:,"""Behold, the days are coming, says the LORD, when I will fulfil the  promise I made to the house of Israel and the house of Judah.","14. ""Behold, the days are coming, says the LORD, when I will fulfil the  promise I made to the house of Israel and the house of Judah.",verse_number_in_rendered
standard,Advent/1/Sunday/C,,gospel,"Luke 21:25-28, 34-36","JESUS said to his disciples ""There will be signs in the sun, the moon, and the stars","At that time,","""And there will be signs in sun and moon and stars, and upon the earth distress of nations in perplexity at the roaring of the sea and the waves,","25. JESUS said to his:: ""And there will be signs in sun and moon and stars, and upon the earth distress of nations in perplexity at the roaring of the sea and the waves,",verse_number_in_rendered
standard,Advent/1/Monday/I/II,175,first_reading,Isa 4.2-6,The vision that Isaiah son of Amoz saw,Thus says the LORD:,"In that day the branch of the LORD shall be beautiful and glorious, and the fruit of the land shall be the pride and glory of the survivors of Israel.",Reading text unavailable for Isa 4.2-6.,text_unavailable
standard,Advent/1/Monday/I/II,175,gospel,"Matt 8.5-11, 13",When Jesus entered Capernaum,"At that time,","As he entered Caperna-um, a centurion came forward to him, beseeching him","Reading text unavailable for Matt 8.5-11, 13.",text_unavailable
standard,Advent/1/Monday/I/II,175,first_reading,Isa 2.1-5,The word that Isaiah son of Amoz saw,Thus says the LORD:,The word which Isaiah the son of Amoz saw concerning Judah and Jerusalem.,Reading text unavailable for Isa 2.1-5.,text_unavailable
standard,Advent/1/Monday/I/II,175,gospel,"Matt 8.5-11, 13",When Jesus entered Capernaum,"At that time,","As he entered Caperna-um, a centurion came forward to him, beseeching him","Reading text unavailable for Matt 8.5-11, 13.",text_unavailable
standard,Advent/1/Tuesday/I/II,176,first_reading,Isa 11.1-10,A shoot shall come out from the stump of Jesse,Thus says the LORD:,"There shall come forth a shoot from the stump of Jesse, and a branch shall grow out of his roots.",Reading text unavailable for Isa 11.1-10.,text_unavailable
