Season,Week,Day,Weekday Cycle,Sunday Cycle,Full Reference,Refrain Text,Acclamation Ref,Acclamation Text,Lectionary Number
Ordinary Time,6,Monday,II,,"Psalm 50.1+8, 16bc-17, 20-21 (R.14a)",Offer to God a sacrifice of praise.,John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me. MONDAY 931",335
Ordinary Time,6,Tuesday,II,,"Psalm 29.1a+2, 3ac+4, 3b+9b-10 (R.11b)",The Lord will bless his people with peace.,John 14.23,"All who love me, will keep my words, and my Father will love them, and we will come to them.",336
Ordinary Time,6,Wednesday,II,,"Psalm 116.12-13, 14-15, 18-19 (R.17)","To you, Lord, I will offer a sacrifice of praise.",See Ephesians 1.17-18,"May the Father of our Lord Jesus Christ enlighten the eyes of our heart, that we might see how great is the hope to which we are called.",337
Ordinary Time,6,Thursday,II,,"Psalm 102.15-17, 18-20, 28+21-22 (R.19)",From heaven the Lord looks down on the earth.,"John 6.63b, 68b","Your words, Lord, are spirit and life; you have the words of everlasting life. 938 SIXTH WEEK IN ORDINARY TIME – YEAR I",338
Ordinary Time,6,Friday,II,,"Psalm 33.10-11, 12-13, 14-15 (R.12)",Happy the people the Lord has chosen to be his own.,John 15.15b,"I call you my friends, says the Lord, for I have made known to you all that the Father has told me.",339
Ordinary Time,6,Saturday,II,,"Psalm 145.2-3, 4-5, 10-11 (R. see 1)","I will praise your name for ever, Lord.",See Mark 9.6,"The heavens were opened and the Father’s voice was heard: This is my beloved Son, hear him. 942 SIXTH WEEK IN ORDINARY TIME – YEAR I",340
Ordinary Time,7,Monday,II,,"Psalm 93.1ab, 1c-2, 4c-5 (R.1a)++","The Lord is king, he is robed in majesty.",2 Timothy 1.10b,Our Saviour Jesus Christ has done away with death and brought us life through the gospel.,341
Ordinary Time,7,Tuesday,II,,"Psalm 37.3-4, 18-19, 27-28, 39-40 (R. see 5)","Commit your life to the Lord, and the Lord will help you.",Galatians 6.14,"My only glory is the cross of our Lord Jesus Christ, which crucifies the world to me and me to the world.",342
Ordinary Time,7,Wednesday,II,,"Psalm 119.165+168, 171-172, 174-175 (R.165a)","Those who love your law have great peace, O Lord.++",John 14.6,"I am the way, the truth, and the life, says the Lord; no one comes to the Father, except through me.",343
Ordinary Time,7,Thursday,II,,"Psalm 1.1-2, 3, 4+6 (R.40.5a)",Happy are they who hope in the Lord.,1 Thessalonians 2.13,"Receive this message not as human words, but as truly the word of God.",344
Ordinary Time,7,Friday,II,,"Psalm 119.12+16, 18+27, 34-35 (R.35a)","Guide me, Lord, in the way of your commands.",John 17.17,"Your word, O Lord, is truth; make us holy in the truth.",345
Ordinary Time,7,Saturday,II,,"Psalm 103.13-14, 15-16, 17-18 (R. see 17)",The Lord’s kindness is everlasting to those who fear him.,See Matthew 11.25,"Blessed are you, Father, Lord of heaven and earth; you have revealed to little ones the mysteries of the kingdom.",346
Ordinary Time,8,Monday,II,,"Psalm 32.1-2, 5, 6, 7 (R.11a)",Let the just exult and rejoice in the Lord.,2 Corinthians 8.9,"Jesus Christ was rich but he became poor, to make you rich out of his poverty.",347
