weekday_cycle,source_file,season,reference_status,day,psalm_response,acclamation_ref,first_reading,reading_cycle,sunday_cycle,acclamation_text,week,first_reading_incipit,lectionary_number,gospel,parser_warnings,second_reading,source_page,psalm_reference,gospel_incipit,source_title,second_reading_incipit
,sunday_readings_columns.txt,Advent,unverified,Sunday,Let us go rejoicing to the house of the Lord.,cf. Ps 85:8,Isa 2:1-5,,A,"Lord, show us your love; and grant us your salvation.-R.",1,"THIS is what Isaiah, son of Amoz",,Matt 24:37-44,,Rom 13:11-14,15,"Ps 122:1-2, 3-4, 4-5, 6-7, 8-9",JESUS said to his disciples,FIRST SUNDAY OF ADVENT-A,BROTHERS and sisters
,sunday_readings_columns.txt,Advent,unverified,Sunday,"(4) Lord, make us turn to you;",Ps 85:8,"Isa 63:16b-17, 19b; 64:2-7",,B,"Show us Lord, your love; and grant us your salvation.-R.",1,"YOU, Lord, are our father",,Mark 13:33-37,,1 Cor 1:3-9,16,"Ps 80:2-3, 15-16, 18-19",JESUS said to his disciples,FIRST SUNDAY OF ADVENT-B,BROTHERS and sisters
,sunday_readings_columns.txt,Advent,unverified,Sunday,"(1b) To you, O Lord, I lift my soul.",Ps 85:8,Jer 33:14-16,,C,"Show us, Lord, your love; and grant us your salvation.-R.",1,"THE days are coming, says the Lord",,"Luke 21:25-28, 34-36",,1 Thess 3:12-4:2,17,"Ps 25:4-5, 8-9, 10, 14",JESUS said to his disciples,FIRST SUNDAY OF ADVENT-C,BROTHERS and sisters
,sunday_readings_columns.txt,Advent,unverified,Sunday,"Justice shall flourish in his time, and fullness of peace for ever.","Luke 3:4, 6",Isa 11:1-10,,A,"Prepare the way of the Lord, make straight his paths: all flesh shall see the salvation of God.-R.",2,"ON that day, a shoot shall sprout from the stump of Jesse",,Matt 3:1-12,,Rom 15:4-9,18,"Ps 72:1-2, 7-8, 12-13, 17","JOHN the Baptist appeared, preaching in the desert of Judea",SECOND SUNDAY OF ADVENT-A,BROTHERS and sisters
,sunday_readings_columns.txt,Advent,unverified,Sunday,"(8) Lord, let us see your kindness, and grant us your salvation.","Luke 3:4, 6","Isa 40:1-5, 9-11",,B,"Prepare the way of the Lord, make straight his paths: all flesh shall see the salvation of God.-R.",2,"COMFORT, give comfort to my people",,Mark 1:1-8,,2 Pet 3:8-14,19,"Ps 85:9-10-11-12, 13-14",THE beginning of the gospel of Jesus Christ the Son of God,SECOND SUNDAY OF ADVENT-B,"DO not ignore this one fact, beloved"
,sunday_readings_columns.txt,Advent,unverified,Sunday,(3) The Lord has done great things for us; we are filled with joy.,"Luke 3:4, 6",Bar 5:1-9,,C,"Prepare the way of the Lord, make straight his paths: all flesh shall see the salvation of God.-R.",2,"JERUSALEM, take off your robe of mourning and misery",,Luke 3:1-6,,"Phil 1:4-6, 8-11",20,"Ps 126:1-2, 2-3, 4-5, 6",IN the fifteenth year of the reign of Tiberius Caesar,SECOND SUNDAY OF ADVENT-C,BROTHERS and sisters
,sunday_readings_columns.txt,Advent,unverified,Sunday,"Lord, come and save us.","Isa 61:1, cited in Luke 4:18","Isa 35:1-6a, 10",,A,"The Spirit of the Lord is upon me, because he has anointed me to bring glad tidings to the poor.-R.",3,THE desert and the parched land will exult,,Matt 11:2-11,,Jas 5:7-10,21,"Ps 146:6-7, 8-9, 9-10",WHEN John the Baptist heard in prison of the works of the Christ,THIRD SUNDAY OF ADVENT-A,"BE patient, brothers and sisters"
,sunday_readings_columns.txt,Advent,unverified,Sunday,(Isaiah 61:10b) My soul rejoices in my God.,"Isa 61:1, cited in Luke 4:18","Isa 61:1-2a, 10-11",,B,"The Spirit of the Lord is upon me, because he has anointed me to bring glad tidings to the poor.-R.",3,THE spirit of the Lord GOD is upon me,,"John 1:6-8, 19-28",,1 Thess 5:16-24,22,"Luke 1:46-48, 49-50, 53-54",A MAN named John was sent from God.,THIRD SUNDAY OF ADVENT-B,BROTHERS and sisters
,sunday_readings_columns.txt,Advent,unverified,Sunday,(6) Cry out with joy and gladness:,"Isa 61:1, cited in Luke 4:18",Zeph 3:14-18a,,C,"The Spirit of the Lord is upon me, because he has anointed me to bring glad tidings to the poor.-R.",3,"SHOUT for joy, O daughter Zion!",,Luke 3:10-18,,Phil 4:4-7,23,"Isa 12:2-3, 4, 5-6",THE crowds asked John the Baptist,THIRD SUNDAY OF ADVENT-C,BROTHERS and sisters
,sunday_readings_columns.txt,Advent,unverified,Sunday,(7c and 10b) Let the Lord enter; he is king of glory.,Matt 1:23,Isa 7:10-14,,A,"The virgin shall conceive, and bear a son, they shall name him Emmanuel.-R.",4,"THE LORD spoke to Ahaz, saying",,Matt 1:18-24,,Rom 1:1-7,24,"Ps 24:1-2, 3-4, 5-6",THIS is how the birth of Jesus Christ came about.,FOURTH SUNDAY OF ADVENT-A,
,sunday_readings_columns.txt,Advent,unverified,Sunday,(2a) For ever I will sing the goodness of the Lord.,Luke 1:38,"2 Sam 7:1-5, 8b-12, 14a, 16",,B,"Behold, I am the handmaid of the Lord. May it be done to me according to your word.-R.",4,WHEN King David was settled in his palace,,Luke 1:26-38,,Rom 16:25-27,25,"Ps 89:2-3, 4-5, 27, 29",THE angel Gabriel was sent from God,FOURTH SUNDAY OF ADVENT-B,BROTHERS and sisters
,sunday_readings_columns.txt,Advent,unverified,Sunday,"(4) Lord, make us turn to you;",Luke 1:38,Mic 5:1-4a,,C,"Behold, I am the handmaid of the Lord. May it be done to me according to your word.-R.",4,THUS says the LORD,,Luke 1:39-45,,Heb 10:5-10,26,"Ps 80:2-3, 15-16, 18-19",MARY set out,FOURTH SUNDAY OF ADVENT-C,BROTHERS and sisters
,sunday_readings_columns.txt,Christmas,unverified,Sunday,(2a) For ever I will sing the goodness of the Lord.,,Isa 62:1-5,,,,,FOR Zion's sake I will not be silent,,Matt 1:1-25 or Mt 1:18-25,,"Acts 13:16-17, 22-25",27,"Ps 89:4-5, 16-17, 27, 29",,CHRISTMAS (VIGIL MASS)-ABC,WHEN Paul reached Antioch in Pisidia and entered the synagogue
,sunday_readings_columns.txt,Christmas,unverified,Sunday,(2a) For ever I will sing the goodness of the Lord.,,Isa 62:1-5,,,,,FOR Zion's sake I will not be silent,,Matt 1:1-25 or Mt 1:18-25,,"Acts 13:16-17, 22-25",28,"Ps 89:4-5, 16-17, 27, 29",,CHRISTMAS (VIGIL MASS)-ABC,WHEN Paul reached Antioch in Pisidia and entered the synagogue
,sunday_readings_columns.txt,Christmas,unverified,Sunday,(2a) For ever I will sing the goodness of the Lord.,,Isa 62:1-5,,,,,FOR Zion's sake I will not be silent,,Matt 1:18-25,,"Acts 13:16-17, 22-25",30,"Ps 89:4-5, 16-17, 27, 29",,CHRISTMAS (VIGIL MASS)-ABC,WHEN Paul reached Antioch in Pisidia and entered the synagogue
,sunday_readings_columns.txt,Christmas,unverified,Sunday,"(Luke 2:11) Today is born our Savior, Christ the Lord.",Luke 2:10-11,Isa 9:1-6,,,"I proclaim to you good news of great joy: today a Savior is born for us, Christ the Lord.-R.",,THE people who walked in darkness,,Luke 2:1-14,,Ti 2:11-14,31,"Ps 96:1-2, 2-3, 11-12, 13",IN those days a decree went out from Caesar Augustus,CHRISTMAS (MASS AT MIDNIGHT)-ABC,BELOVED
,sunday_readings_columns.txt,Christmas,unverified,Sunday,A light will shine on us this day: the Lord is born for us.,Luke 2:14,Isa 62:11-12,,,"Glory to God in the highest, and on earth peace to those on whom his favor rests.-R.",,"SEE, the LORD proclaims",,Luke 2:15-20,,Ti 3:4-7,32,"Ps 97:1, 6, 11-12",WHEN the angels went away from them to heaven,CHRISTMAS (MASS AT DAWN)-ABC,BELOVED
,sunday_readings_columns.txt,Christmas,unverified,Sunday,(3c) All the ends of the earth have seen the saving power of God.,,Isa 52:7-10,,,,,HOW beautiful upon the mountains,,"John 1:1-18 or 1:1-5, 9-14",,Heb 1:1-6,33,"Ps 98:1, 2-3, 3-4, 5-6",Shorter form in brackets.,CHRISTMAS (MASS DURING THE DAY)-ABC,BROTHERS and sisters
,sunday_readings_columns.txt,Christmas,unverified,Sunday,Blessed are those who fear the Lord and walk in his ways.,"Colossians 3:15a, 16a","Sir 3:2-7, 12-14",,A,Let the peace of Christ control your hearts; let the word of Christ dwell in you richly.-R.,,GOD sets a father in honor over his children,,"Matt 2:13-15, 19-23",,Col 3:12-21 or 3:12-17,34,"Ps 128:1-2, 3, 4-5","WHEN the magi had departed, behold",HOLY FAMILY-ABC (Gospel A),BROTHERS and sisters
,sunday_readings_columns.txt,Christmas,unverified,Sunday,Blessed are those who fear the Lord and walk in his ways.,"Colossians 3:15a, 16a","Sir 3:2-7, 12-14",,B,Let the peace of Christ control your hearts; let the word of Christ dwell in you richly.-R.,,GOD sets a father in honor over his children,,"Luke 2:22-40 or 2:22, 39-40",,Col 3:12-21 or 3:12-17,35,"Ps 128:1-2, 3, 4-5",Shorter form in brackets.,HOLY FAMILY-ABC (Gospel B),BROTHERS and sisters
