source_date,stable_usage_key,liturgical_kind,celebration_id,mass_form,season,week,weekday,sunday_cycle,weekday_cycle,nigeria_calendar_title,primary_reference,primary_response,leaf_reference,leaf_response,gallery_reference,gallery_response,douay_rheims_full_text,rsvce_full_text,comparison_status
2024-01-01,NG|celebration|mary_mother_of_god|day||,celebration,mary_mother_of_god,day,,,,,,"Mary, the Holy Mother of God Solemnity",,,"ps67:2-3,5,6,8(r.2a)","O God, be gracious and bless us.","ps67:2-3,5,6,8",May God bless us in his mercy.,"May God bless us in his mercy.

2 May God have mercy on us, and bless us: may he cause the light of his countenance to shine upon us, and may he have mercy on us.
3 That we may know thy way upon earth: thy salvation in all nations.
5 Let the nations be glad and rejoice: for thou judgest the people with justice, and directest the nations upon earth.
6 Let the people, O God, confess to thee: let all the people give praise to thee:
8 May God bless us: and all the ends of the earth fear him.","O God, be gracious and bless us.

May God be gracious to us and bless us and make his face to shine upon us, [Selah] that thy way may be known upon earth, thy saving power among all nations.

Let the nations be glad and sing for joy,for thou dost judge the peoples with equity and guide the nations upon earth. [Selah]

Let the peoples praise thee, O God; let all the peoples praise thee!

God has blessed us; let all the ends of the earth fear him!",reference_match_translation_response
2024-01-02,NG|special-period|christmas-january-2|||II,special-period,,,,,,,II,"Saints Basil the Great and Gregory Nazianzen, Bishops, Doctors",,,"ps98:1,2-3ab,3cd-4(r.3cd)",All the ends of the earth have seen the salvation of our God.,"ps98:1,2-3ab,3cd-4",All the ends of the earth have seen the saving power of God.,"All the ends of the earth have seen the saving power of God.

1 Sing ye to the Lord anew canticle: because he hath done wonderful things. His right hand hath wrought for him salvation, and his arm is holy.
2 The Lord hath made known his salvation: he hath revealed his justice in the sight of the Gentiles.
3ab He hath remembered his mercy his truth toward the house of Israel.
3cd All the ends of the earth have seen the salvation of our God.
4 Sing joyfully to God, all the earth; make melody, rejoice and sing.","All the ends of the earth have seen the salvation of our God.

O sing to the LORD a new song,for he has done marvelous things! His right hand and his holy arm have gotten him victory.

The LORD has made known his victory, he has revealed his vindication in the sight of the nations. He has remembered his steadfast loveand faithfulness to the house of Israel. All the ends of the earth have seen the victory of our God.

He has remembered his steadfast loveand faithfulness to the house of Israel. All the ends of the earth have seen the victory of our God. Make a joyful noise to the LORD, all the earth; break forth into joyous song and sing praises!",reference_match_translation_response
2024-01-03,NG|special-period|christmas-january-3|||II,special-period,,,,,,,II,3 January or The Most Holy Name of Jesus,,,"ps98:1,3cd-4,5-6(r.3cd)",All the ends of the earth have seen the salvation of our God.,"ps98:1,3cd-4,5-6",All the ends of the earth have seen the saving power of God.,"All the ends of the earth have seen the saving power of God.

1 Sing ye to the Lord anew canticle: because he hath done wonderful things. His right hand hath wrought for him salvation, and his arm is holy.
3cd All the ends of the earth have seen the salvation of our God.
4 Sing joyfully to God, all the earth; make melody, rejoice and sing.
5 Sing praise to the Lord on the harp, on the harp, and with the voice of a psalm:
6 With long trumpets, and sound of comet. Make a joyful noise before the Lord our king:","All the ends of the earth have seen the salvation of our God.

O sing to the LORD a new song,for he has done marvelous things! His right hand and his holy arm have gotten him victory.

He has remembered his steadfast loveand faithfulness to the house of Israel. All the ends of the earth have seen the victory of our God. Make a joyful noise to the LORD, all the earth; break forth into joyous song and sing praises!

Sing praises to the LORD with the lyre, with the lyre and the sound of melody! With trumpets and the sound of the horn make a joyful noise before the King,  the LORD!",reference_match_translation_response
2024-01-04,NG|special-period|christmas-january-4|||II,special-period,,,,,,,II,4 January,,,"ps98:1,7-9ab,9cd(r.3cd)",All the ends of the earth have seen the salvation of our God.,"ps98:1,7-8,9",All the ends of the earth have seen the saving power of God.,"All the ends of the earth have seen the saving power of God.

1 Sing ye to the Lord anew canticle: because he hath done wonderful things. His right hand hath wrought for him salvation, and his arm is holy.
7 Let the sea be moved and the fulness thereof: the world and they that dwell therein.
8 The rivers shall clap their hands, the mountains shall rejoice together
9 At the presence of the Lord: because he cometh to judge the earth. He shall judge the world with justice, and the people with equity.","All the ends of the earth have seen the salvation of our God.

O sing to the LORD a new song,for he has done marvelous things! His right hand and his holy arm have gotten him victory.

Let the sea roar, and all that fills it; the world and those who dwell in it! Let the floods clap their hands; let the hills sing for joy together

before the LORD, for he comes to judge the earth.He will judge the world with righteousness, and the peoples with equity.",same_numbered_verses_reference_variant
2024-01-05,NG|special-period|christmas-january-5|||II,special-period,,,,,,,II,5 January,,,"ps100:1-2,3,4,5(r.1)","Cry out with joy to the Lord, all the earth.","ps100:1b-2,3,4,5",Let all the earth cry out to God with joy.,"Let all the earth cry out to God with joy.

1b-2 Sing joyfully to God, all the earth: serve ye the Lord with gladness. Come in before his presence with exceeding great joy.
3 Know ye that the Lord he is God: he made us, and not we ourselves. We are his people and the sheep of his pasture.
4 Go ye into his gates with praise, into his courts with hymns: and give glory to him. Praise ye his name:
5 For the Lord is sweet, his mercy endureth for ever, and his truth to generation and generation.","Cry out with joy to the Lord, all the earth.

Make a joyful noise to the LORD, all the lands! Serve the LORD with gladness! Come into his presence with singing!

Know that the LORD is God!It is he that made us, and we are his;  we are his people, and the sheep of his pasture.

Enter his gates with thanksgiving,and his courts with praise! Give thanks to him, bless his name!

For the LORD is good; his steadfast love endures for ever, and his faithfulness to all generations.",same_numbered_verses_reference_variant
2024-01-06,NG|special-period|christmas-january-6|||II,special-period,,,,,,,II,6 January (before Epiphany),,,"ps147:12-13,14-15,19-20(r.12a)","O Jerusalem, glorify the Lord! or Alleluia.","ps147:12-13,14-15,19-20","Praise the Lord, Jerusalem.","Praise the Lord, Jerusalem.

or
12 Praise the Lord, O Jerusalem: praise thy God, O Sion.
13 Because he hath strengthened the bolts of thy gates, he hath blessed thy children within thee.
or
14 Who hath placed peace in thy borders: and filleth thee with the fat of corn.
15 Who sendeth forth his speech to the earth: his word runneth swiftly.
or
19 Who declareth his word to Jacob: his justices and his judgments to Israel.
20 He hath not done in like manner to every nation: and his judgments he hath not made manifest to them. Alleluia.
or","O Jerusalem, glorify the Lord! or Alleluia.

Praise the LORD, O Jerusalem! Praise your God, O Zion! For he strengthens the bars of your gates; he blesses your sons within you.

He makes peace in your borders; he fills you with the finest of the wheat. He sends forth his command to the earth; his word runs swiftly.

He declares his word to Jacob, his statutes and ordinances to Israel. He has not dealt thus with any other nation; they do not know his ordinances. Praise the LORD!",reference_match_translation_response
2024-01-07,NG|celebration|epiphany_of_the_lord|day|B|,celebration,epiphany_of_the_lord,day,,,,B,,The Epiphany of the Lord Solemnity,,,"ps72:1-2,7-8,10-11,12-13(r.11)","All nations on the earth shall fall prostrate before you, O Lord.","ps72:1-2,7-8,10-11,12-13","Lord, every nation on earth will adore you.","Lord, every nation on earth will adore you.

1-2 Give to the king thy judgment, O God: and to the king’s son thy justice: To judge thy people with justice, and thy poor with judgment.
7 In his days shall justice spring up, and abundance of peace, till the moon be taken sway.
8 And he shall rule from sea to sea, and from the river unto the ends of the earth.
10 The kings of Tharsis and the islands shall offer presents: the kings of the Arabians and of Saba shall bring gifts:
11 And all kings of the earth shall adore him: all nations shall serve him.
12 For he shall deliver the poor from the mighty: and the needy that had no helper.
13 He shall spare the poor and needy: and he shall save the souls of the poor.","All nations on the earth shall fall prostrate before you, O Lord.

Give the king thy justice, O God, and thy righteousness to the royal son! May he judge thy people with righteousness, and thy poor with justice!

In his days may righteousness flourish, and peace abound, till the moon be no more! May he have dominion from sea to sea, and from the River to the ends of the earth!

May the kings of Tarshish and of the isles render him tribute, may the kings of Sheba and Seba bring gifts! May all kings fall down before him, all nations serve him!

For he delivers the needy when he calls, the poor and him who has no helper. He has pity on the weak and the needy, and saves the lives of the needy.",reference_match_translation_response
2024-01-08,NG|celebration|baptism_of_the_lord|day||,celebration,baptism_of_the_lord,day,,,,,,The Baptism of the Lord Feast,,,,,"isaiah12:2-3,4bcd,5-6",You will draw water joyfully from the springs of salvation.,"You will draw water joyfully from the springs of salvation.

2 Behold, God is my saviour, I will deal confidently, and will not fear: O because the Lord is my strength, and my praise, and he is become my salvation.
3 You shall draw waters with joy out of the saviour’s fountains:
4bcd Praise ye the Lord, and call upon his name: make his works known among the people: remember that his name is high.
5 Sing ye to the Lord, for he hath done great things: shew this forth in all the earth.
6 Rejoice, and praise, O thou habitation of Sion: for great is he that is in the midst of thee, the Holy One of Israel.","You will draw water joyfully from the springs of salvation.

""Behold, God is my salvation; I will trust, and will not be afraid; for the LORD GOD is my strength and my song, and he has become my salvation."" With joy you will draw water from the wells of salvation.

And you will say in that day: ""Give thanks to the LORD, call upon his name; make known his deeds among the nations, proclaim that his name is exalted.

""Sing praises to the LORD, for he has done gloriously; let this be known in all the earth. Shout, and sing for joy, O inhabitant of Zion, for great in your midst is the Holy One of Israel.""",reference_and_response_match
2024-01-09,NG|temporal|ordinary-time|1|tuesday||II,temporal,,,ordinary-time,1,tuesday,,II,Tuesday of week 1 in Ordinary Time,,,,,"firstsamuel2:1,4-5,6-7,8abcd","My heart exults in the Lord, my Savior.","My heart exults in the Lord, my Savior.

1 My heart hath rejoiced in the Lord, and my horn is exalted in my God: my mouth is enlarged over my enemies: because I have joyed in thy salvation.
4 The bow of the mighty is overcome, and the weak are girt with strength.
5 They that were full before have hired out themselves for bread: and the hungry are filled, so that the barren hath borne many: and she that had many children is weakened.
6 The Lord killeth and maketh alive, he bringeth down to hell and bringeth back again.
7 The Lord maketh poor and maketh rich, he humbleth and he exalteth.
8abcd He raiseth up the needy from the dust, and lifteth up the poor from the dunghill: that he may sit with princes, and hold the throne of glory.","My heart exults in the Lord, my Savior.

Hannah also prayed and said, ""My heart exults in the LORD; my strength is exalted in the LORD. My mouth derides my enemies, because I rejoice in thy salvation.

The bows of the mighty are broken, but the feeble gird on strength. Those who were full have hired themselves out for bread, but those who were hungry have ceased to hunger. The barren has borne seven, but she who has many children is forlorn.

The LORD kills and brings to life; he brings down to Sheol and raises up. The LORD makes poor and makes rich; he brings low, he also exalts.

He raises up the poor from the dust; he lifts the needy from the ash heap, to make them sit with princes and inherit a seat of honor. For the pillars of the earth are the LORDS, and on them he has set the world.",reference_and_response_match
2024-01-10,NG|temporal|ordinary-time|1|wednesday||II,temporal,,,ordinary-time,1,wednesday,,II,Wednesday of week 1 in Ordinary Time,,,"ps40:2,5,7-8a,8b-9,10(r.8a,9a)","See, I have come, Lord, to do your will","ps40:2,5,7-8a,8b-9,10","Here am I, Lord; I come to do your will.","Here am I, Lord; I come to do your will.

2 With expectation I have waited for the Lord, and he was attentive to me.
5 Blessed is the man whose trust is in the name of the Lord; and who hath not had regard to vanities, and lying follies.
7 Sacrifice and oblation thou didst not desire; but thou hast pierced ears for me. Burnt offering and sin offering thou didst not require:
8a Then said I, Behold I come.
8b In the head of the book it is written of me
9 That I should do thy will: O my God, I have desired it, and thy law in the midst of my heart.
10 I have declared thy justice in a great church, lo, I will not restrain my lips: O Lord, thou knowest it.","See, I have come, Lord, to do your will

I waited patiently for the LORD; he inclined to me and heard my cry.

Blessed is the man who makes the LORD his trust,who does not turn to the proud, to those who go astray after false gods!

Sacrifice and offering thou dost not desire;but thou hast given me an open ear.  Burnt offering and sin offering thou hast not required. Then I said, ""Lo, I come; in the roll of the book it is written of me;

Then I said, ""Lo, I come; in the roll of the book it is written of me; I delight to do thy will, O my God; thy law is within my heart.""

I have told the glad news of deliverance in the great congregation;lo, I have not restrained my lips, as thou knowest, O LORD.",reference_match_translation_response
2024-01-11,NG|temporal|ordinary-time|1|thursday||II,temporal,,,ordinary-time,1,thursday,,II,Thursday of week 1 in Ordinary Time,,,"ps44:10-11,14-15,24-25(r.27b)","Redeem us, O Lord, with your merciful love!","ps44:10-11,14-15,24-25","Redeem us, Lord, because of your mercy.","Redeem us, Lord, because of your mercy.

10 But now thou hast cast us off, and put us to shame: and thou, O God, wilt not go out with our armies.
11 Thou hast made us turn our back to our enemies: and they that hated us plundered for themselves.
14 Thou hast made us a reproach to our neighbours, a scoff and derision to them that are round about us.
15 Thou hast made us a byword among the Gentiles: a shaking of the head among the people.
24-25 Why turnest thou face away? and forgettest our want and our trouble? For our soul is humbled down to the dust: our belly cleaveth to the earth.","Redeem us, O Lord, with your merciful love!

Yet thou hast cast us off and abased us, and hast not gone out with our armies. Thou hast made us turn back from the foe; and our enemies have gotten spoil.

Thou hast made us the taunt of our neighbors, the derision and scorn of those about us. Thou hast made us a byword among the nations, a laughingstock among the peoples.

Rouse thyself! Why sleepest thou, O Lord? Awake! Do not cast us off for ever! Why dost thou hide thy face? Why dost thou forget our affliction and oppression?",reference_match_translation_response
2024-01-12,NG|temporal|ordinary-time|1|friday||II,temporal,,,ordinary-time,1,friday,,II,Friday of week 1 in Ordinary Time,,,"ps89:16-17,18-19(r.2a)","I will sing forever of your mercies, O Lord.","ps89:16-17,18-19",For ever I will sing the goodness of the Lord.,"For ever I will sing the goodness of the Lord.

16 Blessed is the people that knoweth jubilation. They shall walk, O Lord, in the light of thy countenance:
17 And in thy name they shall rejoice all the day, and in thy justice they shall be exalted.
18 For thou art the glory of their strength: and in thy good pleasure shall our horn be exalted.
19 For our protection is of the Lord, and of our king the holy one of Israel.","I will sing forever of your mercies, O Lord.

Blessed are the people who know the festal shout, who walk, O LORD, in the light of thy countenance, who exult in thy name all the day, and extol thy righteousness.

For thou art the glory of their strength; by thy favor our horn is exalted. For our shield belongs to the LORD, our king to the Holy One of Israel.",reference_match_translation_response
2024-01-13,NG|temporal|ordinary-time|1|saturday||II,temporal,,,ordinary-time,1,saturday,,II,"Saturday of week 1 in Ordinary Time or Saint Hilary, Bishop, Doctor or Saturday memorial of the Blessed Virgin Mary",,,"ps21:2-3,4-5,6-7(r.2a)","In your strength, O Lord, the king rejoices.","ps21:2-3,4-5,6-7","Lord, in your strength the king is glad.","Lord, in your strength the king is glad.

2 In thy strength, O Lord, the king shall joy; and in thy salvation he shall rejoice exceedingly.
3 Thou hast given him his heart’s desire: and hast not withholden from him the will of his lips.
4 For thou hast prevented him with blessings of sweetness: thou hast set on his head a crown of precious stones.
5 He asked life of thee: and thou hast given him length of days for ever and ever.
6 His glory is great in thy salvation: glory and great beauty shalt thou lay upon him.
7 For thou shalt give him to be a blessing for ever and ever: thou shalt make him joyful in gladness with thy countenance.","In your strength, O Lord, the king rejoices.

In thy strength the king rejoices, O LORD; and in thy help how greatly he exults! Thou hast given him his heart's desire, and hast not withheld the request of his lips. [Selah]

For thou dost meet him with goodly blessings; thou dost set a crown of fine gold upon his head. He asked life of thee; thou gavest it to him, length of days for ever and ever.

His glory is great through thy help; splendor and majesty thou dost bestow upon him. Yea, thou dost make him most blessed for ever; thou dost make him glad with the joy of thy presence.",reference_match_translation_response
2024-01-14,NG|temporal|ordinary-time|2|sunday|B|,temporal,,,ordinary-time,2,sunday,B,,2nd Sunday in Ordinary Time,,,"ps40:2,4ab,7-8a,8b-9,10(r.8a,9a)","See, I have come, Lord, to do your will","ps40:2,4ab,7-8a,8b-9,10","Here am I, Lord; I come to do your will.","Here am I, Lord; I come to do your will.

2 With expectation I have waited for the Lord, and he was attentive to me.
4ab And he put a new canticle into my mouth, a song to our God.
7 Sacrifice and oblation thou didst not desire; but thou hast pierced ears for me. Burnt offering and sin offering thou didst not require:
8a Then said I, Behold I come.
8b In the head of the book it is written of me
9 That I should do thy will: O my God, I have desired it, and thy law in the midst of my heart.
10 I have declared thy justice in a great church, lo, I will not restrain my lips: O Lord, thou knowest it.","See, I have come, Lord, to do your will

I waited patiently for the LORD; he inclined to me and heard my cry.

He put a new song in my mouth,a song of praise to our God.Many will see and fear, and put their trust in the LORD.

Sacrifice and offering thou dost not desire;but thou hast given me an open ear.  Burnt offering and sin offering thou hast not required. Then I said, ""Lo, I come; in the roll of the book it is written of me;

Then I said, ""Lo, I come; in the roll of the book it is written of me; I delight to do thy will, O my God; thy law is within my heart.""

I have told the glad news of deliverance in the great congregation;lo, I have not restrained my lips, as thou knowest, O LORD.",reference_match_translation_response
2024-01-15,NG|temporal|ordinary-time|1|monday||II,temporal,,,ordinary-time,1,monday,,II,Monday of week 2 in Ordinary Time,,,"ps50:8-9,16bc-17,21,23(r.23bc)","To one whose way is blameless, I will show the salvation of God.","ps50:8-9,16bc-17,21,23",To the upright I will show the saving power of God.,"To the upright I will show the saving power of God.

8 I will not reprove thee for thy sacrifices: and thy burnt offerings are always in my sight.
9 I will not take calves out of thy house: nor he goats out of thy flocks.
16bc Why dost thou declare my justices, and take my covenant in thy mouth?
17 Seeing thou hast hated discipline: and hast cast my words behind thee.
21 These things hast thou done, and I was silent. Thou thoughtest unjustly that I should be like to thee: but I will reprove thee, and set before thy face.
23 The sacrifice of praise shall glorify me: and there is the way by which I will shew him the salvation of God.","To one whose way is blameless, I will show the salvation of God.

I do not reprove you for your sacrifices; your burnt offerings are continually before me. I will accept no bull from your house, nor he-goat from your folds.

But to the wicked God says:""What right have you to recite my statutes, or take my covenant on your lips? For you hate discipline, and you cast my words behind you.

These things you have done and I have been silent;you thought that I was one like yourself. But now I rebuke you, and lay the charge before you.

He who brings thanksgiving as his sacrifice honors me; to him who orders his way aright I will show the salvation of God!""",reference_match_translation_response
2024-01-16,NG|temporal|ordinary-time|2|tuesday||II,temporal,,,ordinary-time,2,tuesday,,II,Tuesday of week 2 in Ordinary Time,,,"ps89:20,21-22,27-28(r.21a)",I have found my servant David,"ps89:20,21-22,27-28","I have found David, my servant.","I have found David, my servant.

20 Then thou spokest in a vision to thy saints, and saidst: I have laid help upon one that is mighty, and have exalted one chosen out of my people.
21 I have found David my servant: with my holy oil I have anointed him.
22 For my hand shall help him: and my arm shall strengthen him.
27 He shall cry out to me: Thou art my father: my God, and the support of my salvation.
28 And I will make him my firstborn, high above the kings of the earth.","I have found my servant David

Of old thou didst speak in a vision to thy faithful one,and say: ""I have set the crown upon one who is mighty, I have exalted one chosen from the people.

I have found David, my servant; with my holy oil I have anointed him; so that my hand shall ever abide with him, my arm also shall strengthen him.

He shall cry to me, 'Thou art my Father, my God, and the Rock of my salvation.' And I will make him the first-born, the highest of the kings of the earth.",reference_match_translation_response
2024-01-17,NG|temporal|ordinary-time|2|wednesday||II,temporal,,,ordinary-time,2,wednesday,,II,"Saint Antony, Abbot",,,"ps144:1,2,9-10(r.1a)","Blest be the Lord, my rock.","ps144:1b,2,9-10","Blessed be the Lord, my Rock!","Blessed be the Lord, my Rock!

1 Blessed be the Lord my God, who teacheth my hands to fight, and my fingers to war.
2 My mercy, and my refuge: my support, and my deliverer: My protector, and I have hoped in him: who subdueth my people under me.
9 To thee, O God, I will sing a new canticle: on the psaltery and an instrument of ten strings I will sing praises to thee.
10 Who givest salvation to kings: who hast redeemed thy servant David from the malicious sword.","Blest be the Lord, my rock.

Blessed be the LORD, my rock,who trains my hands for war, and my fingers for battle;

my rock and my fortress, my stronghold and my deliverer,my shield and he in whom I take refuge, who subdues the peoples under him.

I will sing a new song to thee, O God; upon a ten-stringed harp I will play to thee, who givest victory to kings, who rescuest David thy servant.",same_numbered_verses_reference_variant
