source_date,source_id,source_edition,source_url,reference_raw,reference_normalized,response_text,stanzas_text
2024-01-01,catholic_gallery_douay_archive,Douay-Rheims dated Mass-reading archive,https://www.catholicgallery.org/mass-reading/010124/,"Psalms 67: 2-3, 5, 6, 8","ps67:2-3,5,6,8",May God bless us in his mercy.,"2 May God have mercy on us, and bless us: may he cause the light of his countenance to shine upon us, and may he have mercy on us.
3 That we may know thy way upon earth: thy salvation in all nations.
5 Let the nations be glad and rejoice: for thou judgest the people with justice, and directest the nations upon earth.
6 Let the people, O God, confess to thee: let all the people give praise to thee:
8 May God bless us: and all the ends of the earth fear him."
2024-01-01,catholic_leaf_archive,dated Catholic lectionary response archive,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-01-2024/,"Psalm 67:2-3, 5, 6 and 8 (R. 2a)","ps67:2-3,5,6,8(r.2a)","O God, be gracious and bless us.",
2024-01-02,catholic_gallery_douay_archive,Douay-Rheims dated Mass-reading archive,https://www.catholicgallery.org/mass-reading/020124/,"Psalms 98: 1, 2-3ab, 3cd-4","ps98:1,2-3ab,3cd-4",All the ends of the earth have seen the saving power of God.,"1 Sing ye to the Lord anew canticle: because he hath done wonderful things. His right hand hath wrought for him salvation, and his arm is holy.
2 The Lord hath made known his salvation: he hath revealed his justice in the sight of the Gentiles.
3ab He hath remembered his mercy his truth toward the house of Israel.
3cd All the ends of the earth have seen the salvation of our God.
4 Sing joyfully to God, all the earth; make melody, rejoice and sing."
2024-01-02,catholic_leaf_archive,dated Catholic lectionary response archive,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-02-2024/,"Psalm 98:1, 2-3ab, 3cd-4 (R. 3cd)","ps98:1,2-3ab,3cd-4(r.3cd)",All the ends of the earth have seen the salvation of our God.,
2024-01-03,catholic_gallery_douay_archive,Douay-Rheims dated Mass-reading archive,https://www.catholicgallery.org/mass-reading/030124/,"Psalms 98: 1, 3cd-4, 5-6","ps98:1,3cd-4,5-6",All the ends of the earth have seen the saving power of God.,"1 Sing ye to the Lord anew canticle: because he hath done wonderful things. His right hand hath wrought for him salvation, and his arm is holy.
3cd All the ends of the earth have seen the salvation of our God.
4 Sing joyfully to God, all the earth; make melody, rejoice and sing.
5 Sing praise to the Lord on the harp, on the harp, and with the voice of a psalm:
6 With long trumpets, and sound of comet. Make a joyful noise before the Lord our king:"
2024-01-03,catholic_leaf_archive,dated Catholic lectionary response archive,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-03-2024/,"Psalm 98:1, 3cd-4, 5-6 (R. 3cd)","ps98:1,3cd-4,5-6(r.3cd)",All the ends of the earth have seen the salvation of our God.,
2024-01-04,catholic_gallery_douay_archive,Douay-Rheims dated Mass-reading archive,https://www.catholicgallery.org/mass-reading/040124/,"Psalms 98: 1, 7-8, 9","ps98:1,7-8,9",All the ends of the earth have seen the saving power of God.,"1 Sing ye to the Lord anew canticle: because he hath done wonderful things. His right hand hath wrought for him salvation, and his arm is holy.
7 Let the sea be moved and the fulness thereof: the world and they that dwell therein.
8 The rivers shall clap their hands, the mountains shall rejoice together
9 At the presence of the Lord: because he cometh to judge the earth. He shall judge the world with justice, and the people with equity."
2024-01-04,catholic_leaf_archive,dated Catholic lectionary response archive,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-04-2024/,"Psalm 98:1, 7-9ab, 9cd (R. 3cd)","ps98:1,7-9ab,9cd(r.3cd)",All the ends of the earth have seen the salvation of our God.,
2024-01-05,catholic_gallery_douay_archive,Douay-Rheims dated Mass-reading archive,https://www.catholicgallery.org/mass-reading/050124/,"Psalms 100: 1b-2, 3, 4, 5","ps100:1b-2,3,4,5",Let all the earth cry out to God with joy.,"1b-2 Sing joyfully to God, all the earth: serve ye the Lord with gladness. Come in before his presence with exceeding great joy.
3 Know ye that the Lord he is God: he made us, and not we ourselves. We are his people and the sheep of his pasture.
4 Go ye into his gates with praise, into his courts with hymns: and give glory to him. Praise ye his name:
5 For the Lord is sweet, his mercy endureth for ever, and his truth to generation and generation."
2024-01-05,catholic_leaf_archive,dated Catholic lectionary response archive,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-05-2024/,"Psalm 100:1-2, 3, 4, 5 (R. 1)","ps100:1-2,3,4,5(r.1)","Cry out with joy to the Lord, all the earth.",
2024-01-06,catholic_gallery_douay_archive,Douay-Rheims dated Mass-reading archive,https://www.catholicgallery.org/mass-reading/060124/,"Psalms 147: 12-13, 14-15, 19-20","ps147:12-13,14-15,19-20","Praise the Lord, Jerusalem.","or
12 Praise the Lord, O Jerusalem: praise thy God, O Sion.
13 Because he hath strengthened the bolts of thy gates, he hath blessed thy children within thee.
or
14 Who hath placed peace in thy borders: and filleth thee with the fat of corn.
15 Who sendeth forth his speech to the earth: his word runneth swiftly.
or
19 Who declareth his word to Jacob: his justices and his judgments to Israel.
20 He hath not done in like manner to every nation: and his judgments he hath not made manifest to them. Alleluia.
or"
2024-01-06,catholic_leaf_archive,dated Catholic lectionary response archive,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-06-2024/,"Psalm 147:12-13, 14-15, 19-20 (R. 12a)","ps147:12-13,14-15,19-20(r.12a)","O Jerusalem, glorify the Lord! or Alleluia.",
2024-01-07,catholic_gallery_douay_archive,Douay-Rheims dated Mass-reading archive,https://www.catholicgallery.org/mass-reading/070124/,"Psalms 72: 1-2, 7-8, 10-11, 12-13","ps72:1-2,7-8,10-11,12-13","Lord, every nation on earth will adore you.","1-2 Give to the king thy judgment, O God: and to the king’s son thy justice: To judge thy people with justice, and thy poor with judgment.
7 In his days shall justice spring up, and abundance of peace, till the moon be taken sway.
8 And he shall rule from sea to sea, and from the river unto the ends of the earth.
10 The kings of Tharsis and the islands shall offer presents: the kings of the Arabians and of Saba shall bring gifts:
11 And all kings of the earth shall adore him: all nations shall serve him.
12 For he shall deliver the poor from the mighty: and the needy that had no helper.
13 He shall spare the poor and needy: and he shall save the souls of the poor."
2024-01-07,catholic_leaf_archive,dated Catholic lectionary response archive,https://www.catholicleaf.com/mass-readings-and-reflection-january-07-2024/,"Psalm 72:1-2, 7-8, 10-11, 12-13 (R. See 11)","ps72:1-2,7-8,10-11,12-13(r.11)","All nations on the earth shall fall prostrate before you, O Lord.",
