date,primary_source_status,primary_source_url,catholic_leaf_status,catholic_leaf_url,catholic_gallery_status,catholic_gallery_url,nigeria_calendar_status,nigeria_calendar_title,verification_status,notes
2024-01-01,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-01-2024/,recovered,https://www.catholicgallery.org/mass-reading/010124/,recovered,"Mary, the Holy Mother of God Solemnity",two_secondary_sources,
2024-01-02,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-02-2024/,recovered,https://www.catholicgallery.org/mass-reading/020124/,recovered,"Saints Basil the Great and Gregory Nazianzen, Bishops, Doctors",two_secondary_sources,
2024-01-03,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-03-2024/,recovered,https://www.catholicgallery.org/mass-reading/030124/,recovered,3 January or The Most Holy Name of Jesus,two_secondary_sources,
2024-01-04,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-04-2024/,recovered,https://www.catholicgallery.org/mass-reading/040124/,recovered,4 January,two_secondary_sources,
2024-01-05,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-05-2024/,recovered,https://www.catholicgallery.org/mass-reading/050124/,recovered,5 January,two_secondary_sources,
2024-01-06,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-06-2024/,recovered,https://www.catholicgallery.org/mass-reading/060124/,recovered,6 January (before Epiphany),two_secondary_sources,
2024-01-07,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-07-2024/,recovered,https://www.catholicgallery.org/mass-reading/070124/,recovered,The Epiphany of the Lord Solemnity,two_secondary_sources,
2024-01-08,not_in_current_live_collection,,unavailable,,recovered,https://www.catholicgallery.org/mass-reading/080124/,recovered,The Baptism of the Lord Feast,one_secondary_source,
2024-01-09,not_in_current_live_collection,,unavailable,,recovered,https://www.catholicgallery.org/mass-reading/090124/,recovered,Tuesday of week 1 in Ordinary Time,one_secondary_source,
2024-01-10,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-10-2024/,recovered,https://www.catholicgallery.org/mass-reading/100124/,recovered,Wednesday of week 1 in Ordinary Time,two_secondary_sources,
2024-01-11,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-11-2024/,recovered,https://www.catholicgallery.org/mass-reading/110124/,recovered,Thursday of week 1 in Ordinary Time,two_secondary_sources,
2024-01-12,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-12-2024/,recovered,https://www.catholicgallery.org/mass-reading/120124/,recovered,Friday of week 1 in Ordinary Time,two_secondary_sources,
2024-01-13,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-13-2024/,recovered,https://www.catholicgallery.org/mass-reading/130124/,recovered,"Saturday of week 1 in Ordinary Time or Saint Hilary, Bishop, Doctor or Saturday memorial of the Blessed Virgin Mary",two_secondary_sources,
2024-01-14,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-14-2024/,recovered,https://www.catholicgallery.org/mass-reading/140124/,recovered,2nd Sunday in Ordinary Time,two_secondary_sources,
2024-01-15,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-january-14-2024/,recovered,https://www.catholicgallery.org/mass-reading/150124/,recovered,Monday of week 2 in Ordinary Time,two_secondary_sources,
2024-01-16,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-16-2024/,recovered,https://www.catholicgallery.org/mass-reading/160124/,recovered,Tuesday of week 2 in Ordinary Time,two_secondary_sources,
2024-01-17,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-17-2024/,recovered,https://www.catholicgallery.org/mass-reading/170124/,recovered,"Saint Antony, Abbot",two_secondary_sources,
2024-01-18,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-18-2024/,recovered,https://www.catholicgallery.org/mass-reading/180124/,recovered,Thursday of week 2 in Ordinary Time,two_secondary_sources,
2024-01-19,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-19-2024/,recovered,https://www.catholicgallery.org/mass-reading/190124/,recovered,"Friday of week 2 in Ordinary Time or Saint Fabian, Pope, Martyr or Saint Sebastian, Martyr",two_secondary_sources,
2024-01-20,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-20-2024/,recovered,https://www.catholicgallery.org/mass-reading/200124/,recovered,"Blessed Cyprian Michael Iwene Tansi, Priest Feast",two_secondary_sources,
2024-01-21,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-21-2024/,recovered,https://www.catholicgallery.org/mass-reading/210124/,recovered,3rd Sunday in Ordinary Time (Sunday of the Word of God),two_secondary_sources,
2024-01-22,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-22-2024/,recovered,https://www.catholicgallery.org/mass-reading/220124/,recovered,"Monday of week 3 in Ordinary Time or Saint Vincent, Deacon, Martyr",two_secondary_sources,
2024-01-23,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-23-2024/,recovered,https://www.catholicgallery.org/mass-reading/230124/,recovered,Tuesday of week 3 in Ordinary Time,two_secondary_sources,
2024-01-24,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-24-2024/,recovered,https://www.catholicgallery.org/mass-reading/240124/,recovered,"Saint Francis de Sales, Bishop, Doctor",two_secondary_sources,
2024-01-25,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-25-2024/,recovered,https://www.catholicgallery.org/mass-reading/250124/,recovered,"The Conversion of Saint Paul, Apostle Feast",two_secondary_sources,
2024-01-26,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-26-2024/,recovered,https://www.catholicgallery.org/mass-reading/260124/,recovered,"Saints Timothy and Titus, Bishops",two_secondary_sources,
2024-01-27,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-27-2024/,recovered,https://www.catholicgallery.org/mass-reading/270124/,recovered,"Saturday of week 3 in Ordinary Time or Saint Angela Merici, Virgin or Saturday memorial of the Blessed Virgin Mary",two_secondary_sources,
2024-01-28,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-28-2024/,recovered,https://www.catholicgallery.org/mass-reading/280124/,recovered,4th Sunday in Ordinary Time,two_secondary_sources,
2024-01-29,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-29-2024/,recovered,https://www.catholicgallery.org/mass-reading/290124/,recovered,Monday of week 4 in Ordinary Time,two_secondary_sources,
2024-01-30,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-30-2024/,recovered,https://www.catholicgallery.org/mass-reading/300124/,recovered,Tuesday of week 4 in Ordinary Time,two_secondary_sources,
2024-01-31,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-january-31-2024/,recovered,https://www.catholicgallery.org/mass-reading/310124/,recovered,"Saint John Bosco, Priest",two_secondary_sources,
2024-02-01,not_in_current_live_collection,,unavailable,,recovered,https://www.catholicgallery.org/mass-reading/010224/,recovered,Thursday of week 4 in Ordinary Time,one_secondary_source,
2024-02-02,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-02-2024/,recovered,https://www.catholicgallery.org/mass-reading/020224/,recovered,The Presentation of the Lord Feast,two_secondary_sources,
2024-02-03,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-03-2024/,recovered,https://www.catholicgallery.org/mass-reading/030224/,recovered,"Saturday of week 4 in Ordinary Time or Saint Ansgar (Oscar), Bishop or Saint Blaise, Bishop, Martyr or Saturday memorial of the Blessed Virgin Mary",two_secondary_sources,
2024-02-04,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-04-2024/,recovered,https://www.catholicgallery.org/mass-reading/040224/,recovered,5th Sunday in Ordinary Time,two_secondary_sources,
2024-02-05,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-05-2024/,recovered,https://www.catholicgallery.org/mass-reading/050224/,recovered,"Saint Agatha, Virgin, Martyr",two_secondary_sources,
2024-02-06,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-06-2024/,recovered,https://www.catholicgallery.org/mass-reading/060224/,recovered,"Saints Paul Miki and his Companions, Martyrs",two_secondary_sources,
2024-02-07,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-february-07-2024/,recovered,https://www.catholicgallery.org/mass-reading/070224/,recovered,Wednesday of week 5 in Ordinary Time,two_secondary_sources,
2024-02-08,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-08-2024/,recovered,https://www.catholicgallery.org/mass-reading/080224/,recovered,"Thursday of week 5 in Ordinary Time or Saint Jerome Emilian or Saint Josephine Bakhita, Virgin",two_secondary_sources,
2024-02-09,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-09-2024/,recovered,https://www.catholicgallery.org/mass-reading/090224/,recovered,Friday of week 5 in Ordinary Time,two_secondary_sources,
2024-02-10,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-10-2024/,recovered,https://www.catholicgallery.org/mass-reading/100224/,recovered,"Saint Scholastica, Virgin",two_secondary_sources,
2024-02-11,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-11-2024/,recovered,https://www.catholicgallery.org/mass-reading/110224/,recovered,6th Sunday in Ordinary Time,two_secondary_sources,
2024-02-12,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-12-2024/,recovered,https://www.catholicgallery.org/mass-reading/120224/,recovered,Monday of week 6 in Ordinary Time,two_secondary_sources,
2024-02-13,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-13-2024/,recovered,https://www.catholicgallery.org/mass-reading/130224/,recovered,Tuesday of week 6 in Ordinary Time,two_secondary_sources,
2024-02-14,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-14-2024/,recovered,https://www.catholicgallery.org/mass-reading/140224/,recovered,Ash Wednesday,two_secondary_sources,
2024-02-15,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/catholic-mass-readings-and-reflection-february-15-2024/,recovered,https://www.catholicgallery.org/mass-reading/150224/,recovered,Thursday after Ash Wednesday,two_secondary_sources,
2024-02-16,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-16-2024/,recovered,https://www.catholicgallery.org/mass-reading/160224/,recovered,Friday after Ash Wednesday,two_secondary_sources,
2024-02-17,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-17-2024/,recovered,https://www.catholicgallery.org/mass-reading/170224/,recovered,Saturday after Ash Wednesday (commemoration of The Seven Holy Founders of the Servite Order),two_secondary_sources,
2024-02-18,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-18-2024/,recovered,https://www.catholicgallery.org/mass-reading/180224/,recovered,1st Sunday of Lent,two_secondary_sources,
2024-02-19,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-19-2024/,recovered,https://www.catholicgallery.org/mass-reading/190224/,recovered,Monday of the 1st week of Lent,two_secondary_sources,
2024-02-20,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-20-2024/,recovered,https://www.catholicgallery.org/mass-reading/200224/,recovered,Tuesday of the 1st week of Lent,two_secondary_sources,
2024-02-21,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-21-2024/,recovered,https://www.catholicgallery.org/mass-reading/210224/,recovered,"Wednesday of the 1st week of Lent (commemoration of Saint Peter Damian, Bishop, Doctor)",two_secondary_sources,
2024-02-22,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-22-2024/,recovered,https://www.catholicgallery.org/mass-reading/220224/,recovered,Saint Peter's Chair Feast,two_secondary_sources,
2024-02-23,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-23-2024/,recovered,https://www.catholicgallery.org/mass-reading/230224/,recovered,"Friday of the 1st week of Lent (commemoration of Saint Polycarp, Bishop, Martyr)",two_secondary_sources,
2024-02-24,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-24-2024/,recovered,https://www.catholicgallery.org/mass-reading/240224/,recovered,Saturday of the 1st week of Lent,two_secondary_sources,
2024-02-25,not_in_current_live_collection,,recovered,https://www.catholicleaf.com/mass-readings-and-reflection-february-25-2024/,recovered,https://www.catholicgallery.org/mass-reading/250224/,recovered,2nd Sunday of Lent,two_secondary_sources,
