source_date,reference_source_id,response_source_id,source_selection_id,stable_usage_key,kind,celebration_id,mass_form,season,week,weekday,special_day,sunday_cycle,weekday_cycle,selected_reference,selected_response,comparison_status,key_status,reconciliation_status
2024-01-01,catholic_gallery_douay_archive,catholic_leaf_archive,history:reconciled:2024-01-01:1,NG|celebration|mary_mother_of_god|day||,celebration,mary_mother_of_god,day,,,,,,,"ps67:2-3,5,6,8","O God, be gracious and bless us.",reference_match_translation_response,existing_runtime_key,corroborates_runtime_key
2024-01-02,catholic_gallery_douay_archive,catholic_leaf_archive,history:reconciled:2024-01-02:1,NG|special-period|christmas-january-2|||II,special-period,,,,,,christmas-january-2,,II,"ps98:1,2-3ab,3cd-4",All the ends of the earth have seen the salvation of our God.,reference_match_translation_response,existing_runtime_key,corroborates_runtime_key
2024-01-03,catholic_gallery_douay_archive,catholic_leaf_archive,history:reconciled:2024-01-03:1,NG|special-period|christmas-january-3|||II,special-period,,,,,,christmas-january-3,,II,"ps98:1,3cd-4,5-6",All the ends of the earth have seen the salvation of our God.,reference_match_translation_response,existing_runtime_key,corroborates_runtime_key
2024-01-04,catholic_gallery_douay_archive,catholic_leaf_archive,history:reconciled:2024-01-04:1,NG|special-period|christmas-january-4|||II,special-period,,,,,,christmas-january-4,,II,"ps98:1,7-8,9",All the ends of the earth have seen the salvation of our God.,same_numbered_verses_reference_variant,existing_runtime_key,corroborates_runtime_key
2024-01-05,catholic_gallery_douay_archive,catholic_leaf_archive,history:reconciled:2024-01-05:1,NG|special-period|christmas-january-5|||II,special-period,,,,,,christmas-january-5,,II,"ps100:1b-2,3,4,5","Cry out with joy to the Lord, all the earth.",same_numbered_verses_reference_variant,existing_runtime_key,corroborates_runtime_key
2024-01-06,catholic_gallery_douay_archive,catholic_leaf_archive,history:reconciled:2024-01-06:1,NG|special-period|christmas-january-6|||II,special-period,,,,,,christmas-january-6,,II,"ps147:12-13,14-15,19-20","O Jerusalem, glorify the Lord! or Alleluia.",reference_match_translation_response,existing_runtime_key,corroborates_runtime_key
2024-01-07,catholic_gallery_douay_archive,catholic_leaf_archive,history:reconciled:2024-01-07:1,NG|celebration|epiphany_of_the_lord|day|B|,celebration,epiphany_of_the_lord,day,,,,,B,,"ps72:1-2,7-8,10-11,12-13","All nations on the earth shall fall prostrate before you, O Lord.",reference_match_translation_response,existing_runtime_key,corroborates_runtime_key
2024-01-08,catholic_gallery_douay_archive,catholic_gallery_douay_archive,history:reconciled:2024-01-08:1,NG|celebration|baptism_of_the_lord|day||,celebration,baptism_of_the_lord,day,,,,,,,"isaiah12:2-3,4bcd,5-6",You will draw water joyfully from the springs of salvation.,reference_and_response_match,existing_runtime_key,corroborates_runtime_key
2024-01-09,catholic_gallery_douay_archive,catholic_gallery_douay_archive,history:reconciled:2024-01-09:1,NG|temporal|ordinary-time|1|tuesday||II,temporal,,,ordinary-time,1,tuesday,,,II,"firstsamuel2:1,4-5,6-7,8abcd","My heart exults in the Lord, my Savior.",reference_and_response_match,existing_runtime_key,corroborates_runtime_key
2024-01-10,catholic_gallery_douay_archive,catholic_leaf_archive,history:reconciled:2024-01-10:1,NG|temporal|ordinary-time|1|wednesday||II,temporal,,,ordinary-time,1,wednesday,,,II,"ps40:2,5,7-8a,8b-9,10","See, I have come, Lord, to do your will",reference_match_translation_response,existing_runtime_key,corroborates_runtime_key
