stable_usage_key,choice_priority,territory,kind,celebration_id,mass_form,season,week,weekday,special_day,sunday_cycle,weekday_cycle,lectionary_number,reference_normalized,response_text,source_catalog,nigeria_selection_id,nigeria_source_date,gallery_source_url,gallery_text_edition,rsvce_selection_id,text_source_id,display_edition,resolution_status,review_notes
NG|celebration|adalbert_of_prague|day||,1,NG,celebration,adalbert_of_prague,day,,,,,,,,"ps124:2-3,4-5,7b-8",Our soul has escaped like a bird from the hunter’s net.,memorial_feasts.csv,,,,,ps124_2_3_4_5_7b_8,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|adalbert_of_prague|day||,2,NG,celebration,adalbert_of_prague,day,,,,,,,,"ps126:1-2ab,2bc-3,4-5,6",Those who sow in tears shall reap with shouts of joy.,memorial_feasts.csv,,,,,ps126_1_2ab_2bc_3_4_5_6,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|adalbert_of_prague|day||,3,NG,celebration,adalbert_of_prague,day,,,,,,,,"ps31:2cd-3ab,5+7ab,15bc-16","Into your hands, O Lord, I entrust my spirit.",memorial_feasts.csv,,,,,ps31_2cd_3ab_5_7ab_15bc_16,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|adalbert_of_prague|day||,4,NG,celebration,adalbert_of_prague,day,,,,,,,,"ps34:1-2,3-4,5-6,7-8",The Lord set me free from all my fears.,memorial_feasts.csv,,,,,ps34_1_2_3_4_5_6_7_8,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|albert_the_great|day||,1,NG,celebration,albert_the_great,day,,,,,,,,"ps106:19-20,21-22,23","Lord, remember us, for the love you bear your people.",memorial_feasts.csv,,,,,ps106_19_20_21_22_23,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|albert_the_great|day||,2,NG,celebration,albert_the_great,day,,,,,,,,"ps110:1-2,3,4","You are a priest for ever, in the line of Melchizedek.",memorial_feasts.csv,,,,,local_rsvce:expanded:9147f45b3f3d63c3,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|albert_the_great|day||,3,NG,celebration,albert_the_great,day,,,,,,,,"ps117:1,2",Go out to all the world and tell the good news.,memorial_feasts.csv,ng:reconstructed:73d92e286a6fb381,,,,ps117_1_2,nigeria_365_firestore,Catholic Missal for Nigeria,reconstructed_nigeria,Reconstructed only from exact verified Nigerian stanza fragments.
NG|celebration|albert_the_great|day||,4,NG,celebration,albert_the_great,day,,,,,,,,"ps16:1-2a1-2a+5,7-8,11","You are my inheritance, O Lord.",memorial_feasts.csv,,,,,local_rsvce:expanded:acdd2b509ed6230c,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|albert_the_great|day||,5,NG,celebration,albert_the_great,day,,,,,,,,"ps23:1-3a,3b-4,5,6",The Lord is my shepherd; there is nothing I shall want.,memorial_feasts.csv,ng:2026-03-15:responsorial-psalm:1,2026-03-15,,,ps23_1_3a_3b_4_5_6,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
NG|celebration|albert_the_great|day||,6,NG,celebration,albert_the_great,day,,,,,,,,"ps40:1+3ab,6,7-8,9","Here am I, Lord; I come to do your will.",memorial_feasts.csv,,,,,local_rsvce:expanded:a6f3121c52e20e28,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|albert_the_great|day||,7,NG,celebration,albert_the_great,day,,,,,,,,"ps89:1-2,3-4,20-21,24+26",For ever I will sing the goodness of the Lord.,memorial_feasts.csv,,,,,local_rsvce:expanded:556f9b30cb1e8359,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|albert_the_great|day||,8,NG,celebration,albert_the_great,day,,,,,,,,"ps96:1-2a,2b-3,7-8a,10",Proclaim God’s marvellous deeds to all the nations.,memorial_feasts.csv,,,,,ps96_1_2a_2b_3_7_8a_10,local_rsvce,Catholic Daily RSVCE,fallback,Nigerian wording unavailable; RSVCE remains explicitly labeled.
NG|celebration|all_saints|day|A|,1,NG,celebration,all_saints,day,,,,,A,,,"ps24:1bc-2,3-4ab,5-6","Lord, this is the people that longs to see your face.",standard_lectionary_complete.csv,ng:reconstructed:a6e2824d0bfd8a27,,,,ps24_1bc_2_3_4ab_5_6,nigeria_365_firestore,Catholic Missal for Nigeria,reconstructed_nigeria,Reconstructed only from exact verified Nigerian stanza fragments.
NG|celebration|all_saints|day|B|,1,NG,celebration,all_saints,day,,,,,B,,,"ps24:1bc-2,3-4ab,5-6","Lord, this is the people that longs to see your face.",standard_lectionary_complete.csv,ng:reconstructed:a6e2824d0bfd8a27,,,,ps24_1bc_2_3_4ab_5_6,nigeria_365_firestore,Catholic Missal for Nigeria,reconstructed_nigeria,Reconstructed only from exact verified Nigerian stanza fragments.
NG|celebration|all_saints|day|C|,1,NG,celebration,all_saints,day,,,,,C,,,"ps24:1bc-2,3-4ab,5-6","Lord, this is the people that longs to see your face.",standard_lectionary_complete.csv,ng:reconstructed:a6e2824d0bfd8a27,,,,ps24_1bc_2_3_4ab_5_6,nigeria_365_firestore,Catholic Missal for Nigeria,reconstructed_nigeria,Reconstructed only from exact verified Nigerian stanza fragments.
NG|celebration|all_saints|day||,1,NG,celebration,all_saints,day,,,,,,,,"ps24:1-2,3-4ab,5-6","These are the people who seek your face, O Lord.",nigeria_psalm_usage_assignments.csv,ng:2026-10-23:responsorial-psalm:1,2026-10-23,,,ps24_1_2_3_4ab_5_6,nigeria_365_firestore,Catholic Missal for Nigeria,exact_nigeria,Exact Nigerian reference and response match.
