usage_id,celebration_id,celebration_title,date_rule,season,week,weekday,sunday_cycle,weekday_cycle,lectionary_number,territory,reading_set_kind,reading_set_priority,biblical_book,psalm_number_hebrew,psalm_number_vulgate,reference_raw,reference_normalized,stanza_selection_normalized,response_verse_normalized,source_id,source_name,source_edition,source_territory,source_url,retrieved_at,source_license,reuse_status,response_raw,response_normalized,stanzas_raw,stanzas_normalized,raw_sha256,normalized_sha256,token_count,comparison_target,reference_match_score,response_match_score,stanza_match_score,text_match_score,difference_class,review_status,notes,display_eligible,display_priority,eligibility_basis
local_standard_lectionary:row:10,,THIRD SUNDAY OF ADVENT-C,Sunday,Advent,3,Sunday,C,,,WORLD,catalog,1,Isa,12,,"Isa 12:2-3, 4, 5-6","isa12:2-3,4,5-6","isa12:2-3,4,5-6",,local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,2026-08-16,repository internal data,licensed,(6) Cry out with joy and gladness:,6 cry out with joy and gladness,,,dab6ef079c5a41b0a83ace23a53b77ab9c2ee77b869bba7a372c3dfef4c73140,085b945478106850bee21849db6f840f7fe466910a30866f7feeafe70f36797c,7,nigeria_365_firestore,,,,,missing_text,unmatched,,False,0,
local_standard_lectionary:row:100,,ELEVENTH SUNDAY IN ORDINARY TIME-B,Sunday,Ordinary Time,11,Sunday,B,,,WORLD,catalog,1,Ps,92,,"Ps 92:2-3, 13-14, 15-16","ps92:2-3,13-14,15-16","ps92:2-3,13-14,15-16",,local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,2026-08-16,repository internal data,licensed,"Lord, it is good to give thanks to you.",lord it is good to give thanks to you,,,aec1880587351f43943fd1a284bc106775d85a0f3616f56b5603223092dd1bc8,85eb5eae3015b557e61a9c0836eb995e3509d04ab88b22192f55dbd30c6aecef,9,nigeria_365_firestore,,,,,missing_text,unmatched,,False,0,
local_standard_lectionary:row:101,,ELEVENTH SUNDAY IN ORDINARY TIME-C,Sunday,Ordinary Time,11,Sunday,C,,,WORLD,catalog,1,,,,"32:1-2, 5, 7, 11","32:1-2,5,7,11","32:1-2,5,7,11",,local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,2026-08-16,repository internal data,licensed,"Lord, forgive the wrong I have done.",lord forgive the wrong i have done,,,1b0fe663f268c984736a4bc4da592ceb16a5074fc7878bce9d97f6018b2abe0d,a912c88fc71dee7d8a2a4ddc1434612cbfba121f2fc3a488cd963ce4b2ff3e18,7,nigeria_365_firestore,,,,,missing_text,unmatched,,False,0,
local_standard_lectionary:row:102,,TWELFTH SUNDAY IN ORDINARY TIME-A,Sunday,Ordinary Time,12,Sunday,A,,,WORLD,catalog,1,Ps,69,,"Ps 69:8-10, 14, 17, 33-35","ps69:8-10,14,17,33-35","ps69:8-10,14,17,33-35",,local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,2026-08-16,repository internal data,licensed,"(14c) Lord, in your great love, answer me.",14c lord in your great love answer me,,,07394316a4b4ac5b646278382c02fa470ab9db8947e91d07a71688fed279f928,6aa6faa6070ea6d642a67bf2ee7d0c8faa61c9580babce0a2049349977d696b1,8,nigeria_365_firestore,,,,,missing_text,unmatched,,False,0,
local_standard_lectionary:row:103,,TWELFTH SUNDAY IN ORDINARY TIME-B,Sunday,Ordinary Time,12,Sunday,B,,,WORLD,catalog,1,Ps,107,,"Ps 107:23-24, 25-26, 28-29, 30-31","ps107:23-24,25-26,28-29,30-31","ps107:23-24,25-26,28-29,30-31",,local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,2026-08-16,repository internal data,licensed,"(1b) Give thanks to the Lord, his love is everlasting.",1b give thanks to the lord his love is everlasting,,,4701e5932ad90922a75f656eb5b1d562e00408220bf7a8ec1aa7f6e1a26f40f7,70b30b6954be6c94a85ba41c0e7836de90892f3415487ed1b2e3d245a495d220,10,nigeria_365_firestore,,,,,missing_text,unmatched,,False,0,
local_standard_lectionary:row:104,,TWELFTH SUNDAY IN ORDINARY TIME-C,Sunday,Ordinary Time,12,Sunday,C,,,WORLD,catalog,1,Ps,63,,"Ps 63:2, 3-4, 5-6, 8-9","ps63:2,3-4,5-6,8-9","ps63:2,3-4,5-6,8-9",,local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,2026-08-16,repository internal data,licensed,"(2b) My soul is thirsting for you, O Lord my God.",2b my soul is thirsting for you o lord my god,,,7ddeb09021495290a68d8770c49dafe60a2dd8981b3323e422612b128a45e54d,5b2c9b38cd5e68bfee5dceda4dc60c1c06546aac4304aadcd7af7c6bf3209a8d,11,nigeria_365_firestore,,,,,missing_text,unmatched,,False,0,
local_standard_lectionary:row:105,,THIRTEENTH SUNDAY IN ORDINARY TIME-A,Sunday,Ordinary Time,13,Sunday,A,,,WORLD,catalog,1,Ps,89,,"Ps 89:2-3, 16-17, 18-19","ps89:2-3,16-17,18-19","ps89:2-3,16-17,18-19",,local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,2026-08-16,repository internal data,licensed,(2a) For ever I will sing the goodness of the Lord.,2a for ever i will sing the goodness of the lord,,,56fdaf2106456ef015193309fa761e4270d52368e9ecefdfb7826b31bf456627,59af35b42482b729aa1cc29fb3be23621b8d0fffb615a4fc23402991f97cd771,11,nigeria_365_firestore,,,,,missing_text,unmatched,,False,0,
local_standard_lectionary:row:106,,THIRTEENTH SUNDAY IN ORDINARY TIME-B,Sunday,Ordinary Time,13,Sunday,B,,,WORLD,catalog,1,Ps,30,,"Ps 30:2, 4, 5-6, 11, 12, 13","ps30:2,4,5-6,11,12,13","ps30:2,4,5-6,11,12,13",,local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,2026-08-16,repository internal data,licensed,"(2a) I will praise you, Lord, for you have rescued me.",2a i will praise you lord for you have rescued me,,,34bd3d8e58fd2c4b900980eedeec12e0f686fedde993acc3042038a4384d1cb1,7786617db0fc3dbbca11f603bebe2d73a2c98c4d97ce0c0c5a08fbb96b002b5f,11,nigeria_365_firestore,,,,,missing_text,unmatched,,False,0,
local_standard_lectionary:row:107,,THIRTEENTH SUNDAY IN ORDINARY TIME-C,Sunday,Ordinary Time,13,Sunday,C,,,WORLD,catalog,1,Ps,16,,"Ps 16:1-2, 5, 7-8, 9-10, 11","ps16:1-2,5,7-8,9-10,11","ps16:1-2,5,7-8,9-10,11",,local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,2026-08-16,repository internal data,licensed,"You are my inheritance, O Lord.",you are my inheritance o lord,,,eb5b424f293a92d20d621713af2d2a9c3cbb960abb313bc22770f11d88d093d3,46a8ce2faa3c64be1bc0c94fe392ef059bbdffe5fb8fd1f66e6fe861b142922d,6,nigeria_365_firestore,,,,,missing_text,unmatched,,False,0,
local_standard_lectionary:row:108,,FOURTEENTH SUNDAY IN ORDINARY TIME-A,Sunday,Ordinary Time,14,Sunday,A,,,WORLD,catalog,1,Ps,145,,"Ps 145:1-2, 8-9, 10-11, 13-14","ps145:1-2,8-9,10-11,13-14","ps145:1-2,8-9,10-11,13-14",,local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,2026-08-16,repository internal data,licensed,"I will praise your name for ever, my king and my God.",i will praise your name for ever my king and my god,,,efc4838efcd8e7ab3c347a27dace952c9a8f3a67d37fcfac5dc326d3132f83aa,3d390fdc0d8f53be9e799685c3e716261081154aee05daba8283126ad98287a2,12,nigeria_365_firestore,,,,,missing_text,unmatched,,False,0,
