source_id,source_name,source_edition,source_territory,source_url,source_license,reuse_status,coverage,access_method,notes
abbey_psalms_evidence,USCCB Liturgy of the Hours Second Edition history,Abbey Psalms and Canticles,US,https://www.usccb.org/prayer-and-worship/liturgy-of-the-hours/liturgy-of-the-hours-second-edition,USCCB copyright information,comparison_only,edition history and status,public HTML,"Edition/provenance evidence, not a full-text corpus"
douay_rheims,Douay-Rheims Bible database,Douay-Rheims 1899 American Edition,WORLD,https://api.elbiblio.com/dbs/engdra.db,public domain,public_domain,complete Bible psalm and canticle verses,downloadable SQLite,Optional Bible-derived psalm pack; not exact modern lectionary wording
esvce,English Standard Version Catholic Edition,ESV-CE,"GB,IE",https://www.catholicbible.org/,copyright; no reusable complete pack bundled,unknown,edition metadata only,external,Not selectable until an authorized complete local pack is available
jerusalem_bible,Jerusalem Bible lectionary text,Jerusalem Bible,"GB,IE,NG",https://newman.nd.edu/liturgy-planning/sunday-liturgies/,copyright; no reusable complete pack bundled,comparison_only,external comparison evidence,public HTML,Visible as unavailable until a licensed complete pack is supplied
local_nabre,Catholic Daily NABRE database,repository Bible asset,US,repo://assets/nabre.db,Existing app Bible license; verify before exporting text,comparison_only,complete Bible psalm verses,SQLite,"Bible fallback, not Nigerian lectionary authority"
local_rsvce,Catholic Daily RSVCE database,repository Bible asset,WORLD,repo://assets/rsvce.db,Existing app Bible license; verify before exporting text,comparison_only,complete Bible psalm verses,SQLite,"Bible fallback, not exact lectionary stanza authority"
local_standard_lectionary,Catholic Daily standard lectionary catalog,repository snapshot,WORLD,repo://standard_lectionary_complete.csv,repository internal data,licensed,standard assignments,local CSV,Assignments and generic responses
local_sunday_psalms,Catholic Daily Sunday psalm supplement,repository snapshot,WORLD,repo://lectionary_psalms.csv,repository internal data,licensed,Sundays and principal celebrations,local CSV,Contains known field-alignment defects requiring validation
local_weekday_psalms,Catholic Daily weekday psalm supplement,repository snapshot,WORLD,repo://lectionary_psalms_weekday.csv,repository internal data,licensed,weekday cycles,local CSV,Contains known field-alignment defects requiring validation
modern_psalter_us,Modern Psalter Lectionary Index,United States/Philippines,"US,PH",https://www.modernpsalter.com/Lectionary.aspx?n=118,ICEL responses; site copyright notice,comparison_only,"Sundays, principal feasts, and ritual selections",public HTML,"Territory-specific comparator, not a Nigerian authority"
newman_jerusalem_bible,Notre Dame Newman Centre liturgy planning,Jerusalem Bible lectionary text,GB/IE comparator,https://newman.nd.edu/liturgy-planning/sunday-liturgies/,Jerusalem Bible text used by permission,comparison_only,Sundays and principal celebrations,public HTML,Translation comparator
nigeria_365_firestore,Catholic Missal for Nigeria,live Nigerian daily corpus,NG,https://firestore.googleapis.com/v1/projects/catholic-missal/databases/(default)/documents/NigeriaReading,No redistribution grant found in publisher terms,comparison_only,2025-2026 daily records at audit time,public Firestore REST,Comparator for Nigerian Ordo assignments and displayed wording
revised_grail_evidence,Michel Guimont Lectionary Psalms sample,Revised Grail Psalms 2010,evidence,https://s3.amazonaws.com/cdn.giamusic.com/pdf/GuimontLectionaryPsalms.pdf,Copyright Conception Abbey and The Grail; administered by GIA,comparison_only,published sample settings,public PDF,Edition-identification evidence
universalis_nigeria,Universalis Nigeria Mass readings,Universalis online translation,NG,https://universalis.com/nigeria/mass.htm,Universalis copyright; online translation,comparison_only,current regional Mass readings,public HTML,Regional assignment comparator; wording is not assumed to be the Nigerian print lectionary
