usage_id,selection_id,territory,date_rule,celebration_id,celebration_title,reading_set_kind,reading_set_priority,sunday_cycle,weekday_cycle,lectionary_number,response_text
local_standard_lectionary:row:174,dan3_52_53_54_55_56,WORLD,Sunday,,HOLY TRINITY-A (Sunday after Pentecost),catalog,1,A,,,(52b) Glory and praise for ever!
local_standard_lectionary:row:438,deut32_18_19_20_21,WORLD,Monday,,Ordinary Time 20 Monday,catalog,1,,II,419,You forgot God who gave you birth.
local_sunday_psalms:row:602,ex15_1b_2_3_4_5_6_17_18,WORLD,Easter Vigil - Psalm 3,,,catalog,1,A/B/C,,,"I will sing to the Lord, for he has triumphed gloriously."
local_sunday_psalms:row:281,ex15_7ab_8_9_10_12_17,WORLD,Tuesday,,,catalog,1,,I,,Let us sing to the Lord; he has covered himself in glory.
local_standard_lectionary:row:383,exod15_7ab_8_9_10_12_17,WORLD,Tuesday,,Ordinary Time 16 Tuesday,catalog,1,,I,396,Let us sing to the Lord;
local_standard_lectionary:row:10,isa12_2_3_4_5_6,WORLD,Sunday,,THIRD SUNDAY OF ADVENT-C,catalog,1,C,,,(6) Cry out with joy and gladness:
local_standard_lectionary:row:181,isa12_2_3_4_5_6,WORLD,Friday,,SACRED HEART OF JESUS-B (Friday after Corpus Christi),catalog,1,B,,,(3) You will draw water joyfully from the springs of salvation.
local_sunday_psalms:row:29,isa12_2_3_4_5_6,WORLD,Sunday,,,catalog,1,C,,,Sing and shout for joy for great in your midst is the Holy One of Israel.
local_standard_lectionary:row:30,isa12_2_3_4bcd_5_6,WORLD,Sunday,,THE BAPTISM OF THE LORD (First Sunday in Ordinary Time),catalog,1,ABC,,,(3) You will draw water joyfully from the springs of salvation.
local_sunday_psalms:row:604,isa12_2_6,WORLD,Easter Vigil - Psalm 5,,,catalog,1,A/B/C,,,With joy you will draw water from the wells of salvation.
local_standard_lectionary:row:295,jer31_10_11_12abcd_13,WORLD,Saturday,,Lent 5 Saturday,catalog,1,,I/II,256,"The Lord will guard us, as a shepherd guards his flock."
local_standard_lectionary:row:9,luke1_46_48_49_50_53_54,WORLD,Sunday,,THIRD SUNDAY OF ADVENT-B,catalog,1,B,,,(Isaiah 61:10b) My soul rejoices in my God.
local_sunday_psalms:row:28,luke1_46_48_49_50_53_54,WORLD,Sunday,,,catalog,1,B,,,My soul rejoices in my God.
local_standard_lectionary:row:222,ps100_1_2_3_4_5,WORLD,January 5,,Christmas Octave January 5,catalog,1,,I/II,208,Let all the earth cry out with joy.
local_standard_lectionary:row:461,ps100_1_2_3_4_5,WORLD,Friday,,Ordinary Time 22 Friday,catalog,1,,I,435,Come with joy into the presence of the Lord.
local_standard_lectionary:row:489,ps100_1_2_3_4_5,WORLD,Saturday,,Ordinary Time 24 Saturday,catalog,1,,I,448,Come with joy into the presence of the Lord.
local_standard_lectionary:row:494,ps100_1_2_3_4_5,WORLD,Tuesday,,Ordinary Time 24 Tuesday,catalog,1,,II,444,We are his people: the sheep of his flock.
local_standard_lectionary:row:536,ps100_1_2_3_4_5,WORLD,Monday,,Ordinary Time 29 Monday,catalog,1,,II,473,"The Lord made us, we belong to him."
local_standard_lectionary:row:623,ps100_1_2_3_4_5,WORLD,Thursday,,Ordinary Time 34 Thursday,catalog,1,,II,506,Blessed are they who are called to
local_standard_lectionary:row:725,ps100_1_2_3_4_5,WORLD,Thursday,,Ordinary Time 8 Thursday,catalog,1,,II,350,Come with joy into the presence of the Lord.
local_standard_lectionary:row:726,ps100_1_2_3_4_5,WORLD,Thursday,,Ordinary Time 8 Thursday,catalog,1,,II,350,Come with joy into the presence of the Lord.
local_sunday_psalms:row:168,ps100_1_2_3_4_5,WORLD,Thursday,,,catalog,1,,II,,Come with joy into the presence of the Lord.
local_sunday_psalms:row:368,ps100_1_2_3_4_5,WORLD,Friday,,,catalog,1,,I,,Come with joy into the presence of the Lord.
local_sunday_psalms:row:394,ps100_1_2_3_4_5,WORLD,Tuesday,,,catalog,1,,II,,We are his people: the sheep of his flock.
local_sunday_psalms:row:401,ps100_1_2_3_4_5,WORLD,Saturday,,,catalog,1,,I,,Come with joy into the presence of the Lord.
local_sunday_psalms:row:447,ps100_1_2_3_4_5,WORLD,Monday,,,catalog,1,,II,,"The Lord made us, we belong to him."
local_sunday_psalms:row:47,ps100_1_2_3_4_5,WORLD,January 5,,,catalog,1,,I/II,,Let all the earth cry out with joy.
local_sunday_psalms:row:534,ps100_1_2_3_4_5,WORLD,Thursday,,,catalog,1,,II,,Blessed are they who are called to the wedding feast of the Lamb.
local_weekday_psalms:row:138,ps100_1_2_3_4_5,WORLD,Tuesday,,,catalog,1,,II,,We are his people: the sheep of his flock.
local_weekday_psalms:row:148,ps100_1_2_3_4_5,WORLD,Thursday,,,catalog,1,,II,,Blessed are they who are called to the wedding feast of the Lamb.
local_weekday_psalms:row:156,ps100_1_2_3_4_5,WORLD,Saturday,,,catalog,1,,II,,Come with joy into the presence of the Lord.
local_weekday_psalms:row:285,ps100_1_2_3_4_5,WORLD,Monday,,,catalog,1,,II,,"The Lord made us, we belong to him."
local_weekday_psalms:row:299,ps100_1_2_3_4_5,WORLD,Thursday,,,catalog,1,,I,,Come with joy into the presence of the Lord.
local_weekday_psalms:row:302,ps100_1_2_3_4_5,WORLD,Thursday,,,catalog,1,,II,,Come with joy into the presence of the Lord.
local_weekday_psalms:row:86,ps100_1_2_3_4_5,WORLD,Friday,,,catalog,1,,II,,Come with joy into the presence of the Lord.
local_standard_lectionary:row:250,ps100_1_2_3_5,WORLD,Saturday,,Easter 5 Saturday,catalog,1,,I/II,290,Let all the earth cry out to God with joy.
local_standard_lectionary:row:62,ps100_1_2_3_5,WORLD,Sunday,,FOURTH SUNDAY OF EASTER-C,catalog,1,C,,,"(3c) We are his people, the sheep of his flock."
local_standard_lectionary:row:99,ps100_1_2_3_5,WORLD,Sunday,,ELEVENTH SUNDAY IN ORDINARY TIME-A,catalog,1,A,,,(3c) We are his people: the sheep of his flock.
local_sunday_psalms:row:204,ps100_1_2_3_5,WORLD,Sunday,,,catalog,1,A,,,"We are his people, the sheep of his flock."
local_sunday_psalms:row:629,ps100_1_2_3_5,WORLD,Sunday,,,catalog,1,C,,,"We are his people, the sheep of his flock."
local_sunday_psalms:row:644,ps100_1_2_3_5,WORLD,Saturday,,,catalog,1,,I/II,,Let all the earth cry out to God with joy.
local_weekday_psalms:row:533,ps100_1_2_3_5,WORLD,Saturday,,,catalog,1,,I/II,,Let all the earth cry out to God with joy.
local_standard_lectionary:row:493,ps101_1_2ab_2cd_3ab_5_6,WORLD,Tuesday,,Ordinary Time 24 Tuesday,catalog,1,,I,444,I will walk with blameless heart.
local_sunday_psalms:row:393,ps101_1_2ab_2cd_3ab_5_6,WORLD,Tuesday,,,catalog,1,,I,,I will walk with blameless heart.
local_weekday_psalms:row:137,ps101_1_2ab_2cd_3ab_5_6,WORLD,Tuesday,,,catalog,1,,II,,I will walk with blameless heart.
local_standard_lectionary:row:370,ps102_12_14_15_17_18_20,WORLD,Thursday,,Ordinary Time 15 Thursday,catalog,1,,II,392,From heaven the Lord looks down on the earth.
local_sunday_psalms:row:273,ps102_12_14_15_17_18_20,WORLD,Thursday,,,catalog,1,,II,,From heaven the Lord looks down on the earth.
local_weekday_psalms:row:417,ps102_12_14_15_17_18_20,WORLD,Thursday,,,catalog,1,,II,,From heaven the Lord looks down on the earth.
local_standard_lectionary:row:408,ps102_15_17_18_20_28_21_22,WORLD,Tuesday,,Ordinary Time 18 Tuesday,catalog,1,,II,408,"The Lord will build up Zion again,"
local_standard_lectionary:row:499,ps102_15_17_18_20_28_21_22,WORLD,Monday,,Ordinary Time 26 Monday,catalog,1,,I,455,"The Lord will build up Zion again,"
local_standard_lectionary:row:675,ps102_15_17_18_20_28_21_22,WORLD,Thursday,,Ordinary Time 6 Thursday,catalog,1,,I,338,From heaven the Lord looks down on the earth.
local_standard_lectionary:row:676,ps102_15_17_18_20_28_21_22,WORLD,Thursday,,Ordinary Time 6 Thursday,catalog,1,,I,338,From heaven the Lord looks down on the earth.
local_sunday_psalms:row:136,ps102_15_17_18_20_28_21_22,WORLD,Thursday,,,catalog,1,,I,,From heaven the Lord looks down on the earth.
local_sunday_psalms:row:137,ps102_15_17_18_20_28_21_22,WORLD,Thursday,,,catalog,1,,I,,From heaven the Lord looks down on the earth.
local_sunday_psalms:row:309,ps102_15_17_18_20_28_21_22,WORLD,Tuesday,,,catalog,1,,II,,"The Lord will build up Zion again, and appear in all his glory."
local_sunday_psalms:row:406,ps102_15_17_18_20_28_21_22,WORLD,Monday,,,catalog,1,,I,,"The Lord will build up Zion again, and appear in all his glory."
local_weekday_psalms:row:191,ps102_15_17_18_20_28_21_22,WORLD,Monday,,,catalog,1,,II,,"The Lord will build up Zion again, and appear in all his glory."
local_weekday_psalms:row:227,ps102_15_17_18_20_28_21_22,WORLD,Thursday,,,catalog,1,,I,,From heaven the Lord looks down on the earth.
local_weekday_psalms:row:229,ps102_15_17_18_20_28_21_22,WORLD,Thursday,,,catalog,1,,II,,From heaven the Lord looks down on the earth.
local_weekday_psalms:row:364,ps102_15_17_18_20_28_21_22,WORLD,Tuesday,,,catalog,1,,II,,"The Lord will build up Zion again, and appear in all his glory."
local_standard_lectionary:row:297,ps102_1_2_15_17_18_20,WORLD,Tuesday,,Lent 5 Tuesday,catalog,1,,I/II,252,"O Lord, hear my prayer,"
local_sunday_psalms:row:583,ps102_1_2_15_17_18_20,WORLD,Tuesday,,,catalog,1,,I/II,,"O Lord, hear my prayer, and let my cry come to you."
local_weekday_psalms:row:503,ps102_1_2_15_17_18_20,WORLD,Tuesday,,,catalog,1,,I/II,,"O Lord, hear my prayer, and let my cry come to you."
local_standard_lectionary:row:695,ps103_13_14_15_16_17_18,WORLD,Saturday,,Ordinary Time 7 Saturday,catalog,1,,I,346,The Lord's kindness is everlasting to those who fear him.
local_standard_lectionary:row:696,ps103_13_14_15_16_17_18,WORLD,Saturday,,Ordinary Time 7 Saturday,catalog,1,,I,346,The Lord's kindness is everlasting to those who fear him.
local_sunday_psalms:row:156,ps103_13_14_15_16_17_18,WORLD,Saturday,,,catalog,1,,I,,The Lord’s kindness is everlasting to those who fear him.
local_weekday_psalms:row:273,ps103_13_14_15_16_17_18,WORLD,Saturday,,,catalog,1,,I,,The Lord’s kindness is everlasting to those who fear him.
local_weekday_psalms:row:275,ps103_13_14_15_16_17_18,WORLD,Saturday,,,catalog,1,,II,,The Lord’s kindness is everlasting to those who fear him.
local_standard_lectionary:row:70,ps103_1_2_11_12_19_20,WORLD,Sunday,,SEVENTH SUNDAY OF EASTER-B,catalog,1,B,,,(19a) The Lord has set his throne in heaven.
local_sunday_psalms:row:655,ps103_1_2_11_12_19_20,WORLD,Sunday,,,catalog,1,B,,,The Lord has set his sway in heaven.
local_standard_lectionary:row:260,ps103_1_2_11_12_19_20ab,WORLD,Friday,,Easter 7 Friday,catalog,1,,I/II,301,The Lord has set his throne in heaven.
local_sunday_psalms:row:661,ps103_1_2_11_12_19_20ab,WORLD,Friday,,,catalog,1,,I/II,,The Lord has set his throne in heaven.
local_weekday_psalms:row:544,ps103_1_2_11_12_19_20ab,WORLD,Friday,,,catalog,1,,I/II,,The Lord has set his throne in heaven.
local_standard_lectionary:row:649,ps103_1_2_13_14_17_18a,WORLD,Wednesday,,Ordinary Time 4 Wednesday,catalog,1,,I,325,The Lord's kindness is everlasting
local_sunday_psalms:row:105,ps103_1_2_13_14_17_18a,WORLD,Wednesday,,,catalog,1,,I,,The Lord’s kindness is everlasting to those who fear him.
local_weekday_psalms:row:140,ps103_1_2_13_14_17_18a,WORLD,Wednesday,,,catalog,1,,I,,The Lord’s kindness is everlasting to those who fear him.
local_standard_lectionary:row:373,ps103_1_2_3_4_6_7,WORLD,Wednesday,,Ordinary Time 15 Wednesday,catalog,1,,I,391,The Lord is kind and merciful.
local_sunday_psalms:row:270,ps103_1_2_3_4_6_7,WORLD,Wednesday,,,catalog,1,,I,,The Lord is kind and merciful.
local_weekday_psalms:row:376,ps103_1_2_3_4_6_7,WORLD,Wednesday,,,catalog,1,,II,,The Lord is kind and merciful.
local_standard_lectionary:row:180,ps103_1_2_3_4_6_7_8_10,WORLD,Friday,,SACRED HEART OF JESUS-A (Friday after Corpus Christi),catalog,1,A,,,The Lord's kindness is everlasting to those who fear him.
local_standard_lectionary:row:42,ps103_1_2_3_4_6_7_8_11,WORLD,Sunday,,THIRD SUNDAY OF LENT-C,catalog,1,C,,,(8a) The Lord is kind and merciful.
local_sunday_psalms:row:561,ps103_1_2_3_4_6_7_8_11,WORLD,Sunday,,,catalog,1,C,,,The Lord is compassion and love.
local_standard_lectionary:row:204,ps103_1_2_3_4_8_10,WORLD,Wednesday,,Advent 2 Wednesday,catalog,1,,I/II,183,"O bless the Lord, my soul!"
local_sunday_psalms:row:23,ps103_1_2_3_4_8_10,WORLD,Wednesday,,,catalog,1,,I/II,,"O bless the Lord, my soul!"
local_weekday_psalms:row:10,ps103_1_2_3_4_8_10,WORLD,Wednesday,,,catalog,1,,I/II,,"O bless the Lord, my soul!"
local_standard_lectionary:row:87,ps103_1_2_3_4_8_10_12_13,WORLD,Sunday,,SEVENTH SUNDAY IN ORDINARY TIME-A,catalog,1,A,,,(8a) The Lord is kind and merciful.
local_standard_lectionary:row:89,ps103_1_2_3_4_8_10_12_13,WORLD,Sunday,,SEVENTH SUNDAY IN ORDINARY TIME-C,catalog,1,C,,,(8a) The Lord is kind and merciful.
local_standard_lectionary:row:91,ps103_1_2_3_4_8_10_12_13,WORLD,Sunday,,EIGHTH SUNDAY IN ORDINARY TIME-B,catalog,1,B,,,(8a) The Lord is kind and merciful.
local_sunday_psalms:row:143,ps103_1_2_3_4_8_10_12_13,WORLD,Sunday,,,catalog,1,A,,,The Lord is compassion and love.
local_sunday_psalms:row:145,ps103_1_2_3_4_8_10_12_13,WORLD,Sunday,,,catalog,1,C,,,The Lord is compassion and love.
local_sunday_psalms:row:159,ps103_1_2_3_4_8_10_12_13,WORLD,Sunday,,,catalog,1,B,,,The Lord is compassion and love.
local_standard_lectionary:row:330,ps103_1_2_3_4_8_9_10_11,WORLD,Monday,,Ordinary Time 13 Monday,catalog,1,,I,377,The Lord is kind and merciful.
local_sunday_psalms:row:237,ps103_1_2_3_4_8_9_10_11,WORLD,Monday,,,catalog,1,,I,,The Lord is kind and merciful.
local_weekday_psalms:row:322,ps103_1_2_3_4_8_9_10_11,WORLD,Monday,,,catalog,1,,II,,The Lord is kind and merciful.
local_standard_lectionary:row:307,ps103_1_2_3_4_8_9_11_12,WORLD,Saturday,,Ordinary Time 10 Saturday,catalog,1,,I,364,The Lord is kind and merciful.
local_standard_lectionary:row:689,ps103_1_2_3_4_8_9_11_12,WORLD,Friday,,Ordinary Time 7 Friday,catalog,1,,II,345,The Lord is kind and merciful.
local_standard_lectionary:row:690,ps103_1_2_3_4_8_9_11_12,WORLD,Friday,,Ordinary Time 7 Friday,catalog,1,,II,345,The Lord is kind and merciful.
local_sunday_psalms:row:155,ps103_1_2_3_4_8_9_11_12,WORLD,Friday,,,catalog,1,,II,,The Lord is kind and merciful.
local_sunday_psalms:row:202,ps103_1_2_3_4_8_9_11_12,WORLD,Saturday,,,catalog,1,,I,,The Lord is kind and merciful.
local_weekday_psalms:row:268,ps103_1_2_3_4_8_9_11_12,WORLD,Friday,,,catalog,1,,I,,The Lord is kind and merciful.
local_weekday_psalms:row:271,ps103_1_2_3_4_8_9_11_12,WORLD,Friday,,,catalog,1,,II,,The Lord is kind and merciful.
