selection_id,edition_id,reference_normalized,response_text,stanzas_text,source_url,source_edition,territory,coverage_status,missing_reason,raw_sha256,normalized_sha256
1chr29_10_11ab_11d_12a_12bcd,local_nabre,"1chr29:10,11ab,11d-12a,12bcd","Lord, you are exalted over all.","David’s Prayer. Then David blessed the LORD in the sight of the whole assembly. David said: “Blessed are you, LORD, God of Israel our father, from eternity to eternity.

For all in heaven and on earth is yours; yours, LORD, is kingship; you are exalted as head over all.

For all in heaven and on earth is yours; yours, LORD, is kingship; you are exalted as head over all. In your hand are power and might; it is yours to give greatness and strength to all.

In your hand are power and might; it is yours to give greatness and strength to all.",repo://assets/nabre.db,,WORLD,complete,,37e18f32e1ca512c1d9adc01803bbfbf4091bc766ca301818af7068248dd97c2,aa4f5c52ab84296380b868477f3c3f573a16bc39f5e22ac7ab0a17ce46c44ac7
1chr29_10_11ab_11d_12a_12bcd,local_rsvce,"1chr29:10,11ab,11d-12a,12bcd","Lord, you are exalted over all.","Therefore David blessed the LORD in the presence of all the assembly; and David said: ""Blessed art thou, O LORD, the God of Israel our father, for ever and ever.

Thine, O LORD, is the greatness, and the power, and the glory, and the victory, and the majesty; for all that is in the heavens and in the earth is thine; thine is the kingdom, O LORD, and thou art exalted as head above all.

Thine, O LORD, is the greatness, and the power, and the glory, and the victory, and the majesty; for all that is in the heavens and in the earth is thine; thine is the kingdom, O LORD, and thou art exalted as head above all. Both riches and honor come from thee, and thou rulest over all. In thy hand are power and might; and in thy hand it is to make great and to give strength to all.

Both riches and honor come from thee, and thou rulest over all. In thy hand are power and might; and in thy hand it is to make great and to give strength to all.",repo://assets/rsvce.db,,WORLD,complete,,3770673d15812ff4e88450fcca28e385f3a762a8fae1d372129925fd5d1d5439,c81ba397207afd6fa50911318c3399b4488eb9daa340578cf8aa01538f1a8370
1chr29_10b_11ab_11d_12a_12bcd,local_nabre,"1chr29:10b,11ab,11d-12a,12bcd","O Lord, you rule over all.","David’s Prayer. Then David blessed the LORD in the sight of the whole assembly. David said: “Blessed are you, LORD, God of Israel our father, from eternity to eternity.

For all in heaven and on earth is yours; yours, LORD, is kingship; you are exalted as head over all.

For all in heaven and on earth is yours; yours, LORD, is kingship; you are exalted as head over all. In your hand are power and might; it is yours to give greatness and strength to all.

In your hand are power and might; it is yours to give greatness and strength to all.",repo://assets/nabre.db,,WORLD,complete,,7260dbc31af988f2305f9544fb031f051e60f30207211f392d3004452a4e4eaf,335c41d9c3ea4dd10acc24a918a534124a468db8d54dd0605683f4d07309b051
1chr29_10b_11ab_11d_12a_12bcd,local_rsvce,"1chr29:10b,11ab,11d-12a,12bcd","O Lord, you rule over all.","Therefore David blessed the LORD in the presence of all the assembly; and David said: ""Blessed art thou, O LORD, the God of Israel our father, for ever and ever.

Thine, O LORD, is the greatness, and the power, and the glory, and the victory, and the majesty; for all that is in the heavens and in the earth is thine; thine is the kingdom, O LORD, and thou art exalted as head above all.

Thine, O LORD, is the greatness, and the power, and the glory, and the victory, and the majesty; for all that is in the heavens and in the earth is thine; thine is the kingdom, O LORD, and thou art exalted as head above all. Both riches and honor come from thee, and thou rulest over all. In thy hand are power and might; and in thy hand it is to make great and to give strength to all.

Both riches and honor come from thee, and thou rulest over all. In thy hand are power and might; and in thy hand it is to make great and to give strength to all.",repo://assets/rsvce.db,,WORLD,complete,,f4bb6cad8cb3f70b43ec8a83e26090d9854e441fff472d5a1a4f3851988d7c4f,63166c3d9bbffaf405238e5536d0ec13f8aace3214761192df9b892e771bc76e
1chr29_10bcd_11abc_11d_12a_12bcd,local_nabre,"1chr29:10bcd,11abc,11d-12a,12bcd","We praise your glorious name, O mighty God.","David’s Prayer. Then David blessed the LORD in the sight of the whole assembly. David said: “Blessed are you, LORD, God of Israel our father, from eternity to eternity.

For all in heaven and on earth is yours; yours, LORD, is kingship; you are exalted as head over all.

For all in heaven and on earth is yours; yours, LORD, is kingship; you are exalted as head over all. In your hand are power and might; it is yours to give greatness and strength to all.

In your hand are power and might; it is yours to give greatness and strength to all.",repo://assets/nabre.db,,WORLD,complete,,2b4237bd7ef4b6ed9db1f4a567ca9b3ef80d63355dd419c617a4ebe2ecca89b8,7c0d4b6f1fa8c1ebc3e6b7e843a136d2557e9c29326a84b72920e0cf1de9e681
1chr29_10bcd_11abc_11d_12a_12bcd,local_rsvce,"1chr29:10bcd,11abc,11d-12a,12bcd","We praise your glorious name, O mighty God.","Therefore David blessed the LORD in the presence of all the assembly; and David said: ""Blessed art thou, O LORD, the God of Israel our father, for ever and ever.

Thine, O LORD, is the greatness, and the power, and the glory, and the victory, and the majesty; for all that is in the heavens and in the earth is thine; thine is the kingdom, O LORD, and thou art exalted as head above all.

Thine, O LORD, is the greatness, and the power, and the glory, and the victory, and the majesty; for all that is in the heavens and in the earth is thine; thine is the kingdom, O LORD, and thou art exalted as head above all. Both riches and honor come from thee, and thou rulest over all. In thy hand are power and might; and in thy hand it is to make great and to give strength to all.

Both riches and honor come from thee, and thou rulest over all. In thy hand are power and might; and in thy hand it is to make great and to give strength to all.",repo://assets/rsvce.db,,WORLD,complete,,f782985503fbf696cb623e2136f446fb48f4fb26a7e45368ff1b30e93ee8d7ca,bfb2cbb67f38e102642551cc934c37994698a8598f5678cd57cfd17de399156f
1sam2_1_4_5_6_7_8abcd,local_nabre,"1sam2:1,4-5,6-7,8abcd","My heart exults in the Lord, my Saviour.","And Hannah prayed: “My heart exults in the LORD, my horn is exalted by my God. I have swallowed up my enemies; I rejoice in your victory.

“The bows of the mighty are broken, while the tottering gird on strength. The barren wife bears seven sons, while the mother of many languishes.

“The LORD puts to death and gives life, casts down to Sheol and brings up again. The LORD makes poor and makes rich, humbles, and also exalts.

“For the pillars of the earth are the LORD’s, and he has set the world upon them.",repo://assets/nabre.db,,WORLD,complete,,57e0973b8574c00dc774f5533ea44521ed7cd432382734e478d9353da0d12bb3,883e3c5e39649d1b7b61bc3ac2f01be4012306514513e0199ad648434e093b6a
1sam2_1_4_5_6_7_8abcd,local_rsvce,"1sam2:1,4-5,6-7,8abcd","My heart exults in the Lord, my Saviour.","Hannah also prayed and said, ""My heart exults in the LORD; my strength is exalted in the LORD. My mouth derides my enemies, because I rejoice in thy salvation.

The bows of the mighty are broken, but the feeble gird on strength. Those who were full have hired themselves out for bread, but those who were hungry have ceased to hunger. The barren has borne seven, but she who has many children is forlorn.

The LORD kills and brings to life; he brings down to Sheol and raises up. The LORD makes poor and makes rich; he brings low, he also exalts.

He raises up the poor from the dust; he lifts the needy from the ash heap, to make them sit with princes and inherit a seat of honor. For the pillars of the earth are the LORDS, and on them he has set the world.",repo://assets/rsvce.db,,WORLD,complete,,650c06c12ed024234c52b6002354a41b44366a79a30cc72d217712149489142d,1a3579ecdf52b7a6ba1e2e38dc53c98f99a4ca5d60b84ae58a236264ffac21d8
1sam2_1_4_8,local_nabre,"1sam2:1,4-8","My heart exults in the Lord, my Savior.","And Hannah prayed: “My heart exults in the LORD, my horn is exalted by my God. I have swallowed up my enemies; I rejoice in your victory.

“The bows of the mighty are broken, while the tottering gird on strength. The barren wife bears seven sons, while the mother of many languishes. “The LORD puts to death and gives life, casts down to Sheol and brings up again. The LORD makes poor and makes rich, humbles, and also exalts. “For the pillars of the earth are the LORD’s, and he has set the world upon them.",repo://assets/nabre.db,,WORLD,complete,,3ad0fc66a0abfa905fcc45fbe5cd51b309df1b8ec0f3137277faf6a1cfe36b4b,3bdcaa462e423116fc4ca6c6962c844ce9c8b435cc5ade3b2318e9dc39008bf6
1sam2_1_4_8,local_rsvce,"1sam2:1,4-8","My heart exults in the Lord, my Savior.","Hannah also prayed and said, ""My heart exults in the LORD; my strength is exalted in the LORD. My mouth derides my enemies, because I rejoice in thy salvation.

The bows of the mighty are broken, but the feeble gird on strength. Those who were full have hired themselves out for bread, but those who were hungry have ceased to hunger. The barren has borne seven, but she who has many children is forlorn. The LORD kills and brings to life; he brings down to Sheol and raises up. The LORD makes poor and makes rich; he brings low, he also exalts. He raises up the poor from the dust; he lifts the needy from the ash heap, to make them sit with princes and inherit a seat of honor. For the pillars of the earth are the LORDS, and on them he has set the world.",repo://assets/rsvce.db,,WORLD,complete,,9960f4402bd62a6d3b57b865983c2d1386cdeaee4b581efca9be0a214b24862a,d82bbd6cd85c1f40029bcd8ed2bf64f448aad560317ef2052937585a7523433f
